,HSP90AB1 (3326)
ACH-000004,-0.636294705255
ACH-000007,-0.07669291713880001
ACH-000009,-0.20492405508
ACH-000011,0.106983775354
ACH-000012,-0.48552924355300003
ACH-000013,-0.331171750825
ACH-000014,-0.34354801754299996
ACH-000015,-0.282406035423
ACH-000017,-0.65234266755
ACH-000018,-0.219420576263
ACH-000019,-0.52964195105
ACH-000021,-0.35470663513800005
ACH-000022,-0.352420654102
ACH-000025,-0.39203098450900004
ACH-000028,-0.249634663339
ACH-000030,-0.34265969136299995
ACH-000035,-0.7285188255570001
ACH-000036,-0.49871942698
ACH-000037,-0.241352555953
ACH-000039,-0.551954415144
ACH-000040,-0.72871726389
ACH-000041,-0.7522082749690001
ACH-000042,-0.27974585971
ACH-000045,-0.0461143324158
ACH-000047,-0.199083570258
ACH-000052,0.11009222217299999
ACH-000053,-0.159244814222
ACH-000054,-0.210336021649
ACH-000055,-0.652828539512
ACH-000060,-0.318345241352
ACH-000067,-0.38776681909599997
ACH-000070,-0.376502513054
ACH-000075,-0.42070339389300004
ACH-000078,-0.41476066502400005
ACH-000082,-0.215793566141
ACH-000085,-0.20755528502300002
ACH-000086,-0.47334230877300004
ACH-000087,-0.10054905797800001
ACH-000092,-0.22572486792
ACH-000095,-0.378051074468
ACH-000097,-0.252406725208
ACH-000098,-0.38242976891
ACH-000099,-0.23486365606100001
ACH-000108,-0.3100999886
ACH-000113,-0.356802557725
ACH-000115,-0.08924941916960001
ACH-000116,-0.18798131769499998
ACH-000118,-0.5779486642539999
ACH-000120,-0.17042087910700002
ACH-000123,-0.44665153798699997
ACH-000127,-0.17145136459399998
ACH-000128,-0.196829756267
ACH-000132,-0.425092240801
ACH-000133,-0.31960743989
ACH-000137,-0.403201134026
ACH-000138,-0.250935186831
ACH-000142,-0.331449289591
ACH-000143,-0.390636624288
ACH-000146,-0.281087232813
ACH-000148,-0.312802279929
ACH-000150,-0.343130625651
ACH-000152,-0.383949303604
ACH-000153,-0.128446082613
ACH-000159,-0.299564114448
ACH-000160,-0.3491861426199999
ACH-000163,-0.382028497631
ACH-000167,-0.18627595055100002
ACH-000168,-0.64717566188
ACH-000169,-0.7911943796240001
ACH-000178,-0.28150289643599996
ACH-000182,-0.362397792296
ACH-000183,-0.904010585711
ACH-000188,-0.23766737158300003
ACH-000189,-0.8864192747059999
ACH-000190,-0.46912370083300003
ACH-000198,-0.384616583987
ACH-000204,-0.5147903595800001
ACH-000206,-0.675257702361
ACH-000207,-0.16854162241099999
ACH-000211,-0.45354212781900005
ACH-000215,-0.6848199606029999
ACH-000221,-0.34954530016400004
ACH-000222,-0.287843799009
ACH-000223,-0.446714761953
ACH-000226,-0.219869644312
ACH-000227,-0.36427772740900005
ACH-000228,-0.656996405373
ACH-000231,-0.38440820332900005
ACH-000232,-0.239420973097
ACH-000233,-0.32606785213000006
ACH-000234,-0.472285494569
ACH-000235,-0.17314157731600002
ACH-000237,-0.23178147413199998
ACH-000238,-0.411334616412
ACH-000243,-0.726333244567
ACH-000244,-0.244686185355
ACH-000246,-0.272736451256
ACH-000248,-0.156437921303
ACH-000250,-0.751769592901
ACH-000251,-0.043164225009900005
ACH-000253,-0.0305495416525
ACH-000255,-0.35110877739600005
ACH-000256,-0.359615654491
ACH-000257,-0.489854097319
ACH-000258,-0.024513114420799998
ACH-000259,-0.314609805171
ACH-000260,-0.20872578023
ACH-000261,-0.38492562243
ACH-000262,-0.417335454893
ACH-000263,-0.41042971143
ACH-000264,-0.35672451972499997
ACH-000265,-0.459764025122
ACH-000266,-0.158340158932
ACH-000272,-0.38315501798699997
ACH-000273,-0.322746726023
ACH-000274,-0.419934814753
ACH-000277,-0.191137423454
ACH-000278,-0.215661909532
ACH-000279,-0.212691498389
ACH-000280,-0.20378564052099998
ACH-000281,-0.562205643648
ACH-000288,-0.34536939494900004
ACH-000291,-0.110270564141
ACH-000293,-0.335019485893
ACH-000294,-0.12468182727
ACH-000295,-0.5818792883730001
ACH-000296,-0.33686540489699995
ACH-000302,-0.270592692287
ACH-000304,-0.423892209262
ACH-000307,-0.24343728651299998
ACH-000308,-0.29647317684
ACH-000310,-0.228127997453
ACH-000311,-0.0743549305341
ACH-000312,-0.32725689941799996
ACH-000315,-0.3597360954
ACH-000316,-0.391960299266
ACH-000317,-0.485547898925
ACH-000318,-0.34127933475500005
ACH-000319,-0.0882944867376
ACH-000320,-0.194645448493
ACH-000322,-0.584814629761
ACH-000323,-0.218475730062
ACH-000324,-0.405012633322
ACH-000329,-0.370611000114
ACH-000330,-0.619507413567
ACH-000331,-0.461096060869
ACH-000332,-0.244571153475
ACH-000334,-0.087231419397
ACH-000335,-0.450149982676
ACH-000336,-0.537467419939
ACH-000337,-0.294696568176
ACH-000339,-0.291370980957
ACH-000341,-0.134849785478
ACH-000348,-0.42300523327600004
ACH-000350,-0.133720634494
ACH-000352,-0.313753904406
ACH-000356,-0.42386920969700004
ACH-000361,-0.072168225908
ACH-000362,-0.39974172305699995
ACH-000363,-0.316774523372
ACH-000364,-0.37558886603200003
ACH-000365,-0.304085380046
ACH-000366,-0.481028133967
ACH-000368,-0.420878659146
ACH-000374,-0.642422636403
ACH-000375,-0.390008954287
ACH-000376,-0.270129242212
ACH-000381,-0.0784418772627
ACH-000383,-0.367548654719
ACH-000387,-0.177285178508
ACH-000389,-0.024116057582
ACH-000390,-0.360261692254
ACH-000393,-0.695942649935
ACH-000395,-0.0239116371992
ACH-000397,-0.515458679903
ACH-000401,-0.7100088555799999
ACH-000402,-0.391531387994
ACH-000403,-0.242165929841
ACH-000404,0.06766431361330001
ACH-000406,-0.43090000829499997
ACH-000407,-0.236916596637
ACH-000408,-0.360207956399
ACH-000410,-0.431827889591
ACH-000411,-0.438827456862
ACH-000414,-0.37459641109999997
ACH-000415,-0.480087203389
ACH-000416,-0.369101774973
ACH-000420,-0.23703619567200002
ACH-000421,-0.287141610887
ACH-000424,-0.32708263630600004
ACH-000425,-0.259320909186
ACH-000426,-0.208598361024
ACH-000427,-0.768309505634
ACH-000433,-0.225280159985
ACH-000436,-0.498261246471
ACH-000444,-0.056233144069600005
ACH-000445,-0.42222263753300004
ACH-000448,-0.263060480011
ACH-000450,-0.373642536214
ACH-000452,-0.10875454547499999
ACH-000454,-0.5434701397739999
ACH-000458,-0.252036084845
ACH-000459,-0.306602580676
ACH-000460,-0.289527986268
ACH-000461,-0.595916526401
ACH-000463,-0.160663012691
ACH-000464,-0.219582550139
ACH-000466,-0.06751949146509999
ACH-000467,-0.265085488657
ACH-000468,-0.34053367197800005
ACH-000469,-0.329436147474
ACH-000470,-0.376755962457
ACH-000471,-0.271427191711
ACH-000472,-0.368899372017
ACH-000473,-0.44978380379199995
ACH-000475,-0.694756944207
ACH-000476,-0.221117601403
ACH-000477,-0.126588693888
ACH-000480,-0.34259263941600004
ACH-000481,-0.631077635061
ACH-000483,-0.19355176212699998
ACH-000484,-0.22863948662300002
ACH-000485,-0.172055163111
ACH-000486,-0.180172522428
ACH-000487,-0.647194115648
ACH-000488,-0.395758158995
ACH-000490,-0.21565833639499998
ACH-000491,-0.558035283954
ACH-000495,-0.672239652112
ACH-000496,-0.22484221361499998
ACH-000499,-0.49168332157
ACH-000500,-0.568731013844
ACH-000502,-0.0674580369455
ACH-000503,-0.261359121072
ACH-000505,-0.11711196319299999
ACH-000507,-0.39345590526999996
ACH-000510,-0.07319169824739999
ACH-000511,-0.242446468968
ACH-000512,-0.356091356886
ACH-000516,-0.583145887744
ACH-000517,-0.260759713797
ACH-000518,-0.485884035168
ACH-000520,-0.466001448264
ACH-000521,-0.39151919970700005
ACH-000522,-0.20827463052200001
ACH-000524,-0.371690817981
ACH-000527,-0.191649665218
ACH-000528,-0.25761525711
ACH-000537,-0.5412084271109999
ACH-000541,-0.7661897487520001
ACH-000542,-0.121461907269
ACH-000544,-0.06807770624040001
ACH-000545,-0.20159639829700002
ACH-000547,-0.387067492756
ACH-000548,-0.20619767487500001
ACH-000549,-0.248291900161
ACH-000550,-0.262153463094
ACH-000552,-0.40706885122500003
ACH-000556,-0.303980544309
ACH-000557,-0.31103404530900003
ACH-000570,-0.431078996642
ACH-000571,-0.10186449429300001
ACH-000573,-0.542657315765
ACH-000576,-0.530026015755
ACH-000580,-0.471546668554
ACH-000584,-0.60477372096
ACH-000585,-0.417597572534
ACH-000588,-0.16809611609900002
ACH-000589,-0.158574050301
ACH-000591,-0.286018780293
ACH-000593,-0.384518601588
ACH-000600,-0.258407226525
ACH-000601,-0.313079208807
ACH-000604,-0.265858589037
ACH-000605,-0.40656348076800003
ACH-000606,-0.306043277118
ACH-000608,-0.343988090624
ACH-000614,-0.0259729213811
ACH-000616,-0.206528167236
ACH-000618,-0.319339189962
ACH-000619,-0.320808226125
ACH-000620,-0.240410872398
ACH-000621,-0.399234437246
ACH-000622,-0.6972522925810001
ACH-000623,-0.351242732033
ACH-000624,-0.418205644954
ACH-000627,-0.18914857039299998
ACH-000630,-0.347006115365
ACH-000632,-0.386068193427
ACH-000633,-0.0982657000891
ACH-000637,-0.292768771745
ACH-000638,-0.264930837235
ACH-000646,0.0721168024948
ACH-000647,-0.43887610626400003
ACH-000648,-0.124628217102
ACH-000649,-0.36024668874399995
ACH-000651,-0.273437482764
ACH-000652,-0.19804766693599998
ACH-000653,-0.449245265559
ACH-000657,-0.440344895825
ACH-000658,-0.750664822438
ACH-000661,-0.447855576424
ACH-000662,-0.314139324087
ACH-000663,-0.0018622005407000002
ACH-000665,-0.51037813835
ACH-000671,-0.298974453692
ACH-000673,-0.44847681533699996
ACH-000676,-0.400581320977
ACH-000677,-0.714776749209
ACH-000681,-0.14007002255200002
ACH-000682,-0.30424287811
ACH-000683,-0.365209873445
ACH-000684,-0.10419417495899999
ACH-000688,0.123698570957
ACH-000693,-0.22946887005199998
ACH-000694,-0.262063930158
ACH-000695,-0.46290848809199997
ACH-000696,-0.29520537952500003
ACH-000697,-0.247930251139
ACH-000699,-0.38726349798799997
ACH-000701,-0.0801719177056
ACH-000706,-0.25791498754500003
ACH-000711,-0.7584075292820001
ACH-000713,-0.506880683634
ACH-000714,-0.33835097711400003
ACH-000718,-0.34472045312399996
ACH-000720,-0.594139065254
ACH-000721,-0.416506740656
ACH-000724,-0.284042789483
ACH-000725,-0.581327028368
ACH-000732,-0.286542872445
ACH-000734,-0.505768529264
ACH-000735,-0.407718599343
ACH-000736,-0.54633096914
ACH-000738,-0.34964236166
ACH-000746,-0.674222265545
ACH-000747,-0.535051539253
ACH-000748,-0.31632430273699996
ACH-000753,-0.38839883856299995
ACH-000756,-0.273413136179
ACH-000757,-0.42019587774800005
ACH-000758,-0.396336748768
ACH-000760,-0.37906076434600006
ACH-000763,-0.753140794619
ACH-000764,-0.7226278943629999
ACH-000765,-0.659019872556
ACH-000766,-0.424578308749
ACH-000767,-0.496061400436
ACH-000768,-0.25070503203899996
ACH-000769,-0.351201317462
ACH-000770,-0.322127863018
ACH-000771,-0.183435008052
ACH-000773,-0.395300370782
ACH-000776,-0.24163824517299998
ACH-000777,-0.42194262145800004
ACH-000778,-0.442579316492
ACH-000781,-0.373637252311
ACH-000782,-0.587330540685
ACH-000783,-0.363070019044
ACH-000784,-0.17265005171300002
ACH-000785,-0.167664528125
ACH-000787,-0.47685445452200004
ACH-000788,-0.351286229739
ACH-000791,-0.580530401483
ACH-000792,-0.202410634797
ACH-000794,-0.333584548172
ACH-000796,-0.0849772224616
ACH-000799,-0.474145297468
ACH-000800,-0.366867549623
ACH-000802,-0.171381624748
ACH-000804,-0.0637260143564
ACH-000805,-0.344263014946
ACH-000809,-0.279227620292
ACH-000810,-0.164152005266
ACH-000811,-0.351858145496
ACH-000817,-0.0827097547137
ACH-000819,-0.167520565593
ACH-000820,-0.634248091729
ACH-000821,-0.5343908848260001
ACH-000822,-0.611263195365
