,ARL4D (379)
ACH-000004,-0.6288095448250001
ACH-000007,-0.555222348218
ACH-000009,-0.734368218751
ACH-000011,-0.5077493308300001
ACH-000012,-0.561600267112
ACH-000013,-0.639381505306
ACH-000014,-0.6667487170399999
ACH-000015,-0.480776274
ACH-000017,-0.541049390069
ACH-000018,-0.821477809016
ACH-000019,-0.270266353416
ACH-000021,-0.402347384038
ACH-000022,-0.554733184653
ACH-000025,-0.47685823870899996
ACH-000028,-0.420161275053
ACH-000030,-0.543072257266
ACH-000035,-0.680892481388
ACH-000036,-0.588642073741
ACH-000037,-0.35925986507299995
ACH-000039,-0.505758193374
ACH-000040,-0.599811424634
ACH-000041,-0.48539383558
ACH-000042,-0.596334256859
ACH-000045,-0.526397130623
ACH-000047,-0.64928449061
ACH-000052,-0.545760156631
ACH-000053,-0.429918358203
ACH-000054,-0.481420573255
ACH-000055,-0.340498544814
ACH-000060,-0.57677617203
ACH-000067,-0.44291228761699997
ACH-000070,-0.363777540154
ACH-000075,-0.8631504380060001
ACH-000078,-0.616870193045
ACH-000082,-0.498913724485
ACH-000085,-0.393682068349
ACH-000086,-0.40218377350199996
ACH-000087,-0.324340589749
ACH-000092,-0.497419467046
ACH-000095,-0.6682064766870001
ACH-000097,-0.570933274237
ACH-000098,-0.508164801105
ACH-000099,-0.41947970869
ACH-000108,-0.5449170898269999
ACH-000113,-0.526544108585
ACH-000115,-0.517287120874
ACH-000116,-0.610565152896
ACH-000118,-0.48669227270599996
ACH-000120,-0.7333799280969999
ACH-000123,-0.562165028806
ACH-000127,-0.429657431247
ACH-000128,-0.814722158123
ACH-000132,-0.6010160481310001
ACH-000133,-0.5701662222280001
ACH-000137,-0.705607194963
ACH-000138,-0.662543380509
ACH-000142,-0.44302523070699995
ACH-000143,-0.722184478529
ACH-000146,-0.5592021876300001
ACH-000148,-0.69218214108
ACH-000150,-0.6806598573639999
ACH-000152,-0.554615988453
ACH-000153,-0.575766378604
ACH-000159,-0.520065068253
ACH-000160,-0.348490323306
ACH-000163,-0.785151364746
ACH-000167,-0.491334945519
ACH-000168,-0.634487382422
ACH-000169,-0.491088851752
ACH-000178,-0.476100765722
ACH-000182,-0.655685331862
ACH-000183,-0.388336651933
ACH-000188,-0.742950337827
ACH-000189,-0.455488543361
ACH-000190,-0.15834528265
ACH-000198,-0.36495642880999996
ACH-000204,-0.516164251813
ACH-000206,-0.501643218395
ACH-000207,-0.606740989112
ACH-000211,-0.6129326815039999
ACH-000215,-0.579343439986
ACH-000221,-0.6173839861020001
ACH-000222,-0.655955056619
ACH-000223,-0.406466503157
ACH-000226,-0.505479620232
ACH-000227,-0.563905723447
ACH-000228,-0.669309130584
ACH-000231,-0.536356690716
ACH-000232,-0.511287656504
ACH-000233,-0.271895474364
ACH-000234,-0.763365982956
ACH-000235,-0.6006966385279999
ACH-000237,-0.589960926329
ACH-000238,-0.475057344243
ACH-000243,-0.6841813365620001
ACH-000244,-1.0077688487799998
ACH-000246,-0.504309095788
ACH-000248,-0.730616384591
ACH-000250,-0.6453294745570001
ACH-000251,-0.318362035984
ACH-000253,-0.360079734002
ACH-000255,-0.597674022879
ACH-000256,-0.5742755339600001
ACH-000257,-0.405750043943
ACH-000258,-0.314541589137
ACH-000259,-0.655105472091
ACH-000260,-0.551117806794
ACH-000261,-0.58531932428
ACH-000262,-0.440134396798
ACH-000263,-0.848613013028
ACH-000264,-0.566204340591
ACH-000265,-0.6452788134040001
ACH-000266,-0.530348060261
ACH-000272,-0.586957661696
ACH-000273,-0.572745673358
ACH-000274,-0.619403700047
ACH-000277,-0.693536067632
ACH-000278,-0.49170931009700003
ACH-000279,-0.559377420188
ACH-000280,-0.581269446903
ACH-000281,-0.531582216907
ACH-000288,-0.5796256094250001
ACH-000291,-0.6130777728419999
ACH-000293,-0.7019049773780001
ACH-000294,-0.635457261585
ACH-000295,-0.671378330404
ACH-000296,-0.671963506956
ACH-000302,-0.580983135089
ACH-000304,-0.184703462322
ACH-000307,-0.49748036780199995
ACH-000308,-0.621470124595
ACH-000310,-0.57633090674
ACH-000311,-0.42594396637299997
ACH-000312,-0.66339045618
ACH-000315,-0.72140479081
ACH-000316,-0.734097963491
ACH-000317,-0.39151573946999996
ACH-000318,-0.49485194682899997
ACH-000319,-0.5501217594250001
ACH-000320,-0.476141280077
ACH-000322,-0.6677196324069999
ACH-000323,-0.6995631227310001
ACH-000324,-0.619017694961
ACH-000329,-0.6617604497940001
ACH-000330,-0.521773279446
ACH-000331,-0.496244358332
ACH-000332,-0.6429803687300001
ACH-000334,-0.58977585945
ACH-000335,-0.630338305541
ACH-000336,-0.18996368214200002
ACH-000337,-0.662357194867
ACH-000339,-0.41933146384900005
ACH-000341,-0.260029390023
ACH-000348,-0.498725412114
ACH-000350,-0.6497703537990001
ACH-000352,-0.532486925031
ACH-000356,-0.7283100476109999
ACH-000361,-0.34216816278000006
ACH-000362,-0.46358699515600005
ACH-000363,-0.493270672114
ACH-000364,-0.582139498746
ACH-000365,-0.528983033185
ACH-000366,-0.579673809481
ACH-000368,-0.442035605353
ACH-000374,-0.57405272891
ACH-000375,-0.508828232872
ACH-000376,-0.56278594959
ACH-000381,-0.593946740664
ACH-000383,-0.576183743851
ACH-000387,-0.457177356181
ACH-000389,-0.602737675045
ACH-000390,-0.778752413037
ACH-000393,-0.438963111459
ACH-000395,-0.499509949895
ACH-000397,-0.659777964878
ACH-000401,-0.52256622195
ACH-000402,-0.763603662624
ACH-000403,-0.659889068418
ACH-000404,-1.08609309921
ACH-000406,-0.427689216851
ACH-000407,-0.569228663723
ACH-000408,-0.517022976418
ACH-000410,-0.574150116216
ACH-000411,-0.546953384877
ACH-000414,-0.52515432069
ACH-000415,-0.8298895174600001
ACH-000416,-0.543746581997
ACH-000420,-0.5007498417790001
ACH-000421,-0.545359156831
ACH-000424,-0.255268187999
ACH-000425,-0.666870323013
ACH-000426,-0.5371067653
ACH-000427,-0.816882335034
ACH-000433,-0.752499755182
ACH-000436,-0.255387811016
ACH-000444,-0.6275971305879999
ACH-000445,-0.47898447299900004
ACH-000448,-0.35138239458400006
ACH-000450,-0.36657993990599996
ACH-000452,-0.6415452490829999
ACH-000454,-0.5135683156040001
ACH-000458,-0.36737233019
ACH-000459,-0.201201259324
ACH-000460,-0.6320756615550001
ACH-000461,-0.491760798785
ACH-000463,-0.587823095494
ACH-000464,-0.72428829021
ACH-000466,-0.661711774801
ACH-000467,-0.50657696041
ACH-000468,-0.692066171986
ACH-000469,-0.48755536086499995
ACH-000470,-0.450705286376
ACH-000471,-0.6990287474690001
ACH-000472,-0.633174741922
ACH-000473,-0.5752112343060001
ACH-000475,-0.533364240361
ACH-000476,-0.638007023173
ACH-000477,-0.559351338093
ACH-000480,-0.485166763287
ACH-000481,-0.728966169941
ACH-000483,-0.660882145707
ACH-000484,-0.546405482103
ACH-000485,-0.599101851938
ACH-000486,-0.630479458016
ACH-000487,-0.562441947132
ACH-000488,-0.563189226901
ACH-000490,-0.441684141761
ACH-000491,-0.64213983179
ACH-000495,-0.598676952727
ACH-000496,-0.606144112079
ACH-000499,-0.7223168334819999
ACH-000500,-0.420838839576
ACH-000502,-0.435514499488
ACH-000503,-0.504430164709
ACH-000505,-0.516980770467
ACH-000507,-0.758262932013
ACH-000510,-0.445146999209
ACH-000511,-0.578882626053
