,BGLAP (632)
ACH-000461,0.059724336754
ACH-000463,-0.171174764167
ACH-000464,-0.00010686592138
ACH-000466,-0.140758407553
ACH-000467,-0.228273189445
ACH-000468,0.09220954993
ACH-000469,0.0802134213359
ACH-000470,-0.00827681876471
ACH-000471,-0.119975599015
ACH-000472,0.0465900227914
ACH-000473,-0.31560476903900003
ACH-000475,-0.144134177767
ACH-000476,-0.190110895073
ACH-000477,-0.00655030521405
ACH-000480,-0.05303323243869999
ACH-000481,-0.15664282355599998
ACH-000483,-0.0260565729685
ACH-000484,-0.34138761381800004
ACH-000485,-0.0633665481611
ACH-000486,0.0423503272243
ACH-000487,-0.0707218947713
ACH-000488,-0.116648016113
ACH-000490,-0.16883890807500002
ACH-000491,-0.08234362563799999
ACH-000495,0.113851535657
ACH-000496,0.0208995098358
ACH-000499,0.0474381107279
ACH-000500,0.053693047673500006
ACH-000502,-0.21189399008499998
ACH-000503,-0.0292604183807
ACH-000505,-0.07735563940449999
ACH-000507,-0.10492899672900001
ACH-000510,-0.154742631748
ACH-000511,-0.00954092067743
ACH-000512,-0.24825349782699999
ACH-000516,-0.0385040760382
ACH-000517,-0.17562371117800002
ACH-000518,-0.10283571997999999
ACH-000520,-0.015395776810399999
ACH-000521,-0.145192529755
ACH-000522,-0.19834662019299998
ACH-000524,-0.091912254287
ACH-000527,0.029316608619999997
ACH-000528,-0.109710059195
ACH-000537,0.21991407373000002
ACH-000541,0.119454325376
ACH-000542,-0.0193016677037
ACH-000544,-0.117507828991
ACH-000545,-0.0447260178515
ACH-000547,-0.407879385917
ACH-000548,-0.144210571318
ACH-000549,-0.119501368441
ACH-000550,0.017625186373400003
ACH-000552,-0.325893963579
ACH-000556,-0.14319810283
ACH-000557,-0.184501562377
ACH-000570,0.0218207248435
ACH-000571,-0.0408298086334
ACH-000573,-0.0125087123836
ACH-000576,-0.0955364330799
ACH-000580,-0.36121810613600003
ACH-000584,0.0237827796913
ACH-000585,0.0073962455862700005
ACH-000588,-0.0878027421641
ACH-000589,-0.0332973430276
ACH-000591,0.215955448698
ACH-000593,0.0155841491219
ACH-000600,0.15296790648
ACH-000601,-0.05646748647890001
ACH-000604,-0.440447536056
ACH-000605,-0.24535412642299997
ACH-000606,-0.11612445714099999
ACH-000608,-0.21752595827399998
ACH-000614,-0.152005552465
ACH-000616,-0.039087604888699994
ACH-000618,-0.201821085491
ACH-000619,-0.0592202049363
ACH-000620,0.17854049380800002
ACH-000621,0.0984606308735
ACH-000622,-0.0861671768791
ACH-000623,0.203652656679
ACH-000624,-0.014218133715
ACH-000627,-0.0466025545617
ACH-000630,-0.0692120440483
ACH-000632,0.0281826540785
ACH-000633,-0.17896094098999998
ACH-000637,0.0456284025116
ACH-000638,-0.118207741719
ACH-000646,-0.0596941261482
ACH-000647,-0.209385421956
ACH-000648,-0.0749067199088
ACH-000649,-0.0267505145215
ACH-000651,0.025840172118099997
ACH-000652,-0.0997551924516
ACH-000653,0.11262779885600001
ACH-000657,-0.018081406491799998
ACH-000658,-0.08331991929610001
ACH-000661,0.138802659272
ACH-000662,0.043653016219300005
ACH-000663,0.045042288699900006
ACH-000665,0.044454691968400004
ACH-000671,-0.15574131897600002
ACH-000673,-0.0578952129279
ACH-000676,-0.0824670665925
ACH-000677,-0.00933008972842
ACH-000681,0.071199602819
ACH-000682,-0.120333956666
ACH-000683,-0.31083747398899997
ACH-000684,-0.236331488279
ACH-000688,0.07589428070210001
ACH-000693,-0.000493311763993
ACH-000694,0.0419795978637
ACH-000695,0.334440750108
ACH-000696,0.0200833344753
ACH-000697,-0.0124645941641
ACH-000699,0.0249338261454
ACH-000701,0.030108873589800002
ACH-000706,-0.189496306725
ACH-000711,-0.0688136078037
ACH-000713,-0.0728682904406
ACH-000714,-0.221323761853
ACH-000718,0.026963050109900005
ACH-000720,-0.07644205442039999
