,C1QTNF6 (114904)
ACH-000004,-0.127882180042
ACH-000007,0.0717956236
ACH-000009,-0.0672863224961
ACH-000011,-0.0675871824957
ACH-000012,-0.0592551239334
ACH-000013,-0.28964230210299996
ACH-000014,-0.243842712396
ACH-000015,-0.15080048353599998
ACH-000017,-0.035661473419800006
ACH-000018,-0.09677766426710001
ACH-000019,-0.16447539338
ACH-000021,-0.07042279796039999
ACH-000022,-0.12026458296800001
ACH-000025,-0.11234192769899999
ACH-000028,-0.138864814217
ACH-000030,-0.269144258704
ACH-000035,-0.0594334656053
ACH-000036,-0.392423736817
ACH-000037,-0.180428898
ACH-000039,-0.155018397884
ACH-000040,-0.245817832998
ACH-000041,-0.0709597802861
ACH-000042,-0.222366724337
ACH-000045,-0.174594815711
ACH-000047,-0.030802310858
ACH-000052,-0.111067609867
ACH-000053,-0.191643551144
ACH-000054,-0.101613421022
ACH-000055,0.0290317617113
ACH-000060,-0.291668443008
ACH-000067,-0.147117979224
ACH-000070,-0.134981502416
ACH-000075,-0.0253059199838
ACH-000078,-0.205400683152
ACH-000082,-0.103109125088
ACH-000085,-0.166755837798
ACH-000086,0.00812393472938
ACH-000087,-0.053280172069899996
ACH-000092,-0.129348508035
ACH-000095,-0.159264669641
ACH-000097,-0.174847597522
ACH-000098,-0.193357369741
ACH-000099,-0.36453856666999995
ACH-000108,-0.0812673452614
ACH-000113,-0.16514053699200001
ACH-000115,-0.551306640405
ACH-000116,-0.16893054081099998
ACH-000118,-0.119254733527
ACH-000120,-0.0671721688798
ACH-000123,-0.0128864841711
ACH-000127,0.0385192041137
ACH-000128,-0.156882782949
ACH-000132,-0.20610604136100003
ACH-000133,-0.173778190655
ACH-000137,-0.0590937399146
ACH-000138,0.16658943311799998
ACH-000142,0.039496436528699996
ACH-000143,-0.08306772398210001
ACH-000146,-0.17353091404800003
ACH-000148,-0.10928898403699999
ACH-000150,-0.159073667182
ACH-000152,-0.10076043225199999
ACH-000153,0.047558279350300006
ACH-000159,-0.0116848887645
ACH-000160,-0.102278706648
ACH-000163,-0.131346035999
ACH-000167,-0.00639980096467
ACH-000168,-0.372241950748
ACH-000169,-0.045070023938499994
ACH-000178,0.00181465240709
ACH-000182,-0.011325623245299999
ACH-000183,-0.181730167548
ACH-000188,-0.08075634837239999
ACH-000189,0.0009878451885610001
ACH-000190,-0.43008481016000005
ACH-000198,-0.10614508196799999
ACH-000204,-0.267519281128
ACH-000206,-0.22177972407299998
ACH-000207,-0.184394935388
ACH-000211,-0.0952975853859
ACH-000215,-0.0545584782531
ACH-000221,-0.147887944904
ACH-000222,0.0240608167575
ACH-000223,-0.0913554514585
ACH-000226,-0.224932747571
ACH-000227,-0.445688503405
ACH-000228,-0.21206528431
ACH-000231,-6.72590583689e-05
ACH-000232,-0.204744855295
ACH-000233,-0.025022327757599997
ACH-000234,-0.12670459883500002
ACH-000235,-0.024824171573
ACH-000237,-0.203644065817
ACH-000238,-0.16601392192
ACH-000243,-0.108759956936
ACH-000244,-0.17144949822500002
ACH-000246,-0.00483484268971
ACH-000248,-0.0656501719826
ACH-000250,-0.12974805393799999
ACH-000251,-0.00014874473442700003
