,PSMF1 (9491)
ACH-000004,-0.975429299402
ACH-000007,-0.051434274133
ACH-000009,-0.0725703525568
ACH-000011,-0.11129427428
ACH-000012,-0.29766234323699997
ACH-000013,-0.237873989444
ACH-000014,-0.110631276911
ACH-000015,-0.412234296677
ACH-000017,-0.515590015824
ACH-000018,-0.32317869821999995
ACH-000019,-0.322442136328
ACH-000021,-0.342392670708
ACH-000022,-0.0598766646292
ACH-000025,-0.294453722311
ACH-000028,-0.452556625528
ACH-000030,-0.286335622399
ACH-000035,-0.18984119796799998
ACH-000036,-0.299875653305
ACH-000037,-0.39899077326399995
ACH-000039,-0.747309311361
ACH-000040,-0.0425400113815
ACH-000041,-0.165695085535
ACH-000042,-0.6675539190399999
ACH-000045,-0.144469583583
ACH-000047,-0.461559981073
ACH-000052,-0.24677242639199998
ACH-000053,-0.0635665574187
ACH-000054,-0.41045310134400004
ACH-000055,-0.666101408654
ACH-000060,-0.412337093402
ACH-000067,-0.24335833889400002
ACH-000070,-0.501490396402
ACH-000075,-0.25204167728599997
ACH-000078,-0.332824042287
ACH-000082,-0.699254393629
ACH-000085,-0.636628680999
ACH-000086,-0.035548839103300006
ACH-000087,-0.378277392744
ACH-000092,-0.480764280108
ACH-000095,-0.5778374686150001
ACH-000097,-0.5862286270629999
ACH-000098,0.102470665086
ACH-000099,-0.694822287033
ACH-000108,-0.188286805823
ACH-000113,-0.36364337945299996
ACH-000115,-0.478921339027
ACH-000116,-0.28723128390999997
ACH-000118,-0.149801304883
ACH-000120,-0.629974261699
ACH-000123,-0.401141729598
ACH-000127,-0.211469630341
ACH-000128,-0.238333162556
ACH-000132,0.07933344667780001
ACH-000133,-0.199099313796
ACH-000137,-0.113962043682
ACH-000138,-0.333369989711
ACH-000142,-0.014290892171399998
ACH-000143,-0.275453695963
ACH-000146,-0.520437181222
ACH-000148,-0.245247257108
ACH-000150,-0.310594292644
ACH-000152,-0.35670535887500004
ACH-000153,-0.347292299541
ACH-000159,-0.279013766542
ACH-000160,-0.300636172445
ACH-000163,-0.193131106695
ACH-000167,0.976522551291
ACH-000168,-0.759979652213
ACH-000169,-0.180127242508
ACH-000178,-0.252088022688
