,SRPR (6734)
ACH-000004,-0.315892775898
ACH-000007,-0.570310694276
ACH-000009,-0.483529768001
ACH-000011,-0.803483601895
ACH-000012,-0.567943269609
ACH-000013,-0.712364291594
ACH-000014,-0.599165250015
ACH-000015,-0.6692552633919999
ACH-000017,-0.711012353845
ACH-000018,-0.548530247055
ACH-000019,-0.912074659727
ACH-000021,-0.455445514322
ACH-000022,-0.433084894469
ACH-000025,-0.5454579096109999
ACH-000028,-0.646203241978
ACH-000030,-0.454069004176
ACH-000035,-0.28943012592399997
ACH-000036,-0.683016128554
ACH-000037,-0.795191206521
ACH-000039,-0.8331264575489999
ACH-000040,-0.700543483537
ACH-000041,-0.554135931314
ACH-000042,-0.680896308311
ACH-000045,-0.826363679323
ACH-000047,-0.415586742618
ACH-000052,-0.9984474201669999
ACH-000053,-0.9282268161380001
ACH-000054,-0.622882207669
ACH-000055,-0.49531417627499996
ACH-000060,-0.674825156839
ACH-000067,-0.5999909051100001
ACH-000070,-0.8646576713590001
ACH-000075,-1.21134716778
ACH-000078,-0.77182904315
ACH-000082,-1.0031741705700001
ACH-000085,-0.8035847879449999
ACH-000086,-0.8005181665459999
ACH-000087,-0.945079858648
ACH-000092,-0.575380071963
ACH-000095,-0.661454605065
ACH-000097,-0.563475362186
ACH-000098,-0.511523568979
ACH-000099,-0.616549317929
ACH-000108,-0.60871689205
ACH-000113,-0.7052170122210001
ACH-000115,-0.556152032094
ACH-000116,-0.805299042387
ACH-000118,-0.7816593809100001
ACH-000120,-0.7437242214669999
ACH-000123,-0.63902263386
ACH-000127,-0.34824165092200005
ACH-000128,-0.8146589660019999
ACH-000132,-0.9006548940160001
ACH-000133,-0.499955730815
ACH-000137,-0.8311480231180001
ACH-000138,-0.583033888763
ACH-000142,-0.6286779854919999
ACH-000143,-0.70718593332
ACH-000146,-0.5564951616780001
ACH-000148,-0.597792320925
ACH-000150,-0.43896679348300005
ACH-000152,-0.772439191251
ACH-000153,-0.960252097139
ACH-000159,-0.487088866957
ACH-000160,-0.699193374455
ACH-000163,-0.610434385182
ACH-000167,-0.5904278486119999
ACH-000168,-0.5998753838359999
ACH-000169,-0.684061613171
ACH-000178,-0.5459528735279999
ACH-000182,-0.312364884678
ACH-000183,-0.862802271509
ACH-000188,-0.88414772514
ACH-000189,-1.06984429505
ACH-000190,-0.818062723034
ACH-000198,-0.6826110494200001
ACH-000204,-0.513794775799
ACH-000206,-0.356521671646
ACH-000207,-1.0636431879100001
ACH-000211,-0.6538281072150001
ACH-000215,-0.514332633937
ACH-000221,-0.569684013206
ACH-000222,-0.44908788730599997
ACH-000223,-0.653381005303
ACH-000226,-0.6096744338710001
ACH-000227,-0.44144911750699994
ACH-000228,-0.89001058574
ACH-000231,-0.5514343577709999
ACH-000232,-0.5982185809080001
ACH-000233,-0.599190631813
ACH-000234,-0.745373875922
ACH-000235,-0.563783003708
ACH-000237,-0.558091082907
ACH-000238,-0.610566041292
ACH-000243,-0.570584562618
ACH-000244,-0.511252471751
ACH-000246,-0.6490038949679999
ACH-000248,-0.835746639092
ACH-000250,-0.621983457015
ACH-000251,-0.387985689604
ACH-000253,-0.604165510549
ACH-000255,-0.779419470489
ACH-000256,-0.405722068378
ACH-000257,-0.563951615408
ACH-000258,-0.742313670806
ACH-000259,-0.97008240842
ACH-000260,-0.8739568146209999
ACH-000261,-0.517378385507
ACH-000262,-0.500895742126
ACH-000263,-0.610243011758
ACH-000264,-0.807766240613
ACH-000265,-0.640707596729
ACH-000266,-0.7083894243659999
