,PLCE1 (51196)
ACH-000004,-0.159134789337
ACH-000007,0.009852582723739999
ACH-000009,-0.470801452526
ACH-000011,-0.0162831887633
ACH-000012,-0.297681115381
ACH-000013,0.0347801101056
ACH-000014,-0.409246263446
ACH-000015,-0.191951442724
ACH-000017,-0.000625594415465
ACH-000018,-0.25292696023
ACH-000019,-0.015185617597100002
ACH-000021,-0.0713162050304
ACH-000022,-0.020544736023200002
ACH-000025,-0.244395838879
ACH-000028,-0.112820760646
ACH-000030,-0.126679632928
ACH-000035,-0.0194685704113
ACH-000036,0.144818965667
ACH-000037,0.057275926754400006
ACH-000039,0.15545922124000003
ACH-000040,-0.143971859958
ACH-000041,0.0611421650786
ACH-000042,-0.0266189198455
ACH-000045,-0.029224702223499998
ACH-000047,0.07742964916230001
ACH-000052,-0.218135431431
ACH-000053,-0.040664902980699996
ACH-000054,-0.099942590443
ACH-000055,-0.154021463296
ACH-000060,-0.24768665395300002
ACH-000067,-0.139929050826
ACH-000070,-0.13300472936
ACH-000075,0.209439376071
ACH-000078,0.062200743596
ACH-000082,-0.0728105751853
ACH-000085,0.176158068068
ACH-000086,-0.17362532569699998
ACH-000087,0.026202607322999998
ACH-000092,-0.0028779970402
ACH-000095,-0.0684262541903
ACH-000097,-0.07721989784139999
ACH-000098,-0.191997602981
ACH-000099,-0.0337087054398
ACH-000108,-0.125883749849
ACH-000113,-0.0912274646751
ACH-000115,-0.13190168209699998
ACH-000116,-0.136653973116
ACH-000118,-0.0924048479929
ACH-000120,-0.13270409341199998
ACH-000123,-0.07906589810760001
ACH-000127,-0.055098123407199995
ACH-000128,-0.06207315734590001
ACH-000132,-0.222256757888
ACH-000133,-0.0659398748305
ACH-000137,-0.252624850078
ACH-000138,0.0250854424775
ACH-000142,-0.0916663290874
ACH-000143,-0.118703131993
ACH-000146,-0.09736975819739999
ACH-000148,-0.184431537478
ACH-000150,-0.00930009061068
ACH-000152,-0.17294909736699998
ACH-000153,-0.0193967541549
ACH-000159,-0.00685163207564
ACH-000160,-0.06553264642000001
ACH-000163,-0.0181611167502
ACH-000167,-0.33739859094700003
ACH-000168,0.0103794324566
ACH-000169,0.013703547673200001
ACH-000178,-0.120031627548
ACH-000182,-0.29876223544
ACH-000183,-0.235493412656
ACH-000188,-0.08418419621739999
ACH-000189,-0.20504334525100001
