,ASNA1 (439)
ACH-000004,-0.47263070685
ACH-000007,-0.93498517164
ACH-000009,-1.35262063445
ACH-000011,-1.07621469129
ACH-000012,-1.0255807966
ACH-000013,-0.7900350790790001
ACH-000014,-1.07312560684
ACH-000015,-0.850707491825
ACH-000017,-1.58656064368
ACH-000018,-0.8803560042849999
ACH-000019,-0.561107871859
ACH-000021,-1.15841275649
ACH-000022,-1.14591754091
ACH-000025,-0.857742353762
ACH-000028,-0.538832138537
ACH-000030,-1.23947019294
ACH-000035,-1.00666968537
ACH-000036,-0.741854929391
ACH-000037,-0.5611900030529999
ACH-000039,-0.555728891581
ACH-000040,-0.903275057631
ACH-000041,-0.473229090375
ACH-000042,-0.597653770893
ACH-000045,-0.7717297089380001
ACH-000047,-0.9284276938930001
ACH-000052,-1.22692010053
ACH-000053,-0.669158028167
ACH-000054,-0.252107081992
ACH-000055,-1.05588063502
ACH-000060,-1.1218702516399999
ACH-000067,-0.821125751506
ACH-000070,-1.08960900358
ACH-000075,-0.42957922707400004
ACH-000078,-0.918441498747
ACH-000082,-0.509265533043
ACH-000085,-1.4690230664100001
ACH-000086,-1.31464857574
ACH-000087,-0.965879621948
ACH-000092,-0.9159819033869999
ACH-000095,-0.917421091188
ACH-000097,-1.113005897
ACH-000098,-0.971435967943
ACH-000099,-1.1292059215
ACH-000108,-1.0619803344299998
ACH-000113,-1.14895561588
ACH-000115,-1.23256050824
ACH-000116,-0.9458100397849999
ACH-000118,-0.623054312021
ACH-000120,-0.835562996565
ACH-000123,-0.9298535474099999
ACH-000127,-0.662352271024
ACH-000128,-0.727552159437
ACH-000132,-1.17574911274
ACH-000133,-0.831228139605
ACH-000137,-0.543813879778
ACH-000138,-1.0316076779
ACH-000142,-0.9484780488269999
ACH-000143,-0.944458894821
ACH-000146,-1.2125009422700002
ACH-000148,-0.893672718478
ACH-000150,-0.744503783815
ACH-000152,-1.02583456807
ACH-000153,-0.820238118615
ACH-000159,-1.04579991141
ACH-000160,-0.585830745129
ACH-000163,-1.1706125716299998
ACH-000167,-0.6792265563009999
ACH-000168,-1.18523960566
