,AAK1 (22848)
ACH-000004,-0.00846480160106
ACH-000007,-0.239013277398
ACH-000009,-0.307804959118
ACH-000011,-0.28475347651599997
ACH-000012,-0.325692617956
ACH-000013,-0.327414282198
ACH-000014,-0.215251031453
ACH-000015,-0.41253929701
ACH-000017,-0.17224635723499998
ACH-000018,-0.512034443588
ACH-000019,-0.286575702832
ACH-000021,-0.48329896681699996
ACH-000022,-0.34072644268299995
ACH-000025,-0.23533033490699998
ACH-000028,-0.502233246792
ACH-000030,-0.29791531477600003
ACH-000035,-0.48132310322599997
ACH-000036,-0.393506545258
ACH-000037,-0.143891007939
ACH-000039,-0.370024816061
ACH-000040,-0.40753816819600003
ACH-000041,-0.10190066769200001
ACH-000042,-0.33648811719300004
ACH-000045,-0.361642184775
ACH-000047,-0.227833673276
ACH-000052,-0.152677137044
ACH-000053,-0.35257432859099996
ACH-000054,-0.212909419709
ACH-000055,-0.235808120496
ACH-000060,0.0269271389761
ACH-000067,-0.364382157232
ACH-000070,-0.0482623175167
ACH-000075,-0.284924568028
ACH-000078,-0.325014021875
ACH-000082,-0.18287603272999997
ACH-000085,-0.226694330818
ACH-000086,-0.34120371933
ACH-000087,-0.36626410731299996
ACH-000092,-0.5069808627769999
ACH-000095,-0.276798584919
ACH-000097,-0.282982951729
ACH-000098,-0.33312030222800004
ACH-000099,-0.382160277439
ACH-000108,-0.395699976897
ACH-000113,-0.260734128189
ACH-000115,-0.16287413577999998
ACH-000116,-0.392151923481
ACH-000118,-0.325798177127
ACH-000120,-0.405422778374
ACH-000123,-0.30841687535900003
ACH-000127,-0.52136288702
ACH-000128,-0.21746217048900002
ACH-000132,-0.473102963442
ACH-000133,-0.43120095926799995
ACH-000137,-0.504242697997
ACH-000138,-0.14409323521
ACH-000142,-0.31523750285
ACH-000143,-0.373496799305
ACH-000146,-0.239253999428
ACH-000148,-0.377824552069
ACH-000150,-0.12371900553899999
ACH-000152,-0.529199001013
ACH-000153,-0.234703203189
ACH-000159,-0.201610490614
ACH-000160,-0.37233951185
ACH-000163,-0.5083579909220001
ACH-000167,-0.52017162622
ACH-000168,-0.5183926581830001
ACH-000169,-0.18772616983600002
ACH-000178,-0.275270424551
ACH-000182,-0.307354466113
ACH-000183,-0.158530580158
ACH-000188,-0.191251129676
ACH-000189,-0.615206740027
ACH-000190,-0.551320674241
ACH-000198,-0.347758178061
ACH-000204,-0.422539339313
ACH-000206,-0.29265900243
ACH-000207,-0.35873101076999997
ACH-000211,-0.29797120797
ACH-000215,-0.31632147998300003
ACH-000221,-0.398918478743
ACH-000222,-0.395860926915
ACH-000223,-0.403162313168
ACH-000226,-0.20582886935
ACH-000227,-0.247792559473
ACH-000228,-0.352407115177
ACH-000231,-0.411280933056
