,GOLT1B (51026)
ACH-000004,-0.229801029848
ACH-000007,0.0376043299926
ACH-000009,-0.17601010522
ACH-000011,-0.0747563172503
ACH-000012,-0.19271500068599998
ACH-000013,-0.10713056495300001
ACH-000014,-0.07079446333539999
ACH-000015,-0.128797499318
ACH-000017,-0.011820148207200003
ACH-000018,-0.303799603568
ACH-000019,-0.113450037465
ACH-000021,-0.0984762645345
ACH-000022,0.114138851404
ACH-000025,-0.09292314216469999
ACH-000028,0.196349747165
ACH-000030,0.141655908434
ACH-000035,-0.12631934624500002
ACH-000036,-0.537252019181
ACH-000037,-0.09700981764149999
ACH-000039,-0.17659882814199998
ACH-000040,-0.32770269457
ACH-000041,0.240002953511
ACH-000042,0.211791517329
ACH-000045,-0.019138331730400002
ACH-000047,0.0682976774153
ACH-000052,-0.205433178341
ACH-000053,0.0826426663494
ACH-000054,-0.300965777361
ACH-000055,-0.235315149176
ACH-000060,0.209649664393
ACH-000067,0.00407144585533
ACH-000070,0.0800695799043
ACH-000075,-0.19299421660799998
ACH-000078,-0.318012966084
ACH-000082,-0.27097434319499997
ACH-000085,-0.11260206160999998
ACH-000086,-0.275151834423
ACH-000087,0.22275909937199997
ACH-000092,-0.41457282722800004
ACH-000095,-0.253345982974
ACH-000097,0.0578414199044
ACH-000098,-0.288834133155
ACH-000099,-0.07164443837939999
ACH-000108,0.132687316646
ACH-000113,-0.00884106451562
ACH-000115,-0.0684092557646
ACH-000116,-0.0423821985199
ACH-000118,-0.18876458571899998
ACH-000120,-0.145188095431
ACH-000123,-0.0518822210821
ACH-000127,-0.0165361168189
ACH-000128,-0.0573690715291
ACH-000132,-0.150607874668
ACH-000133,-0.06445244655980001
ACH-000137,0.162197672468
ACH-000138,-0.420477510492
ACH-000142,-0.08656256889080001
ACH-000143,-0.302739342212
ACH-000146,-0.164082087549
ACH-000148,0.011817805257899999
ACH-000150,-0.415784682363
ACH-000152,-0.152018155169
ACH-000153,-0.18348760042999998
ACH-000159,-0.14088426594
ACH-000160,0.06600510460640001
ACH-000163,-0.16210564358500001
ACH-000167,-0.366120208725
ACH-000168,-0.214802337623
ACH-000169,-0.109363773363
ACH-000178,-0.436048812251
ACH-000182,0.20397617114500002
ACH-000183,0.0702629701742
ACH-000188,-0.10469191215
ACH-000189,-0.0048093102252
ACH-000190,-0.419960401324
ACH-000198,-0.286750147216
ACH-000204,-0.22109783435199998
ACH-000206,-0.20688534002700001
ACH-000207,-0.23047838724599998
ACH-000211,0.0390025690242
ACH-000215,-0.446768771
ACH-000221,0.008838847050909999
ACH-000222,0.042612035514900004
ACH-000223,-0.0301890585915
ACH-000226,-0.18379438185
