,NUDT16L1 (84309)
ACH-000004,0.00430876290209
ACH-000007,-0.24335379130399998
ACH-000009,-0.152494293697
ACH-000011,-0.55336938525
ACH-000012,-0.283596490498
ACH-000013,-0.223048165388
ACH-000014,-0.154351949509
ACH-000015,-0.510678379172
ACH-000017,-0.136128687696
ACH-000018,-0.219205590446
ACH-000019,-0.279099694571
ACH-000021,-0.319060048383
ACH-000022,-0.35403799708899997
ACH-000025,-0.247029628959
ACH-000028,-0.548346858564
ACH-000030,-0.123795518634
ACH-000035,-0.12078284938100001
ACH-000036,-0.5219151918580001
ACH-000037,-0.42105669650399996
ACH-000039,-0.474621512366
ACH-000040,-0.480940702174
ACH-000041,-0.00966323807906
ACH-000042,-0.407610169473
ACH-000045,-0.48591441978699995
ACH-000047,-0.316766789906
ACH-000052,-0.408779992174
ACH-000053,-0.155040518174
ACH-000054,-0.213740833503
ACH-000055,-0.541990175442
ACH-000060,-0.112207829102
ACH-000067,-0.28251260345400003
ACH-000070,-0.17529417238400002
ACH-000075,-0.117247035875
ACH-000078,-0.165000559826
ACH-000082,-0.42997564510700004
ACH-000085,-0.407180598058
ACH-000086,-0.280431978093
ACH-000087,-0.20222532606899998
ACH-000092,-0.316008152758
ACH-000095,-0.365015863282
ACH-000097,-0.605367701025
ACH-000098,-0.262262965911
ACH-000099,-0.145612027106
ACH-000108,-0.334527475127
ACH-000113,-0.18849411220600001
ACH-000115,-0.189290214938
ACH-000116,-0.43534345441600003
ACH-000118,-0.197407454082
ACH-000120,-0.404251003277
ACH-000123,-0.36088379148500005
ACH-000127,-0.250236576799
ACH-000128,-0.121564814072
ACH-000132,-0.332558519549
ACH-000133,-0.20307564075399998
ACH-000137,-0.315287939929
ACH-000138,-0.18974922366900002
ACH-000142,-0.48885146944700003
ACH-000143,0.105231399245
ACH-000146,-0.164093521352
ACH-000148,-0.385478662977
ACH-000150,-0.642535778253
ACH-000152,-0.0527388255663
ACH-000153,-0.43460872021799996
ACH-000159,-0.301827420918
ACH-000160,-0.000889015382271
ACH-000163,-0.318891236803
ACH-000167,-0.259918858011
ACH-000168,-0.490678660217
ACH-000169,-0.286576905241
ACH-000178,-0.323129283524
ACH-000182,-0.28905441074099997
ACH-000183,-0.254995440468
ACH-000188,-0.261160642822
ACH-000189,-0.779572317648
ACH-000190,-0.143208155392
ACH-000198,-0.168458872007
ACH-000204,0.225042909811
ACH-000206,-0.250346415991
ACH-000207,-0.150058212862
ACH-000211,-0.0967001722735
ACH-000215,-0.353601357369
ACH-000221,-0.170381127453
ACH-000222,-0.229187504827
ACH-000223,-0.21238116225200002
ACH-000226,-0.288934682449
ACH-000227,0.0064694236043200005
ACH-000228,-0.09676322215989999
ACH-000231,-0.4540223802100001
ACH-000232,-0.378568511439
ACH-000233,-0.0442848200528
ACH-000234,-0.24158483785
ACH-000235,-0.33750756318
ACH-000237,-0.115956157706
ACH-000238,-0.34524952629699995
ACH-000243,-0.35217735140399997
ACH-000244,-0.27221927542
ACH-000246,-0.23996846656100002
ACH-000248,-0.0203089364205
ACH-000250,-0.263764064247
ACH-000251,-0.09826863467739999
ACH-000253,-0.445924520329
ACH-000255,-0.245593615466
ACH-000256,-0.169033864026
ACH-000257,-0.281022698041
ACH-000258,-0.09471982350670001
ACH-000259,-0.086589595782
ACH-000260,-0.359072212866
ACH-000261,-0.245986320427
ACH-000262,-0.238680459672
ACH-000263,-0.0067776876597900005
ACH-000264,-0.377483446502
ACH-000265,-0.345208141195
ACH-000266,-0.250953724742
ACH-000272,-0.27196402330499997
ACH-000273,-0.421507451818
ACH-000274,-0.20237619474399998
ACH-000277,-0.284735632217
ACH-000278,-0.31626928893399997
ACH-000279,-0.222972384685
ACH-000280,-0.298687887376
ACH-000281,-0.10981810281099999
