,BRMS1 (25855)
ACH-000004,-0.513034753029
ACH-000007,-0.503670063662
ACH-000009,-0.27496822016100003
ACH-000011,-0.438081815273
ACH-000012,-0.511240205891
ACH-000013,-0.477346024497
ACH-000014,0.133114255639
ACH-000015,-0.329573296748
ACH-000017,-0.532377057936
ACH-000018,-0.38268744978600006
ACH-000019,-0.8165692327249999
ACH-000021,-0.437267887644
ACH-000022,-0.34110763395800003
ACH-000025,-0.22175135734700002
ACH-000028,-0.394224732131
ACH-000030,-0.57525878065
ACH-000035,-0.44751801884
ACH-000036,-0.276496811768
ACH-000037,-0.6730040276629999
ACH-000039,-0.884308487923
ACH-000040,-0.481964033509
ACH-000041,-0.371979910066
ACH-000042,-0.469426985864
ACH-000045,-0.493580772075
ACH-000047,-0.277979894232
ACH-000052,-0.41843876179899997
ACH-000053,-0.6023646403499999
ACH-000054,-0.45588742470700006
ACH-000055,-0.530284354591
ACH-000060,-0.381233277731
ACH-000067,-0.271527702768
ACH-000070,-0.290814560931
ACH-000075,-0.237258608021
ACH-000078,-0.50207019555
ACH-000082,-0.576761244594
ACH-000085,-0.468541380715
ACH-000086,-0.582359600596
ACH-000087,-0.67277695486
ACH-000092,-0.40057103570600006
ACH-000095,-0.44571336925099997
ACH-000097,-0.40751226355400005
ACH-000098,-0.25503074675500004
ACH-000099,-0.389703375553
ACH-000108,-0.249047130379
ACH-000113,-0.308112020097
ACH-000115,-0.6935002525380001
ACH-000116,-0.7110939139040001
ACH-000118,-0.452574247009
ACH-000120,-0.424574197481
ACH-000123,-0.437757596907
ACH-000127,-0.311901048996
ACH-000128,-0.0335157501048
ACH-000132,-0.682717850766
ACH-000133,-0.40684660042599996
ACH-000137,-0.43981272748899997
ACH-000138,-0.258691201284
ACH-000142,-0.529394602962
ACH-000143,-0.547968034898
ACH-000146,-0.287655372829
ACH-000148,-0.23170464911400002
ACH-000150,-0.377179077917
ACH-000152,-0.419572524646
ACH-000153,-0.375381959925
ACH-000159,-0.279866565866
ACH-000160,-0.586639609041
ACH-000163,-0.363756182453
ACH-000167,-0.17126813848900002
ACH-000168,-0.421051100401
ACH-000169,-0.399078859084
ACH-000178,-0.297156690819
ACH-000182,-0.38705587374600003
ACH-000183,-0.280040518466
ACH-000188,-0.634821913991
ACH-000189,-0.801621502215
ACH-000190,-0.316869148426
ACH-000198,-0.589112644894
ACH-000204,-0.433760902765
ACH-000206,-0.0508350498357
ACH-000207,-0.7915571453039999
ACH-000211,-0.500047284645
ACH-000215,-0.255627502935
ACH-000221,-0.502108732261
ACH-000222,-0.613047103116
ACH-000223,-0.41062468581600003
ACH-000226,-0.35176667179399995
ACH-000227,-0.227424937458
ACH-000228,-0.652506873502
ACH-000231,-0.38826510442100004
ACH-000232,-0.329888326758
ACH-000233,-0.46052717504699997
ACH-000234,-0.183464003864
ACH-000235,-0.285174958303
ACH-000237,-0.371993811283
ACH-000238,-0.470132564719
ACH-000243,-0.37223602879
ACH-000244,-0.616376637953
ACH-000246,-0.461958601427
ACH-000248,-0.139660471484
ACH-000250,-0.37225729563
ACH-000251,-0.577633864339
ACH-000253,-0.446084592103
ACH-000255,-0.567328201795
ACH-000256,-0.530728940582
ACH-000257,-0.135281742869
ACH-000258,0.0204620635595
ACH-000259,-0.328347223008
ACH-000260,-0.468301237526
ACH-000261,-0.447472364434
ACH-000262,-0.535453972875
ACH-000263,-0.435072622267
ACH-000264,-0.348556329547
ACH-000265,-0.311408061441
ACH-000266,-0.455708893902
ACH-000272,-0.170591571245
ACH-000273,-0.466368004838
ACH-000274,-0.284648338611
ACH-000277,-0.8220880014390001
ACH-000278,-0.526483625172
ACH-000279,-0.311572494316
ACH-000280,-0.22446664717300002
ACH-000281,-0.734158282345
ACH-000288,-0.448811170046
ACH-000291,-0.34933507445900003
ACH-000293,-0.28682344665
