,MGEA5 (10724)
ACH-000004,-0.446816364636
ACH-000007,-0.31746952223
ACH-000009,-0.159264202092
ACH-000011,-0.0692382610388
ACH-000012,-0.301762376927
ACH-000013,-0.520260771042
ACH-000014,-0.423189600786
ACH-000015,-0.34107516531099996
ACH-000017,-0.287715216496
ACH-000018,0.152255976356
ACH-000019,-0.558382540622
ACH-000021,-0.38563282577799995
ACH-000022,-0.1835321307
ACH-000025,-0.716698547895
ACH-000028,-0.461638056505
ACH-000030,-0.16051568546199999
ACH-000035,0.114402110678
ACH-000036,-0.5376051836119999
ACH-000037,-0.36318652341700003
ACH-000039,-0.592945959802
ACH-000040,-0.0929482156007
ACH-000041,-0.42555265053900004
ACH-000042,-0.35515517990699996
ACH-000045,-0.441543773395
ACH-000047,-0.0589528687904
ACH-000052,-0.0740155410429
ACH-000053,-0.483091985821
ACH-000054,-0.263853928965
ACH-000055,-0.780336993356
ACH-000060,-0.074200330868
ACH-000067,-0.247805017056
ACH-000070,-0.70447922542
ACH-000075,-0.220297335844
ACH-000078,-0.536437538275
ACH-000082,-0.47298576651100005
ACH-000085,-0.143038319766
ACH-000086,-0.16817072358100002
ACH-000087,-0.20626737186000002
ACH-000092,-0.3258247707
ACH-000095,-0.114133897311
ACH-000097,-0.527095405956
ACH-000098,0.11273341512
ACH-000099,-0.167626114157
ACH-000108,-0.17383582080499999
ACH-000113,-0.450025736717
ACH-000115,-0.36118551746
ACH-000116,-0.228445236212
ACH-000118,-0.0301175493321
ACH-000120,-0.396292926381
ACH-000123,-0.596878104865
ACH-000127,-0.0040287137213
ACH-000128,-0.343731981052
ACH-000132,-0.257133596466
ACH-000133,-0.525590245309
ACH-000137,-0.293252908601
ACH-000138,-0.319268799771
ACH-000142,-0.212411330802
ACH-000143,-0.119323161203
ACH-000146,-0.534700051349
ACH-000148,-0.443047257168
ACH-000150,-0.229038832278
ACH-000152,-0.497406614688
ACH-000153,-0.164402272544
ACH-000159,-0.293004268616
ACH-000160,-0.41316626967
ACH-000163,-0.0655476822322
ACH-000167,-0.7187896065780001
ACH-000168,-0.18760416981199998
ACH-000169,-0.657916883852
ACH-000178,-0.364309361244
ACH-000182,-0.24757995981400002
ACH-000183,-0.108364719794
ACH-000188,-0.43310208354999996
ACH-000189,-0.466489331751
ACH-000190,-0.238022775933
ACH-000198,-0.8532640401520001
ACH-000204,-0.215703652958
ACH-000206,-0.585817718899
ACH-000207,-0.212248761445
ACH-000211,-0.578966934577
ACH-000215,-0.41734444245499996
ACH-000221,-0.484478845193
ACH-000222,-0.25061609420200004
ACH-000223,-0.371121661342
ACH-000226,-0.46219023607799997
ACH-000227,-0.41866344424199997
ACH-000228,-0.701364437598
ACH-000231,-0.261854987049
ACH-000232,0.101527415112
ACH-000233,-0.550761821465
ACH-000234,-0.129699975679
ACH-000235,-0.3887226264
ACH-000237,-0.63636242139
