,DDOST (1650)
ACH-000004,-0.746717222139
ACH-000007,-1.29186035328
ACH-000009,-1.04220589988
ACH-000011,-1.02326966733
ACH-000012,-1.09778012863
ACH-000013,-1.10519181608
ACH-000014,-0.9952906566859999
ACH-000015,-0.956696617966
ACH-000017,-1.1681431291600002
ACH-000018,-1.13474775345
ACH-000019,-0.7953699735699999
ACH-000021,-0.698949063328
ACH-000022,-1.19618830849
ACH-000025,-0.925477811056
ACH-000028,-0.847701257992
ACH-000030,-1.0015263330500002
ACH-000035,-0.8706505037569999
ACH-000036,-1.18140432431
ACH-000037,-1.2513112668000002
ACH-000039,-1.07673495821
ACH-000040,-0.960925901116
ACH-000041,-0.9005384731739999
ACH-000042,-1.14994415955
ACH-000045,-1.2971963777700002
ACH-000047,-0.7737871782760001
ACH-000052,-1.13775357733
ACH-000053,-0.824726571475
ACH-000054,-0.7779188848340001
ACH-000055,-0.963617868747
ACH-000060,-1.19655124586
ACH-000067,-0.58590010874
ACH-000070,-0.783238059871
ACH-000075,-1.22432694541
ACH-000078,-1.10228935488
ACH-000082,-1.08286488939
ACH-000085,-1.05244108161
ACH-000086,-0.9180656319089999
ACH-000087,-0.7410529708600001
ACH-000092,-0.9290759329639999
ACH-000095,-0.872099623308
ACH-000097,-0.9614618858249999
ACH-000098,-0.883105915483
ACH-000099,-1.3190880172200001
ACH-000108,-1.0
ACH-000113,-0.994803299315
ACH-000115,-1.2347235945200001
ACH-000116,-1.1537718488200002
ACH-000118,-0.9845159320010001
ACH-000120,-1.21097700011
ACH-000123,-0.9722341894600001
ACH-000127,-1.02593458808
ACH-000128,-0.752767425186
ACH-000132,-1.28412127902
ACH-000133,-0.9706305324619999
ACH-000137,-0.971016537773
ACH-000138,-0.936091355193
ACH-000142,-0.9731836400630001
ACH-000143,-1.13829392313
ACH-000146,-0.6966960603910001
ACH-000148,-0.9217913468200001
ACH-000150,-1.1826985200700002
ACH-000152,-1.00130535358
ACH-000153,-0.8359512436319999
ACH-000159,-0.8637833343539999
ACH-000160,-0.9548969860600001
ACH-000163,-0.9862539263500001
ACH-000167,-1.2637006702
ACH-000168,-0.9784484168970001
ACH-000169,-1.2202998068200002
ACH-000178,-0.984571725405
ACH-000182,-1.08281621285
ACH-000183,-1.0469733124
ACH-000188,-0.9800423471940001
ACH-000189,-1.01748164445
ACH-000190,-0.714747170235
ACH-000198,-0.988880982389
ACH-000204,-1.12523113075
ACH-000206,-1.12069556661
ACH-000207,-1.25817106889
ACH-000211,-0.8722380532709999
ACH-000215,-1.06183343222
ACH-000221,-1.03008663519
ACH-000222,-0.896039865543
ACH-000223,-1.06768919589
ACH-000226,-0.9474136267290001
ACH-000227,-0.881779965463
ACH-000228,-0.975315780699
ACH-000231,-0.99312905866
ACH-000232,-1.02233273604
ACH-000233,-1.07581676154
ACH-000234,-0.955454330992
ACH-000235,-0.999592112465
ACH-000237,-0.895012306489
ACH-000238,-1.08542584715
ACH-000243,-1.1090193181799999
ACH-000244,-0.9634225017360001
ACH-000246,-1.19335098537
ACH-000248,-1.09228556597
ACH-000250,-0.971131947266
ACH-000251,-1.3017350302200001
ACH-000253,-1.08567022813
ACH-000255,-0.8131377106919999
ACH-000256,-0.9431757455130001
ACH-000257,-1.06660716691
ACH-000258,-0.799436889189
ACH-000259,-1.06692206478
ACH-000260,-0.999685482087
