,FZR1 (51343)
ACH-000257,0.029463049997799997
ACH-000258,-0.21633037232500002
ACH-000259,-0.558250606361
ACH-000260,-0.549356093319
ACH-000261,-0.295527557165
ACH-000262,-0.10573770523499999
ACH-000263,0.06108271075090001
ACH-000264,-0.0338415630738
ACH-000265,-0.125630366736
ACH-000266,0.0452380547453
ACH-000272,-0.165854741912
ACH-000273,-0.405996710834
ACH-000274,-0.437015205544
ACH-000277,-0.441015171963
ACH-000278,-0.21264334049000003
ACH-000279,-0.106903365242
ACH-000280,-0.341397436523
ACH-000281,-0.340247982117
ACH-000288,-0.270664913613
ACH-000291,-0.424028881315
ACH-000293,-0.40806276445699996
ACH-000294,-0.392262345422
ACH-000295,-0.595214782151
ACH-000296,-0.311774500427
ACH-000302,-0.206001496366
ACH-000304,-0.40386613250299996
ACH-000307,0.0023250458620100002
ACH-000308,-0.0908496223429
ACH-000310,-0.38899151479500005
ACH-000311,-0.0475974629182
ACH-000312,-0.18269001243500002
ACH-000315,-0.206221077531
ACH-000316,-0.6969069090109999
ACH-000317,-0.582043934372
ACH-000318,-0.050655470399500004
ACH-000319,0.24403933212200002
ACH-000320,-0.0110898432326
ACH-000322,-0.34441247422
ACH-000323,0.197611958469
ACH-000324,-0.45397132630500003
ACH-000329,-0.005136561349899999
ACH-000330,-0.165831373146
ACH-000331,0.266620216034
ACH-000332,-0.032896648836
ACH-000334,-0.41790171196500003
ACH-000335,-0.602945252898
ACH-000336,-0.202246852843
ACH-000337,-0.429953895544
ACH-000339,-0.18420335982900002
ACH-000341,-0.298949184568
ACH-000348,-0.39909776603299996
ACH-000350,0.158121655622
ACH-000352,-0.119609663444
ACH-000356,0.021980458838900003
ACH-000361,-0.33744341392399996
ACH-000362,-0.639687594884
ACH-000363,-0.33830555728699996
ACH-000364,-0.461983538037
ACH-000365,-0.5766928187100001
ACH-000366,-0.0352206141709
ACH-000368,-0.581766593923
ACH-000374,-0.152566207733
ACH-000375,0.034752018665199995
ACH-000376,-0.204093201487
ACH-000381,0.0341296080474
ACH-000383,-0.317633964272
ACH-000387,-0.124209840506
ACH-000389,-0.33965198624399995
ACH-000390,0.121244875312
ACH-000393,-0.351499666159
ACH-000395,0.124779855676
ACH-000397,-0.919480116982
ACH-000401,-0.99289116691
ACH-000402,-0.591762336152
ACH-000403,-0.07098448513830001
ACH-000404,0.16307437694
ACH-000406,-0.7652086720479999
ACH-000407,-0.506903620247
ACH-000408,-0.428254398663
ACH-000410,-0.466242362083
ACH-000411,-0.111090472775
ACH-000414,-0.34723190384999997
ACH-000415,-0.17065750193799997
ACH-000416,-0.470071755183
ACH-000420,-0.28924937388099997
ACH-000421,0.0267602196635
ACH-000424,0.126642873136
ACH-000425,-0.16959703479000002
ACH-000426,-0.0819000225629
ACH-000427,-0.0853742525676
ACH-000433,-0.393895489716
ACH-000436,-0.39999230030199995
ACH-000444,-0.23847417066399998
ACH-000445,-0.369099596675
ACH-000448,-0.301803924627
ACH-000450,-0.0744242419079
ACH-000452,-0.47361034253
ACH-000454,-0.519065471958
ACH-000458,-0.41824646114200004
ACH-000459,-0.559401392825
ACH-000460,-0.210409910394
ACH-000461,-0.216451494485
ACH-000463,0.07007937251810001
ACH-000464,-0.18071315194499998
ACH-000466,-0.36744735527500005
ACH-000467,0.147607444827
ACH-000468,0.28397039570300003
ACH-000469,-0.7092738006110001
ACH-000470,0.339436725433
ACH-000471,-0.38854349768
ACH-000472,0.0849746878097
ACH-000473,0.158732202259
ACH-000475,-0.0317135656965
ACH-000476,-0.29045897099
ACH-000477,-0.262713624696
ACH-000480,-0.2208221107
ACH-000481,-0.159132691621
ACH-000483,-0.09483856442989999
ACH-000484,0.0752977197708
ACH-000485,-0.0773651291563
ACH-000486,-0.49084387056699996
ACH-000487,-0.0009036872408150001
ACH-000488,-0.230329412841
ACH-000490,-0.18100699815000001
ACH-000491,-0.6913893237440001
ACH-000495,-1.0601270926200002
ACH-000496,0.0259666881134
ACH-000499,-0.7430615630840001
ACH-000500,0.208385085119
ACH-000502,-0.20601164599
ACH-000503,0.112061112901
ACH-000505,-0.384240822005
ACH-000507,-0.188459964324
ACH-000510,-0.07929125666760001
ACH-000511,-0.173261441756
ACH-000512,-0.40278928775399997
ACH-000516,-0.10866923250499999
ACH-000517,-0.0923552069886
ACH-000518,-0.27959060936999997
ACH-000520,-0.480007584989
ACH-000521,0.233160173985
ACH-000522,-0.07935547919649999
ACH-000524,-0.42970765862099997
ACH-000527,-0.0996746445428
ACH-000528,-0.332544253751
ACH-000537,-0.443636218874
ACH-000541,0.187869690308
ACH-000542,-0.671323265047
ACH-000544,-0.022331681036099997
ACH-000545,-0.48581537414
ACH-000547,-0.278791817383
ACH-000548,-0.280875146438
ACH-000549,-0.0564819390832
ACH-000550,-0.695703631682
ACH-000552,-0.278619411207
ACH-000556,-0.208277387563
ACH-000557,-0.535179709033
ACH-000570,-0.196294142565
ACH-000571,-0.289591360455
ACH-000573,-0.0914858253385
ACH-000576,-0.304208487464
ACH-000580,-0.35639388483400003
ACH-000584,-0.809834245799
ACH-000585,-0.876747291741
ACH-000588,-0.36265864711400003
ACH-000589,-0.204690998141
ACH-000591,-0.311449158983
ACH-000593,0.026183883890200002
ACH-000600,-0.414009021613
ACH-000601,-0.0498784623264
ACH-000604,-0.061647365253099995
ACH-000605,-0.040490049085
ACH-000606,-0.299841839607
ACH-000608,-0.146362889352
ACH-000614,0.214873120982
ACH-000616,-0.6279728200810001
ACH-000618,-0.370542880035
