,FAIM (55179)
ACH-000004,-0.19063233000100002
ACH-000007,-0.301375571036
ACH-000009,-0.36647096574199994
ACH-000011,-0.25397925248000003
ACH-000012,-0.316194719276
ACH-000013,-0.28821273766100003
ACH-000014,-0.431659981579
ACH-000015,-0.355154440693
ACH-000017,-0.494129010538
ACH-000018,-0.123006771529
ACH-000019,-0.47591151913999996
ACH-000021,-0.37298444335600006
ACH-000022,-0.248426233059
ACH-000025,-0.357722700819
ACH-000028,-0.206762941211
ACH-000030,-0.257789936338
ACH-000035,-0.468481023481
ACH-000036,-0.399603042518
ACH-000037,-0.146138757718
ACH-000039,-0.346599206417
ACH-000040,-0.334394387282
ACH-000041,-0.35715592541100005
ACH-000042,-0.488929114947
ACH-000045,-0.311837224639
ACH-000047,-0.18091862251200003
ACH-000052,-0.124724287936
ACH-000053,-0.285690280625
ACH-000054,-0.32023188423099996
ACH-000055,-0.209247535893
ACH-000060,-0.38648810252899995
ACH-000067,-0.343884163821
ACH-000070,-0.354428575355
ACH-000075,-0.402324007391
ACH-000078,-0.519442175708
ACH-000082,-0.246260044857
ACH-000085,-0.441344142892
ACH-000086,-0.288574491164
ACH-000087,-0.219713534276
ACH-000092,-0.42013732492
ACH-000095,-0.350786356985
ACH-000097,-0.238646950847
ACH-000098,-0.35081643998499995
ACH-000099,-0.289768116198
ACH-000108,-0.471770623773
ACH-000113,-0.334387912922
ACH-000115,-0.410506396544
ACH-000116,-0.118282116864
ACH-000118,-0.261257989243
ACH-000120,-0.235053565583
ACH-000123,-0.280044019443
ACH-000127,-0.32286656045
ACH-000128,-0.241693239824
ACH-000132,-0.329070459706
ACH-000133,-0.366168897071
ACH-000137,-0.10271524553099999
ACH-000138,-0.383297923067
ACH-000142,-0.305669592389
ACH-000143,-0.477119011825
ACH-000146,-0.20338232953699997
ACH-000148,-0.179704263726
ACH-000150,-0.429646159533
ACH-000152,-0.364705336937
ACH-000153,-0.21873488726
ACH-000159,-0.30349822496199996
ACH-000160,-0.37408690660099997
ACH-000163,-0.261778175707
ACH-000167,-0.303578192977
ACH-000168,-0.337096525327
ACH-000169,-0.382411952262
ACH-000178,-0.26582876214699996
ACH-000182,-0.242446773951
ACH-000183,-0.35050096839
