,HPS1 (3257)
ACH-000004,-0.353270482113
ACH-000007,-0.06081422659030001
ACH-000009,-0.169044024684
ACH-000011,-0.14543994724
ACH-000012,-0.404450617543
ACH-000013,-0.314592208584
ACH-000014,-0.43611475077699996
ACH-000015,-0.330863761184
ACH-000017,-0.0579314059562
ACH-000018,-0.437580474505
ACH-000019,-0.270599209783
ACH-000021,-0.18475954394299998
ACH-000022,-0.166693198526
ACH-000025,-0.49689040844300003
ACH-000028,-0.254806265709
ACH-000030,-0.48302056193899995
ACH-000035,-0.459373772469
ACH-000036,-0.024978650751200003
ACH-000037,-0.207551808923
ACH-000039,-0.217433030896
ACH-000040,-0.115030603285
ACH-000041,-0.41407586374099997
ACH-000042,-0.461519278348
ACH-000045,-0.06450751165440001
ACH-000047,-0.09792025359249999
ACH-000052,-0.130238020281
ACH-000053,-0.195014074509
ACH-000054,-0.11645300799200001
ACH-000055,-0.061711278719
ACH-000060,-0.315507420123
ACH-000067,-0.306364572806
ACH-000070,-0.37980193522
ACH-000075,-0.19315167683200002
ACH-000078,-0.214720557996
ACH-000082,-0.10470865532700001
ACH-000085,-0.614490222101
ACH-000086,-0.0991543309442
ACH-000087,-0.20729012147599998
ACH-000092,-0.25814031548300004
ACH-000095,-0.162307951286
ACH-000097,-0.113985191697
ACH-000098,-0.391139699229
ACH-000099,-0.211683964407
ACH-000108,-0.13981601889599998
ACH-000113,-0.239652608742
ACH-000115,-0.330178822636
ACH-000116,-0.163375988435
ACH-000118,-0.204051168379
ACH-000120,-0.176203933903
ACH-000123,-0.19981305785599998
ACH-000127,-0.16674608460999998
ACH-000128,0.0479456352106
ACH-000132,-0.300146592799
ACH-000133,-0.16227099716399998
ACH-000137,-0.442529152751
ACH-000138,-0.164385571102
ACH-000142,-0.0903569801518
ACH-000143,-0.30048756996
ACH-000146,-0.0629860353828
ACH-000148,-0.365334722947
ACH-000150,-0.366898077649
ACH-000152,-0.309067614888
ACH-000153,0.168940103542
ACH-000159,-0.166633727784
ACH-000160,-0.535598924526
ACH-000163,-0.184587776415
ACH-000167,-0.137257654757
ACH-000168,-0.4714049807
ACH-000169,-0.271101321259
ACH-000178,-0.212656400669
ACH-000182,-0.139385680485
ACH-000183,-0.29398809317200003
ACH-000188,-0.222798788767
ACH-000189,-0.24231929616300002
ACH-000190,-0.22589813216600002
ACH-000198,-0.150469459817
ACH-000204,-0.48771402669200004
ACH-000206,-0.388172616536
ACH-000207,-0.0270208730363
ACH-000211,-0.269539894304
ACH-000215,-0.34642651277599995
ACH-000221,-0.332734836406
ACH-000222,-0.204563956883
ACH-000223,-0.15047851064099999
ACH-000226,-0.34342848038900003
ACH-000227,-0.382885528993
ACH-000228,-0.29916290153299996
ACH-000231,-0.14913601266100002
ACH-000232,-0.388825446777
ACH-000233,-0.47196006939499996
ACH-000234,-0.0045375806093000005
ACH-000235,-0.12743194290999998
ACH-000237,-0.347240121188
ACH-000238,-0.40441076435999995
ACH-000243,-0.287976658444
ACH-000244,-0.567192872554
ACH-000246,-0.0430210813535
ACH-000248,-0.30585663471700003
ACH-000250,-0.156741310292
ACH-000251,-0.162549780594
ACH-000253,-0.266678196419
ACH-000255,-0.37455445067800003
ACH-000256,-0.485827448501
ACH-000257,-0.27439387003000004
ACH-000258,-0.60236279322
ACH-000259,-0.25869716161899997
ACH-000260,-0.24429942442699998
ACH-000261,-0.19244551380600003
ACH-000262,-0.0231024582038
ACH-000263,-0.252186185946
ACH-000264,-0.315926985887
ACH-000265,-0.370236153084
ACH-000266,-0.238908969102
ACH-000272,-0.18039454782000003
ACH-000273,-0.17075577047600002
ACH-000274,-0.306137811672
ACH-000277,-0.41107340336099996
ACH-000278,-0.28614638544300003
ACH-000279,-0.173199304289
ACH-000280,-0.11799816427000001
ACH-000281,-0.521111534151
ACH-000288,-0.24970825175500003
ACH-000291,-0.279415026497
ACH-000293,-0.0728079825902
ACH-000294,-0.113262569211
ACH-000295,-0.16832389736499997
ACH-000296,-0.157089172018
ACH-000302,-0.323554157264
ACH-000304,-0.118305304195
ACH-000307,-0.310021125768
ACH-000308,-0.281895329643
ACH-000310,-0.276502962798
ACH-000311,-0.0491462133802
ACH-000312,-0.323055389265
ACH-000315,-0.21564041997299999
ACH-000316,-0.242252833442
ACH-000317,-0.301796357261
ACH-000318,-0.408079130119
ACH-000319,-0.330608395751
ACH-000320,-0.32871476755999995
ACH-000322,-0.276488245411
ACH-000323,-0.18155989451
ACH-000324,-0.299313086057
ACH-000329,-0.08483878195599999
ACH-000330,-0.29865084254
ACH-000331,-0.199632764773
ACH-000332,-0.266839096653
ACH-000334,-0.229256758054
ACH-000335,-0.39040911375500004
ACH-000336,-0.00030012466745400003
ACH-000337,-0.274861345804
ACH-000339,-0.15822032576
ACH-000341,0.0985139508375
ACH-000348,-0.128800102117
ACH-000350,-0.236821657927
ACH-000352,-0.212738380066
ACH-000356,0.0105659437866
ACH-000361,-0.135363984413
ACH-000362,-0.258329614183
ACH-000363,-0.309848783972
ACH-000364,-0.288566044276
ACH-000365,-0.260296238099
ACH-000366,-0.23832997040999998
ACH-000368,-0.455289149987
ACH-000374,-0.170848829707
ACH-000375,-0.26682545675700003
ACH-000376,-0.294243751549
ACH-000381,-0.47207127299900004
ACH-000383,-0.228206492177
ACH-000387,-0.32879288572500004
ACH-000389,-0.158840649354
ACH-000390,-0.18577793655400002
ACH-000393,-0.29370020828000004
ACH-000395,-0.299607295469
ACH-000397,0.0353547262671
ACH-000401,-0.377070569155
ACH-000402,0.10329334699500001
ACH-000403,-0.20822521964000001
ACH-000404,-0.151494482193
ACH-000406,-0.31851066026
ACH-000407,-0.19825759988400002
ACH-000408,-0.45274504740099997
ACH-000410,-0.35742604093099994
ACH-000411,-0.0327136963417
ACH-000414,-0.0371892412351
ACH-000415,-0.39083593119599996
ACH-000416,-0.260719807881
ACH-000420,-0.26392046189199997
ACH-000421,-0.27129453103100004
ACH-000424,-0.204627659431
ACH-000425,-0.33413767894699997
ACH-000426,-0.381928491185
ACH-000427,-0.19094509575
ACH-000433,0.0170011819466
ACH-000436,-0.336764331148
ACH-000444,-0.259399348088
ACH-000445,0.0564270479997
ACH-000448,-0.21392643633400002
ACH-000450,-0.301629425036
ACH-000452,-0.33980438171599997
ACH-000454,-0.48797305563
ACH-000458,-0.23753883733800002
ACH-000459,-0.209313550896
ACH-000460,-0.378683323143
ACH-000461,-0.34286240079
ACH-000463,-0.190206049915
ACH-000464,-0.316824784263
ACH-000466,-0.395882767773
ACH-000467,-0.237505722478
ACH-000468,-0.303332002621
ACH-000469,-0.42139476505900003
ACH-000470,-0.350709732682
ACH-000471,-0.19609146514400003
ACH-000472,-0.332889398332
ACH-000473,-0.41920545620099997
ACH-000475,-0.19638188385400002
ACH-000476,-0.144606583072
ACH-000477,-0.100554228929
ACH-000480,-0.28308927318300003
ACH-000481,-0.253014946817
ACH-000483,-0.23955082321899998
ACH-000484,-0.11799821825
ACH-000485,-0.1162660721
ACH-000486,-0.28514680456
ACH-000487,-0.29969117591999994
ACH-000488,-0.254524761208
ACH-000490,-0.219252402481
ACH-000491,-0.245181033656
ACH-000495,-0.373356463808
ACH-000496,-0.22827493689300002
ACH-000499,-0.211753640823
ACH-000500,-0.494160964002
ACH-000502,-0.21080759741900001
ACH-000503,-0.607053678784
ACH-000505,-0.347391617385
ACH-000507,-0.31907256998399997
ACH-000510,-0.29337725517200003
ACH-000511,-0.271940974567
ACH-000512,-0.374981923373
ACH-000516,-0.33393856316
ACH-000517,-0.23951204675700002
ACH-000518,-0.15392882729000001
ACH-000520,-0.24948833316500002
ACH-000521,0.136207944398
ACH-000522,0.10143480239600002
ACH-000524,-0.213324801751
ACH-000527,-0.193206514227
ACH-000528,-0.20817398612
ACH-000537,-0.265294976219
ACH-000541,-0.348522262966
ACH-000542,-0.190601533435
ACH-000544,-0.0456821121476
ACH-000545,-0.301005475756
ACH-000547,-0.124279014395
ACH-000548,-0.0687691760112
ACH-000549,-0.453135910146
ACH-000550,-0.11414684986700001
ACH-000552,-0.23297265285399998
ACH-000556,-0.140371479696
ACH-000557,-0.344355070938
ACH-000570,-0.370463807282
ACH-000571,-0.27546867743500003
ACH-000573,-0.17361716449200001
ACH-000576,-0.309601676861
ACH-000580,-0.096700240687
ACH-000584,-0.23861546673700001
ACH-000585,-0.004692238442949999
ACH-000588,-0.277261567017
ACH-000589,-0.115302525101
ACH-000591,-0.447373740555
ACH-000593,-0.191705056337
ACH-000600,-0.181716867348
ACH-000601,-0.16830048483100002
ACH-000604,-0.0321936630645
ACH-000605,-0.347242291177
ACH-000606,-0.282934304047
ACH-000608,-0.340782952152
ACH-000614,-0.146189246489
ACH-000616,-0.24645219348499997
ACH-000618,-0.18739345278499997
ACH-000619,-0.169031289944
ACH-000620,-0.150444958434
ACH-000621,-0.294221478303
ACH-000622,-0.09762570386639999
ACH-000623,-0.457440440704
ACH-000624,-0.22828640758000002
ACH-000627,-0.413074398147
ACH-000630,-0.20363163341499999
ACH-000632,-0.22247911677499999
ACH-000633,-0.202608540192
ACH-000637,-0.34502425391900005
ACH-000638,-0.306528345377
ACH-000646,-0.18111776172200003
ACH-000647,-0.320153089715
ACH-000648,-0.249944907027
ACH-000649,-0.149316348987
ACH-000651,-0.38803637041199995
ACH-000652,-0.22320273041900002
ACH-000653,-0.297149627906
ACH-000657,-0.203714302743
ACH-000658,-0.0816263488797
ACH-000661,-0.212969543915
ACH-000662,0.0509445495787
ACH-000663,-0.236012306187
ACH-000665,-0.4570701388699999
ACH-000671,-0.335519834036
ACH-000673,-0.282841450616
ACH-000676,-0.385676688187
ACH-000677,-0.165391249822
ACH-000681,-0.127031983322
ACH-000682,-0.376181514515
ACH-000683,-0.116366539725
ACH-000684,-0.18786288002700002
ACH-000688,-0.182954404712
ACH-000693,-0.330018248162
ACH-000694,-0.246814000052
ACH-000695,-0.592601221567
ACH-000696,-0.183048019583
ACH-000697,-0.33658063010600003
ACH-000699,-0.297429600887
ACH-000701,-0.08193686406489999
ACH-000706,-0.33594794658
ACH-000711,-0.28437744007800003
ACH-000713,0.047465584203000004
ACH-000714,-0.282674287531
ACH-000718,-0.087595317413
ACH-000720,-0.22707671746999997
ACH-000721,-0.21640306629099998
ACH-000724,-0.18399517359499998
ACH-000725,-0.383280864919
ACH-000732,-0.311350049085
ACH-000734,-0.276243580207
ACH-000735,-0.29563731406800003
ACH-000736,0.0541397303149
ACH-000738,-0.312962914293
ACH-000746,-0.17973981789299998
ACH-000747,-0.476972592026
ACH-000748,-0.285787350319
ACH-000753,-0.33092498376699997
ACH-000756,-0.05995982384719999
ACH-000757,-0.321606338547
ACH-000758,-0.172045210395
ACH-000760,-0.246674687058
ACH-000763,-0.339750874546
ACH-000764,-0.321741717552
ACH-000765,-0.06346669945530001
ACH-000766,-0.253684821959
ACH-000767,-0.207856433891
ACH-000768,-0.289419236021
ACH-000769,-0.328209273748
ACH-000770,-0.221109391962
ACH-000771,-0.163145346291
ACH-000773,-0.42069940811800005
ACH-000776,-0.224237419429
ACH-000777,-0.39191789482600004
ACH-000778,-0.303979678119
ACH-000781,-0.35145687977799994
ACH-000782,-0.235616686805
ACH-000783,-0.21006189743700002
ACH-000784,-0.190928080438
ACH-000785,-0.12596567916200002
ACH-000787,-0.236350380156
ACH-000788,-0.309779936415
ACH-000791,-0.266551453552
ACH-000792,-0.1486331641
ACH-000794,-0.16852243491799998
ACH-000796,-0.0693396800611
ACH-000799,-0.253935498387
ACH-000800,-0.103867374023
ACH-000802,-0.26357767938
ACH-000804,0.0490348872685
ACH-000805,-0.403088437449
ACH-000809,-0.18336509768800002
ACH-000810,-0.08722548210969999
ACH-000811,-0.213306013565
ACH-000817,-0.316623568406
ACH-000819,-0.277405112401
ACH-000820,-0.34775580622
ACH-000821,-0.351651867703
ACH-000822,-0.040639250782
ACH-000823,-0.194131380286
ACH-000824,-0.212902725153
ACH-000827,-0.258167785848
ACH-000829,-0.36667061801399997
ACH-000831,-0.264903531054
ACH-000832,-0.049148896569400004
ACH-000833,-0.22145051340100003
ACH-000834,-0.118445567285
ACH-000835,-0.37780141001999995
ACH-000836,-0.216491896519
ACH-000837,-0.254865924361
ACH-000838,-0.17705223300700001
ACH-000839,-0.161324829979
ACH-000840,-0.375144471253
ACH-000841,-0.372962206628
ACH-000843,-0.319816680575
ACH-000846,-0.07817811583960001
ACH-000847,-0.46465681014700005
ACH-000848,-0.47368314310000004
ACH-000849,-0.143626986615
ACH-000851,-0.341632191814
ACH-000855,-0.22700786100499998
ACH-000856,-0.37771147845200004
ACH-000858,-0.260172176685
ACH-000859,-0.42441814156999996
ACH-000861,-0.256985878364
ACH-000862,-0.151798503069
ACH-000865,-0.27197885515299997
ACH-000866,-0.21148798866500002
ACH-000867,-0.29346380336800004
ACH-000869,-0.083056998925
ACH-000872,-0.098370989631
ACH-000873,-0.09328588034719999
ACH-000876,-0.0867043453621
ACH-000878,-0.181499346752
ACH-000880,-0.21075354995999998
ACH-000881,-0.17233843056899997
ACH-000882,-0.275217445671
ACH-000884,-0.0180961294432
ACH-000885,-0.243734869107
ACH-000887,-0.212879722707
ACH-000888,-0.15043690848
ACH-000889,-0.28502693053800005
ACH-000890,-0.457471388464
ACH-000896,-0.301753699848
ACH-000898,-0.18927196329999998
ACH-000900,-0.19227921049199997
ACH-000901,-0.178076643033
ACH-000905,-0.134652772119
ACH-000906,-0.194981848744
ACH-000907,-0.16945397145100002
ACH-000910,-0.172978033432
