,HN1L (90861)
ACH-000004,-0.0339693591395
ACH-000007,-0.154984112435
ACH-000009,-0.08726442411110001
ACH-000011,-0.210609734755
ACH-000012,-0.258372954726
ACH-000013,-0.20741554935400003
ACH-000014,-0.056253018278299996
ACH-000015,-0.30163464012200003
ACH-000017,-0.454462290433
ACH-000018,-0.13154473923499999
ACH-000019,-0.176647588265
ACH-000021,-0.0522634437353
ACH-000022,-0.285688251708
ACH-000025,-0.130060597974
ACH-000028,-0.247339248172
ACH-000030,-0.0373162661335
ACH-000035,-0.12036919883899999
ACH-000036,-0.145754964609
ACH-000037,-0.236390892406
ACH-000039,-0.033323426005799996
ACH-000040,-0.17503334581099997
ACH-000041,-0.0779683063767
ACH-000042,-0.159908204028
ACH-000045,-0.15084389439
ACH-000047,-0.37446994778000003
ACH-000052,-0.225166239615
ACH-000053,-0.157892785623
ACH-000054,-0.0689790676991
ACH-000055,-0.28462782234
ACH-000060,-0.28233663104699996
ACH-000067,-0.264354323561
ACH-000070,-0.266085456573
ACH-000075,-0.166257332472
ACH-000078,-0.17256026991099999
ACH-000082,-0.234779503836
ACH-000085,-0.350610163817
ACH-000086,-0.12006657550699999
ACH-000087,0.0266856070549
ACH-000092,-0.24313628133499998
ACH-000095,-0.197404989309
ACH-000097,-0.281657632928
ACH-000098,-0.29150456318100004
ACH-000099,-0.24978334593600002
ACH-000108,-0.191670291959
ACH-000113,-0.195224002067
ACH-000115,-0.47067709219099996
ACH-000116,-0.24276484074000002
ACH-000118,-0.158136968081
ACH-000120,-0.22218005742
ACH-000123,-0.197086675356
ACH-000127,-0.102026791438
ACH-000128,-0.253400045037
ACH-000132,-0.0472413140491
ACH-000133,-0.41046797068199997
ACH-000137,-0.19234154117199997
ACH-000138,-0.0994266526533
ACH-000142,0.023961475326299997
ACH-000143,-0.354768159377
ACH-000146,-0.223687619022
ACH-000148,-0.176831575329
ACH-000150,-0.00217480722837
ACH-000152,-0.267275744313
ACH-000153,-0.0223591665442
ACH-000159,-0.434082136665
ACH-000160,-0.037211680354699996
ACH-000163,-0.367005701358
ACH-000167,0.08604798614180001
ACH-000168,-0.144633544088
ACH-000169,-0.121883756734
ACH-000178,-0.20811697922000003
ACH-000182,-0.198856924772
ACH-000183,-0.06885841261560001
ACH-000188,0.031155321893700003
ACH-000189,-0.406500758674
ACH-000190,0.13710239980299999
ACH-000198,-0.21154627671700002
ACH-000204,-0.305631883132
ACH-000206,-0.21992805937899998
ACH-000207,-0.215023419184
ACH-000211,-0.191832277307
ACH-000215,-0.20777730883900003
ACH-000221,-0.17445519735999998
ACH-000222,-0.279667988102
ACH-000223,-0.0924026173569
ACH-000226,-0.218042478589
ACH-000227,-0.46753184773900003
ACH-000228,0.163535542744
ACH-000231,-0.280923849411
ACH-000232,-0.16894905583
ACH-000233,-0.174024017678
ACH-000234,-0.28818347553199997
ACH-000235,-0.196347967157
ACH-000237,-0.13800996262
ACH-000238,-0.18379119995299997
ACH-000243,-0.0248464410591
ACH-000244,-0.186935132128
ACH-000246,-0.286594835443
ACH-000248,-0.204399883493
ACH-000250,-0.22803684727899998
ACH-000251,0.0541319301495
ACH-000253,-0.283402514432
ACH-000255,-0.0455994693926
ACH-000256,-0.441861689063
ACH-000257,0.0135722399407
ACH-000258,-0.00274600452748
ACH-000259,-0.22502426289500002
ACH-000260,-0.232163660249
ACH-000261,-0.320368850978
ACH-000262,-0.256865113746
ACH-000263,-0.11648457701199999
ACH-000264,-0.249716538922
ACH-000265,-0.156632629667
ACH-000266,-0.18892530173799998
ACH-000272,-0.16793884544399998
