,C2orf27A (29798)
ACH-000004,-1.1785224023799998
ACH-000007,-0.5992801700379999
ACH-000009,-0.7126177441730001
ACH-000011,-0.752578066031
ACH-000012,-0.9034164428
ACH-000013,-0.713099310661
ACH-000014,-0.7926806620769999
ACH-000015,-0.6440891609889999
ACH-000017,-0.674862819862
ACH-000018,-0.866451166662
ACH-000019,-0.7537843851
ACH-000021,-0.912659369808
ACH-000022,-0.769687773144
ACH-000025,-0.8129960412880001
ACH-000028,-0.643121631194
ACH-000030,-0.859149105923
ACH-000035,-0.823595938278
ACH-000036,-0.778365813768
ACH-000037,-0.453009321127
ACH-000039,-0.60370524692
ACH-000040,-0.733830252954
ACH-000041,-0.8284417267409999
ACH-000042,-0.6659382600079999
ACH-000045,-0.732633828949
ACH-000047,-0.770334924727
ACH-000052,-0.650496800437
ACH-000053,-0.5782014628059999
ACH-000054,-0.753354908939
ACH-000055,-1.0179102747600002
ACH-000060,-0.626216598073
ACH-000067,-0.957919495525
ACH-000070,-0.908030655324
ACH-000075,-0.598178526373
ACH-000078,-0.457868273378
ACH-000082,-0.647861247466
ACH-000085,-0.729333088889
ACH-000086,-0.720538945823
ACH-000087,-0.5753646855560001
ACH-000092,-0.7832466667
ACH-000095,-0.6070724539410001
ACH-000097,-0.819942396981
ACH-000098,-0.80891237857
ACH-000099,-0.7549412420630001
ACH-000108,-0.779045732145
ACH-000113,-0.6627376871549999
ACH-000115,-0.570887109022
ACH-000116,-0.7999418909110001
ACH-000118,-0.683359122959
ACH-000120,-0.805230575537
ACH-000123,-0.8260969179000001
ACH-000127,-0.747847201017
ACH-000128,-0.29226640093600004
ACH-000132,-0.60225702117
ACH-000133,-0.826176964579
ACH-000137,-0.6954765979699999
ACH-000138,-0.6448006341820001
ACH-000142,-0.724880894759
ACH-000143,-0.910588020643
ACH-000146,-0.7341644449320001
ACH-000148,-0.843911990878
ACH-000150,-0.522341625376
ACH-000152,-0.949582104242
ACH-000153,-0.791221397548
ACH-000159,-0.939097210282
ACH-000160,-0.7513118043160001
ACH-000163,-0.74837027415
ACH-000167,-1.0044990356399999
ACH-000168,-0.303059279199
ACH-000169,-0.5600482443289999
ACH-000178,-0.816139730472
ACH-000182,-0.542901636873
ACH-000183,-0.712871450107
ACH-000188,-0.953556415911
ACH-000189,-0.9820993618680001
ACH-000190,-0.587233735452
ACH-000198,-0.7790649391429999
ACH-000204,-0.729977265304
ACH-000206,-0.46915509978000003
ACH-000207,-0.687624140571
ACH-000211,-0.622424178036
ACH-000215,-0.899260042779
ACH-000221,-0.986541737798
ACH-000222,-0.9735362883759999
ACH-000223,-0.702471255897
ACH-000226,-0.781007635852
ACH-000227,-0.787235651436
ACH-000228,-0.735912332606
ACH-000231,-0.429203013867
ACH-000232,-0.819538312902
ACH-000233,-0.64481468318
ACH-000234,-0.9013500839599999
ACH-000235,-0.566975756352
ACH-000237,-0.514116324932
ACH-000238,-0.666189403073
ACH-000243,-0.655675181289
ACH-000244,-0.585768011641
ACH-000246,-0.837485334526
ACH-000248,-0.6796977968469999
ACH-000250,-0.608629986524
ACH-000251,-0.405098655755
ACH-000253,-0.561567992593
ACH-000255,-0.708782427243
ACH-000256,-0.774958772904
ACH-000257,-1.00963778683
ACH-000258,-0.756901786226
ACH-000259,-0.8288341507860001
ACH-000260,-0.8734855382340001
ACH-000261,-0.8112988701549999
ACH-000262,-0.6685701484100001
ACH-000263,-0.641430244014
ACH-000264,-0.799926727297
ACH-000265,-0.7295360071629999
ACH-000266,-0.7597513987450001
ACH-000272,-0.929589042965
ACH-000273,-0.6922460066130001
ACH-000274,-0.895233937641
ACH-000277,-0.578280327623
ACH-000278,-0.7644239841
ACH-000279,-0.837481692603
ACH-000280,-0.6817854908509999
ACH-000281,-0.838477275919
ACH-000288,-0.8852272383650001
ACH-000291,-0.8640638255130001
ACH-000293,-0.344319471906
ACH-000294,-0.9457837276209999
ACH-000295,-0.671132129868
ACH-000296,-0.872848131505
ACH-000302,-0.7515119282520001
ACH-000304,-0.768460460393
ACH-000307,-0.69654558531
ACH-000308,-0.741063229862
ACH-000310,-0.57825399701
ACH-000311,-0.798092572116
ACH-000312,-0.594104712231
ACH-000315,-0.9497966438259999
ACH-000316,-0.791261012813
ACH-000317,-0.620618991951
ACH-000318,-0.9277285736859999
ACH-000319,-0.55339797817
ACH-000320,-0.7384742808429999
ACH-000322,-0.8088809658439999
ACH-000323,-0.750917214196
ACH-000324,-0.7071196972730001
ACH-000329,-0.606437967536
ACH-000330,-0.629977716367
ACH-000331,-0.634322009926
ACH-000332,-0.736849306603
ACH-000334,-1.50174173842
ACH-000335,-0.885115884567
ACH-000336,-1.07571626207
ACH-000337,-0.7608149741470001
ACH-000339,-0.67939653441
ACH-000341,-0.891132398761
ACH-000348,-0.549665173269
ACH-000350,-0.772429292396
ACH-000352,-0.773790043436
ACH-000356,-0.588089090165
ACH-000361,-0.8550499888490001
ACH-000362,-0.8755443192929999
ACH-000363,-0.638330710779
ACH-000364,-0.754571403124
ACH-000365,-0.7380634713709999
ACH-000366,-0.710587749341
ACH-000368,-0.7723410725759999
ACH-000374,-0.617541212278
ACH-000375,-0.727901320917
ACH-000376,-0.818423000573
ACH-000381,-0.876955389108
ACH-000383,-0.515981530941
ACH-000387,-1.10613030545
ACH-000389,-0.8571721993089999
ACH-000390,-0.8716070676909999
ACH-000393,-0.82180467366
ACH-000395,-0.8447398896699999
ACH-000397,-1.0370866964899998
ACH-000401,-0.631160801076
ACH-000402,-0.960719556913
ACH-000403,-0.8362849121610001
ACH-000404,-0.784022861309
ACH-000406,-0.777645342437
ACH-000407,-0.816709564704
ACH-000408,-0.803503009931
ACH-000410,-0.6944087389229999
ACH-000411,-0.863195080902
ACH-000414,-0.755486640645
ACH-000415,-0.6302052497649999
ACH-000416,-0.7503550672399999
ACH-000420,-0.7426588705439999
ACH-000421,-0.686556884105
ACH-000424,-0.7044256158140001
ACH-000425,-0.6967329158
ACH-000426,-1.30746728829
ACH-000427,-0.532397936679
ACH-000433,-0.643681848231
ACH-000436,-0.811141131655
ACH-000444,-0.749871743535
ACH-000445,-0.767013719752
ACH-000448,-0.9006753048630001
ACH-000450,-0.840542258292
ACH-000452,-0.7176457518160001
ACH-000454,-0.913020811202
ACH-000458,-0.631574944784
ACH-000459,-0.748547556137
ACH-000460,-0.7597334886220001
ACH-000461,-0.8041143344410001
ACH-000463,-0.7363753736859999
ACH-000464,-0.686241272976
ACH-000466,-0.925581686798
ACH-000467,-0.7090658534000001
ACH-000468,-0.768386051471
ACH-000469,-0.968925134905
ACH-000470,-0.813900113223
ACH-000471,-1.07238130766
ACH-000472,-0.8356599314480001
ACH-000473,-0.6859880830769999
ACH-000475,-0.7824712963249999
ACH-000476,-0.694692066248
ACH-000477,-0.817459908216
ACH-000480,-0.680419622668
ACH-000481,-0.937804424655
ACH-000483,-0.474769181044
ACH-000484,-1.03274293932
ACH-000485,-0.921738449763
ACH-000486,-0.516705670437
ACH-000487,-0.6527784058330001
ACH-000488,-0.528952188605
ACH-000490,-0.772284292033
ACH-000491,-0.7838820533740001
ACH-000495,-0.930156608407
ACH-000496,-0.517821188604
ACH-000499,-0.8631133013950001
ACH-000500,-1.0667329005700001
ACH-000502,-0.603742831568
ACH-000503,-1.10292032417
ACH-000505,-0.554564699786
ACH-000507,-0.888376530309
ACH-000510,-0.793249683268
ACH-000511,-0.787536615274
ACH-000512,-0.390555110463
ACH-000516,-0.5406230393370001
ACH-000517,-0.7827069127490001
ACH-000518,-0.7439829665209999
ACH-000520,-0.8362417364210001
ACH-000521,-0.768986105271
ACH-000522,-0.877377114297
ACH-000524,-0.6114481721339999
ACH-000527,-0.780489616865
ACH-000528,-0.770480742503
ACH-000537,-0.7535073636740001
ACH-000541,-0.84133280559
ACH-000542,-0.7498418403560001
ACH-000544,-0.921671866063
ACH-000545,-0.7951143386339999
ACH-000547,-0.7635463599979999
ACH-000548,-0.693805058973
ACH-000549,-0.730276158388
ACH-000550,-0.440214417262
ACH-000552,-0.623845242217
ACH-000556,-0.7186247712270001
ACH-000557,-0.880738656234
ACH-000570,-0.9005525808329999
ACH-000571,-0.9391799987839999
ACH-000573,-0.7775398253970001
ACH-000576,-0.9087957967039999
ACH-000580,-1.05251720229
ACH-000584,-0.812477431165
ACH-000585,-0.516776858161
ACH-000588,-0.9626867273630001
ACH-000589,-0.550791726583
ACH-000591,-0.710667883763
ACH-000593,-0.43853957093400003
ACH-000600,-0.857380765967
ACH-000601,-0.648344568478
ACH-000604,-0.891476134566
ACH-000605,-0.711930566217
ACH-000606,-0.685040511557
ACH-000608,-0.9808196140790001
ACH-000614,-0.43237252517700003
ACH-000616,-0.7518881255750001
ACH-000618,-0.43367430030599996
ACH-000619,-0.619424131135
ACH-000620,-0.734714491028
ACH-000621,-0.804345899219
ACH-000622,-0.6652197272879999
ACH-000623,-0.8197227994130001
ACH-000624,-0.817615116813
ACH-000627,-0.653088254207
ACH-000630,-0.727029328664
ACH-000632,-0.772426284214
ACH-000633,-0.953698120403
ACH-000637,-0.782969828641
ACH-000638,-0.7787487086399999
ACH-000646,-0.786324032547
ACH-000647,-0.684629060589
ACH-000648,-1.0328219302700001
ACH-000649,-0.797230010336
ACH-000651,-0.782807723248
ACH-000652,-0.7557053356199999
ACH-000653,-0.875537956907
ACH-000657,-0.632622533737
ACH-000658,-0.715635030223
ACH-000661,-0.725469351496
ACH-000662,-1.05320411872
ACH-000663,-0.815913200822
ACH-000665,-0.635189639256
ACH-000671,-0.8848920545119999
ACH-000673,-0.6795356745810001
ACH-000676,-0.852834360306
ACH-000677,-0.8236116998019999
ACH-000681,-0.83997726137
ACH-000682,-0.7246761842110001
ACH-000683,-0.6099716892670001
ACH-000684,-0.786999008855
ACH-000688,-0.755689855479
ACH-000693,-0.657587862169
ACH-000694,-0.715043142755
ACH-000695,-0.487063341838
ACH-000696,-0.757875244585
ACH-000697,-0.938820215348
ACH-000699,-0.6895524835439999
ACH-000701,-0.8913082394030001
ACH-000706,-0.748840910738
ACH-000711,-0.7597720765360001
ACH-000713,-0.74485176473
ACH-000714,-0.724450160306
ACH-000718,-0.881752565927
ACH-000720,-0.676148748074
ACH-000721,-0.8366769057269999
ACH-000724,-0.709992474128
ACH-000725,-0.782586443541
ACH-000732,-0.547028133408
ACH-000734,-0.7263949778159999
ACH-000735,-0.656249462247
ACH-000736,-0.832318733664
ACH-000738,-0.765449165088
ACH-000746,-1.09251441285
ACH-000747,-0.6899289498800001
ACH-000748,-0.808413748846
ACH-000753,-0.701122479305
ACH-000756,-0.682249637576
ACH-000757,-0.824481602044
ACH-000758,-0.604735428247
ACH-000760,-0.483247377616
ACH-000763,-0.81265083877
ACH-000764,-0.7708070460490001
ACH-000765,-0.579586218467
ACH-000766,-0.932820341117
ACH-000767,-0.551666207682
ACH-000768,-0.860285828933
ACH-000769,-0.79119177582
ACH-000770,-0.684502755335
ACH-000771,-0.6502775694740001
ACH-000773,-0.73376993479
ACH-000776,-0.683421221571
ACH-000777,-0.824104631422
ACH-000778,-0.633436420822
ACH-000781,-0.633385511877
ACH-000782,-0.525846298091
ACH-000783,-0.298615391802
ACH-000784,-0.8257661292890001
ACH-000785,-0.500304398425
ACH-000787,-0.7891032300859999
ACH-000788,-0.789595904683
ACH-000791,-0.817099054684
ACH-000792,-0.534516108629
ACH-000794,-0.52560960081
ACH-000796,-0.835660673289
ACH-000799,-0.791158193081
ACH-000800,-0.234262386283
ACH-000802,-0.6179830407
ACH-000804,-0.47100192766500004
ACH-000805,-0.738399978992
ACH-000809,-0.8774623678389999
ACH-000810,-1.1794905732799998
ACH-000811,-0.651413821737
ACH-000817,-0.772198208784
ACH-000819,-0.656886135251
ACH-000820,-0.852177154943
ACH-000821,-1.00619258589
ACH-000822,-0.7653597530640001
ACH-000823,-0.663689566048
ACH-000824,-0.613018991885
ACH-000827,-0.602179593345
ACH-000829,-0.707155336232
ACH-000831,-0.8627835397910001
ACH-000832,-0.583399843205
ACH-000833,-0.9627736068889999
ACH-000834,-0.606122049126
ACH-000835,-0.951223444834
ACH-000836,-0.689309940556
ACH-000837,-0.618830687546
ACH-000838,-0.977085289023
ACH-000839,-0.718662680573
ACH-000840,-0.42472948134599997
ACH-000841,-0.538932693493
ACH-000843,-0.564566059051
ACH-000846,-0.5902782526210001
ACH-000847,-0.669667115601
ACH-000848,-0.74813708638
ACH-000849,-0.630817762715
ACH-000851,-0.838565727283
ACH-000855,-0.59353268564
ACH-000856,-0.723301968126
ACH-000858,-0.730706351491
ACH-000859,-0.693237623317
ACH-000861,-0.901040081277
ACH-000862,-0.6782189920239999
ACH-000865,-0.691489603011
ACH-000866,-0.690095874026
ACH-000867,-0.864703002644
ACH-000869,-0.766396259471
ACH-000872,-0.469932471588
ACH-000873,-0.8389820342759999
ACH-000876,-0.7847654220020001
ACH-000878,-0.8365709871060001
ACH-000880,-0.857605566463
ACH-000881,-0.5739222878970001
ACH-000882,-0.83999791622
ACH-000884,-0.7020364037469999
ACH-000885,-0.6444411344659999
ACH-000887,-0.795298549823
ACH-000888,-0.6842173874940001
ACH-000889,-0.89727925574
ACH-000890,-0.872966572457
ACH-000896,-0.6893104699889999
ACH-000898,-0.8497966686499999
ACH-000900,-0.601711375068
ACH-000901,-0.777041248332
ACH-000905,-0.409950716121
ACH-000906,-0.624137988432
ACH-000907,-1.0582194973399999
ACH-000910,-0.75970683013
ACH-000911,-0.617988091563
ACH-000912,-0.6771414563889999
ACH-000913,-0.399806945789
ACH-000915,-0.638390957739
ACH-000916,-1.21720046238
ACH-000917,-0.7806593855570001
ACH-000921,-0.836650416177
ACH-000924,-0.592499158888
ACH-000926,-0.821809169049
ACH-000928,-0.863342443239
ACH-000929,-0.667957530222
ACH-000932,-0.8976596481710001
ACH-000935,-0.919849449264
ACH-000936,-0.737372762185
ACH-000937,-0.821513885402
ACH-000938,-0.797975770669
ACH-000939,-0.823755657437
ACH-000941,-0.968190809707
ACH-000943,-0.7365133919769999
ACH-000946,-0.674631624522
ACH-000947,-0.8690602032670001
ACH-000948,-0.722046308319
ACH-000950,-0.5788370869439999
ACH-000953,-0.649356830233
ACH-000957,-0.604030317524
