,POLG2 (11232)
ACH-000004,-0.531696295982
ACH-000007,-1.07247153081
ACH-000009,-0.7492329637440001
ACH-000011,-0.44712440802599995
ACH-000012,-0.701146036526
ACH-000013,-0.691998703009
ACH-000014,-0.834424235057
ACH-000015,-0.5932852793119999
ACH-000017,-0.45671525487899994
ACH-000018,-0.854194490433
ACH-000019,-1.02323963801
ACH-000021,-0.495212214227
ACH-000022,-0.737538800538
ACH-000025,-0.729989314129
ACH-000028,-0.368613121523
ACH-000030,-0.6220331279110001
ACH-000035,-0.761105766753
ACH-000036,-0.38432064246299996
ACH-000037,-0.34009794195200005
ACH-000039,-0.6742466255239999
ACH-000040,-0.500750432856
ACH-000041,-0.650731753606
ACH-000042,-0.549358872435
ACH-000045,-0.821248721135
ACH-000047,-0.855354838903
ACH-000052,-0.62156067872
ACH-000053,-0.403250391859
ACH-000054,-0.366292861105
ACH-000055,-0.617428115841
ACH-000060,-0.534290921656
ACH-000067,-0.568976252382
ACH-000070,-0.5829557053450001
ACH-000075,-0.227847844945
ACH-000078,-0.31311295248000004
ACH-000082,-0.54529725799
ACH-000085,-0.635679935734
ACH-000086,-0.654399822862
ACH-000087,-0.665574363082
ACH-000092,-0.488485166432
ACH-000095,-0.397426164289
ACH-000097,-0.419530387182
ACH-000098,-0.577820121299
ACH-000099,-0.49622658816299997
ACH-000108,-0.440538177117
ACH-000113,-0.607065053097
ACH-000115,-0.613983027414
ACH-000116,-0.631982726691
ACH-000118,-0.656946279844
ACH-000120,-0.541802001977
ACH-000123,-0.708689903924
ACH-000127,-0.575991895865
ACH-000128,-0.545234388356
ACH-000132,-0.472732870558
ACH-000133,-0.492023771949
ACH-000137,-0.402978103123
ACH-000138,-0.5785046871580001
ACH-000142,-0.7890981541969999
ACH-000143,-1.0632615462000001
ACH-000146,-0.488260608427
ACH-000148,-0.7430393053000001
ACH-000150,-0.824428370173
ACH-000152,-0.670312439097
ACH-000153,-0.830670363354
ACH-000159,-0.674063227169
ACH-000160,-0.906301805394
ACH-000163,-0.8753486586139999
ACH-000167,-0.642279342636
ACH-000168,-0.38189990738799995
ACH-000169,-0.726069431362
ACH-000178,-0.630442438868
ACH-000182,-0.167162957292
ACH-000183,-0.652909530615
ACH-000188,-0.774236301863
ACH-000189,-0.763798038622
ACH-000190,-1.01431959646
ACH-000198,-0.666781784762
ACH-000204,-0.884031056142
ACH-000206,-0.826487177202
ACH-000207,-0.7247770855500001
ACH-000211,-0.607162303913
ACH-000215,-0.606849514671
ACH-000221,-0.962546910641
ACH-000222,-0.374132429577
ACH-000223,-0.721661300315
ACH-000226,-0.478952231871
ACH-000227,-0.870182911736
ACH-000228,-0.548933446667
ACH-000231,-0.70991965268
ACH-000232,-0.6726839271889999
ACH-000233,-0.648347081523
ACH-000234,-0.558387622592
ACH-000235,-0.498197352905
ACH-000237,-0.340105183781
ACH-000238,-0.9968715527299998
ACH-000243,-0.562088010274
ACH-000244,-0.6730494748479999
ACH-000246,-0.8116317772220001
ACH-000248,-0.7221906136920001
ACH-000250,-0.41056667561800003
ACH-000251,-0.403677804648
ACH-000253,-0.47989097203500003
ACH-000255,-0.45882237685000005
ACH-000256,-0.49403807767999997
ACH-000257,-0.452471574661
ACH-000258,-0.438283365795
ACH-000259,-0.5848822082199999
ACH-000260,-0.510851314569
ACH-000261,-0.724907852052
ACH-000262,-0.581179772924
ACH-000263,-0.596418118663
ACH-000264,-0.602304766101
ACH-000265,-0.7775728335950001
ACH-000266,-0.519884509843
ACH-000272,-0.494900808879
ACH-000273,-0.667376452685
ACH-000274,-0.7644939688339999
ACH-000277,-0.7301798506080001
ACH-000278,-0.27684912486200003
ACH-000279,-0.9171062208759999
ACH-000280,-0.575263390124
ACH-000281,-0.544064838698
ACH-000288,-0.905269792466
ACH-000291,-0.6044851250609999
ACH-000293,-0.664632206061
ACH-000294,-0.853085501341
ACH-000295,-0.392208128732
ACH-000296,-0.722271818405
ACH-000302,-0.39489478433200004
ACH-000304,-0.520028580248
ACH-000307,-0.5470471257280001
ACH-000308,-0.516652232804
ACH-000310,-0.54106556092
ACH-000311,-0.34369738033200004
ACH-000312,-0.624505844301
ACH-000315,-0.5342739033439999
ACH-000316,-0.63657778924
ACH-000317,-0.667133720629
ACH-000318,-0.43688233303900004
ACH-000319,-0.551400280815
ACH-000320,-0.191290031038
ACH-000322,-0.8467872264640001
ACH-000323,-0.571025712528
ACH-000324,-0.700634770274
ACH-000329,-0.783670930639
ACH-000330,-0.224239552795
ACH-000331,-0.605346541635
ACH-000332,-0.4352003493399999
ACH-000334,-0.32988122247900004
ACH-000335,-0.836151219213
ACH-000336,-0.908244930909
ACH-000337,-0.33027916045899997
ACH-000339,-0.629807536289
ACH-000341,-0.690564126
ACH-000348,-0.739474145926
ACH-000350,-0.41694409299699997
ACH-000352,-0.36385737860399997
ACH-000356,-0.686238985397
ACH-000361,-0.667472378278
ACH-000362,-0.567586203633
ACH-000363,-0.371449486564
ACH-000364,-0.5454464819529999
ACH-000365,-0.774345132922
ACH-000366,-0.43875677937299995
ACH-000368,-0.496765032006
ACH-000374,-0.807345811101
ACH-000375,-0.6956015439959999
ACH-000376,-0.8031745270389999
ACH-000381,-0.845982972807
ACH-000383,-0.9071326933830001
ACH-000387,-0.672767177243
ACH-000389,-0.510765840792
ACH-000390,-0.48728415088999993
ACH-000393,-0.51731368493
ACH-000395,-0.5638232854
ACH-000397,-0.55666054013
ACH-000401,-0.7785473450210001
ACH-000402,-1.12043102511
ACH-000403,-0.6303772225159999
ACH-000404,-0.593288152998
ACH-000406,-0.769989110935
ACH-000407,-0.653330748074
ACH-000408,-0.754555750706
ACH-000410,-0.501399083845
ACH-000411,-0.5219402605669999
ACH-000414,-0.610761766541
ACH-000415,-0.7777244630269999
ACH-000416,-0.278511340015
ACH-000420,-0.503855865282
ACH-000421,-0.5361905292270001
ACH-000424,-0.6553084185760001
ACH-000425,-0.552565052635
ACH-000426,-0.426471710242
ACH-000427,-0.6097813004020001
ACH-000433,-0.69843968599
ACH-000436,-0.324187270823
ACH-000444,-0.7603239869089999
ACH-000445,-0.531280456808
ACH-000448,-0.40159928355499996
ACH-000450,-0.771879570609
ACH-000452,-0.429768415793
ACH-000454,-0.7546513700990001
ACH-000458,-0.9761011924840001
ACH-000459,-1.51010767851
ACH-000460,-0.7252866228839999
ACH-000461,-0.7358184832699999
ACH-000463,-0.400351168641
ACH-000464,-0.436936763591
ACH-000466,-0.6385209392319999
ACH-000467,-0.91669202964
ACH-000468,-0.7572950206769999
ACH-000469,-0.770390117332
ACH-000470,-0.455281712016
ACH-000471,-0.479000250418
ACH-000472,-0.475532162839
ACH-000473,-0.536048656643
ACH-000475,-0.760718950517
ACH-000476,-0.565486035672
ACH-000477,-0.5808166867419999
ACH-000480,-0.982440377119
ACH-000481,-0.475055657919
ACH-000483,-0.983692631498
ACH-000484,-0.57296549172
ACH-000485,-0.6719640781139999
ACH-000486,-0.725401472353
ACH-000487,-0.533190052322
ACH-000488,-0.683611016451
ACH-000490,-0.546203131459
ACH-000491,-0.503644908209
ACH-000495,-0.609731391665
ACH-000496,-0.45263799858099996
ACH-000499,-0.856430229832
ACH-000500,-0.700252343424
ACH-000502,-0.46678103649700003
ACH-000503,-1.05874714963
ACH-000505,-0.48982673548699995
ACH-000507,-0.970331576697
ACH-000510,-0.592596588533
ACH-000511,-0.7522105186310001
ACH-000512,-0.853322298398
ACH-000516,-0.499504517376
ACH-000517,-0.48022627169
ACH-000518,-0.678079446239
ACH-000520,-0.595145497703
ACH-000521,-0.5233836561699999
ACH-000522,-0.724233391636
ACH-000524,-0.37342580441100004
ACH-000527,-0.462537549563
ACH-000528,-0.578051754546
ACH-000537,-0.734217262043
ACH-000541,-0.7639509105
ACH-000542,-0.720595503072
ACH-000544,-0.810157247369
ACH-000545,-0.8175189991490001
ACH-000547,-0.619439276299
ACH-000548,-0.622820418954
ACH-000549,-0.8686032527249999
ACH-000550,-0.485998492792
ACH-000552,-0.650138367025
ACH-000556,-0.49441194076899997
ACH-000557,-0.5121741169189999
ACH-000570,-0.7119108959999999
ACH-000571,-0.802475470201
ACH-000573,-0.8383372968970001
ACH-000576,-0.348548758973
ACH-000580,-0.562089892763
ACH-000584,-0.745585115067
ACH-000585,-0.455679404151
ACH-000588,-0.768056901778
ACH-000589,-0.5232044929990001
ACH-000591,-0.667103034702
ACH-000593,-0.7363350579860001
ACH-000600,-0.420501213385
ACH-000601,-0.577748200247
ACH-000604,-0.491642363621
ACH-000605,-0.465646346303
ACH-000606,-0.7910922488459999
ACH-000608,-0.610797035329
ACH-000614,-1.0551454636
ACH-000616,-0.454086862447
ACH-000618,-0.913716112719
ACH-000619,-0.672138346395
ACH-000620,-0.554018521896
ACH-000621,-0.524306055098
ACH-000622,-0.697099425298
ACH-000623,-0.540634310934
ACH-000624,-0.383000558156
ACH-000627,-0.8170173090989999
ACH-000630,-0.802790471411
ACH-000632,-0.642622862594
ACH-000633,-0.07146514299710001
ACH-000637,-0.6744888873229999
ACH-000638,-0.7218040858210001
ACH-000646,-0.7553670507350001
ACH-000647,-0.8662711212790001
ACH-000648,-0.410393310826
ACH-000649,-0.675455737229
ACH-000651,-0.81343984154
ACH-000652,-0.8397144133359999
ACH-000653,-0.274998605643
ACH-000657,-0.7944169428899999
ACH-000658,-0.554536792082
ACH-000661,-0.8070349637119999
ACH-000662,-0.5732011925899999
ACH-000663,-0.8198580890389999
ACH-000665,-0.352199474405
ACH-000671,-0.9214982912399999
ACH-000673,-0.447551139302
