,SFR1 (119392)
ACH-000004,-0.428425951333
ACH-000007,0.0056915738146900005
ACH-000009,-0.371558380875
ACH-000011,-0.333303224339
ACH-000012,-0.28839331410999997
ACH-000013,-0.142165074038
ACH-000014,-0.61889791075
ACH-000015,-0.32200528830200004
ACH-000017,-0.327992877775
ACH-000018,-0.247969925644
ACH-000019,-0.39200738353200004
ACH-000021,-0.326689899623
ACH-000022,-0.34232144273000004
ACH-000025,-0.23530681490299998
ACH-000028,-0.286671392274
ACH-000030,-0.455848678875
ACH-000035,-0.314815680154
ACH-000036,-0.435797564714
ACH-000037,-0.439626957944
ACH-000039,-0.6622392928540001
ACH-000040,-0.462837671468
ACH-000041,-0.386438792561
ACH-000042,-0.468941879798
ACH-000045,-0.09760893326580002
ACH-000047,-0.553985640197
ACH-000052,-0.45465642921000005
ACH-000053,-0.138614433276
ACH-000054,-0.635391682562
ACH-000055,-0.499751305656
ACH-000060,-0.377013877624
ACH-000067,-0.57237136369
ACH-000070,-0.38681227912
ACH-000075,-0.39292427093800003
ACH-000078,-0.302383763138
ACH-000082,-0.535249027148
ACH-000085,-0.26023036903999996
ACH-000086,-0.0300257387329
ACH-000087,-0.35248642828500004
ACH-000092,-0.112091606701
ACH-000095,-0.33684620139
ACH-000097,-0.21519625541499998
ACH-000098,-0.266408378598
ACH-000099,-0.264752994188
ACH-000108,-0.33418373398400003
ACH-000113,-0.264289278782
ACH-000115,-0.178511913745
ACH-000116,-0.341157698175
ACH-000118,-0.765055045071
ACH-000120,-0.473019016465
ACH-000123,-0.5353599659170001
ACH-000127,-0.22074090886300002
ACH-000128,-0.212302965832
ACH-000132,-0.604089929572
ACH-000133,-0.306586437483
ACH-000137,-0.593167904916
ACH-000138,-0.372569104909
ACH-000142,-0.123516236515
ACH-000143,-0.48041841366000004
ACH-000146,-0.296356709539
ACH-000148,-0.571795130171
ACH-000150,-0.242426704228
ACH-000152,-0.39624553327699996
ACH-000153,-0.198544856428
ACH-000159,-0.217841317635
ACH-000160,-0.458059876076
ACH-000163,-0.25611929612100004
ACH-000167,-0.292869522293
ACH-000168,-0.28495887147599996
ACH-000169,-0.6157690543850001
ACH-000178,-0.5056674268770001
ACH-000182,-0.162393991252
ACH-000183,-0.452240180541
ACH-000188,-0.420563514324
ACH-000189,-0.09316455574860001
ACH-000190,-0.381486392821
ACH-000198,-0.14632114585699998
ACH-000204,-0.171011483618
ACH-000206,-0.35886940003
ACH-000207,-0.584364632529
ACH-000211,-0.496335004098
ACH-000215,-0.289469187286
ACH-000221,-0.313779059448
ACH-000222,-0.551253159615
ACH-000223,-0.722012783669
ACH-000226,-0.5389136904540001
ACH-000227,-0.752237816313
ACH-000228,-0.278240614931
ACH-000231,-0.408439993416
ACH-000232,-0.736708639777
ACH-000233,-0.6827506363060001
ACH-000234,-0.386723312432
ACH-000235,-0.361442987456
ACH-000237,-0.608890127419
ACH-000238,-0.222271735561
ACH-000243,-0.572543325069
ACH-000244,-0.0400580017316
ACH-000246,-0.204638651194
ACH-000248,-0.259731229618
ACH-000250,-0.35221570736999996
ACH-000251,-0.39696048001
ACH-000253,-0.28676761795600003
ACH-000255,-0.46211052314900003
ACH-000256,-0.229719128455
ACH-000257,-0.454906362682
ACH-000258,-0.0775544251942
ACH-000259,-0.307736991452
ACH-000260,-0.260215338859
ACH-000261,-0.5169959349750001
ACH-000262,-0.175600554836
ACH-000263,-0.638392060974
ACH-000264,-0.355915655339
ACH-000265,-0.587076466313
ACH-000266,-0.404541972998
ACH-000272,-0.703907745254
ACH-000273,-0.271900192292
ACH-000274,-0.152851730465
ACH-000277,-0.371488404777
ACH-000278,-0.391266838496
ACH-000279,-0.35530319493
ACH-000280,-0.194794108136
ACH-000281,-0.576002783769
ACH-000288,-0.351540637832
ACH-000291,-0.33780816032300004
ACH-000293,-0.36973143587499996
ACH-000294,-0.106372643555
ACH-000295,-0.330559802801
ACH-000296,-0.271613881379
ACH-000302,-0.236351145408
ACH-000304,-0.48640717575000003
ACH-000307,-0.256994949589
ACH-000308,-0.255540102112
ACH-000310,-0.642259013153
ACH-000311,-0.5802700354879999
ACH-000312,-0.469300744384
ACH-000315,-0.22187330741
ACH-000316,-0.336341891916
ACH-000317,-0.437825668459
ACH-000318,-0.46975127476800005
ACH-000319,-0.281225484467
ACH-000320,-0.477836962044
ACH-000322,-0.526824844925
ACH-000323,-0.39944950078100006
ACH-000324,-0.552611634117
ACH-000329,-0.263605374541
