,TUBB4A (10382)
ACH-000004,-0.25004129868299996
ACH-000007,-0.202831389685
ACH-000009,-0.270632379113
ACH-000011,-0.17027495244600002
ACH-000012,-0.43313041811399994
ACH-000013,-0.264625334862
ACH-000014,-0.563178719388
ACH-000015,-0.47762448617299996
ACH-000017,-0.318683832383
ACH-000018,-0.512256590914
ACH-000019,-0.483329842484
ACH-000021,-0.395209253027
ACH-000022,-0.39650129598399997
ACH-000025,-0.406863039649
ACH-000028,-0.289963279789
ACH-000030,-0.40395350547
ACH-000035,-0.247867943371
ACH-000036,-0.36872343230099996
ACH-000037,-0.39045132725299997
ACH-000039,-0.527475972939
ACH-000040,-0.5516567742899999
ACH-000041,-0.34996351313100005
ACH-000042,-0.356358208015
ACH-000045,-0.420600013536
ACH-000047,-0.434763522271
ACH-000052,-0.44809065982699997
ACH-000053,-0.324890887851
ACH-000054,-0.261387556174
ACH-000055,-0.15738154854800002
ACH-000060,-0.34949739485299997
ACH-000067,-0.428337065525
ACH-000070,-0.5632467373110001
ACH-000075,-0.255944224377
ACH-000078,-0.188239828171
ACH-000082,-0.200971341259
ACH-000085,-0.376006891694
ACH-000086,-0.234350268878
ACH-000087,-0.0865932789785
ACH-000092,-0.298969005121
ACH-000095,-0.226433807202
ACH-000097,-0.26132399540600004
ACH-000098,-0.687744206505
ACH-000099,-0.30767122359
ACH-000108,-0.401726635574
ACH-000113,-0.401368777928
ACH-000115,-0.527678608494
ACH-000116,-0.23260565188000001
ACH-000118,-0.450277537552
ACH-000120,-0.39112810123999997
ACH-000123,-0.381321470013
ACH-000127,-0.396854623596
ACH-000128,-0.493885482565
ACH-000132,-0.47269127909100006
ACH-000133,-0.355029786018
ACH-000137,-0.43079936580399997
ACH-000138,-0.517004670992
ACH-000142,-0.36114703469099996
ACH-000143,-0.28399782557
ACH-000146,-0.380560869046
ACH-000148,-0.218621568038
ACH-000150,-0.543335581998
ACH-000152,-0.264340130874
ACH-000153,-0.06863244227580001
ACH-000159,-0.468077872917
ACH-000160,-0.249027432218
ACH-000163,-0.575054128244
ACH-000167,0.0763097874135
ACH-000168,-0.561096386848
ACH-000169,-0.220092289094
ACH-000178,-0.39569690943700003
ACH-000182,-0.333539257352
ACH-000183,-0.483907009277
ACH-000188,-0.42616182462200003
ACH-000189,-0.442328334478
ACH-000190,-0.364177397407
ACH-000198,-0.296153208707
