,HLA-A (3105)
ACH-000004,0.010064724765799999
ACH-000007,-0.17189507284299999
ACH-000009,-0.171133946424
ACH-000011,-0.0741645708567
ACH-000012,-0.19463816097800002
ACH-000013,-0.203792457176
ACH-000014,-0.11751846953299999
ACH-000015,-0.12024389324000001
ACH-000017,-0.495151659147
ACH-000018,-0.245337719441
ACH-000019,-0.13355516491699998
ACH-000021,-0.21250890615200002
ACH-000022,-0.233121076071
ACH-000025,-0.239106814419
ACH-000028,-0.33936380977700004
ACH-000030,-0.147447735936
ACH-000035,-0.25519313544
ACH-000036,-0.195390107432
ACH-000037,-0.294038214653
ACH-000039,-0.210251740425
ACH-000040,-0.312270047234
ACH-000041,0.00842877340865
ACH-000042,-0.222359727329
ACH-000045,-0.45306644212200003
ACH-000047,-0.274186497679
ACH-000052,-0.061141487258400004
ACH-000053,-0.223999782755
ACH-000054,-0.355944119836
ACH-000055,-0.206744902089
ACH-000060,-0.297339716265
ACH-000067,-0.29923110446400003
ACH-000070,-0.227147503051
ACH-000075,-0.224549267362
ACH-000078,-0.422570042058
ACH-000082,-0.355131647627
ACH-000085,-0.221828469726
ACH-000086,-0.116145238217
ACH-000087,-0.025979286949299997
ACH-000092,-0.21196339665600003
ACH-000095,-0.345814709534
ACH-000097,-0.34117873088600004
ACH-000098,-0.26795619624600003
ACH-000099,-0.35571893763000006
ACH-000108,-0.008058499963660001
ACH-000113,-0.6000556607199999
ACH-000115,-0.783684241769
ACH-000116,-0.21753196
ACH-000118,-0.109472207256
ACH-000120,0.07760546285960002
ACH-000123,-0.125625031183
ACH-000127,-0.576851361317
ACH-000128,-0.450280015135
ACH-000132,-0.317657076204
ACH-000133,-0.278666839695
ACH-000137,-0.202644830025
ACH-000138,-0.46228035014700003
ACH-000142,-0.138398348641
ACH-000143,-0.342260458103
ACH-000146,-0.268703611498
ACH-000148,-0.036252883936800005
ACH-000150,-0.399417195825
ACH-000152,-0.30710454203299997
ACH-000153,-0.334713712066
ACH-000159,-0.0949266151908
ACH-000160,-0.181445971701
ACH-000163,-0.300072366156
ACH-000167,-0.616353369953
ACH-000168,-0.207878282355
ACH-000169,-0.41293289132
ACH-000178,-0.253222003169
ACH-000182,-0.254626221058
ACH-000183,-0.16248310915
ACH-000188,-0.34693867444700005
ACH-000189,-0.36656321812200005
ACH-000190,-0.21440017863299998
ACH-000198,-0.319786988491
ACH-000204,-0.656445834943
ACH-000206,-0.822718101994
ACH-000207,-0.612609664584
ACH-000211,-0.299528311054
ACH-000215,-0.330226428475
ACH-000221,-0.194587935535
ACH-000222,-0.236821259334
ACH-000223,-0.100513166075
ACH-000226,-0.07305064579189999
ACH-000227,-0.203147962817
ACH-000228,-0.19397288559599998
ACH-000231,-0.347136374484
ACH-000232,-0.15160755889
ACH-000233,-0.536881805613
ACH-000234,-0.5615706725649999
ACH-000235,-0.155321023921
ACH-000237,-0.307412367417
ACH-000238,-0.161783634388
ACH-000243,-0.20049677336199997
ACH-000244,-0.207636570826
ACH-000246,-0.19693798580299998
ACH-000248,-0.34871487204400003
ACH-000250,-0.130659596229
ACH-000251,-0.20333251226100002
ACH-000253,-0.38851729120899997
ACH-000255,-0.0966006277896
ACH-000256,-0.315064414502
ACH-000257,0.0038749955841500005
ACH-000258,0.019888801184200004
ACH-000259,-0.18104974214699998
ACH-000260,-0.119001735095
ACH-000261,-0.26301670815
ACH-000262,-0.305995068337
ACH-000263,-0.40626001759499997
ACH-000264,-0.28243938352
ACH-000265,-0.0977374588648
ACH-000266,-0.298857938882
ACH-000272,-0.282242154214
ACH-000273,-0.480925813983
ACH-000274,-0.06126602820859999
ACH-000277,-0.135489752388
ACH-000278,-0.262123012319
ACH-000279,-0.5137291628980001
ACH-000280,-0.39585525215000006
ACH-000281,-0.145285654201
ACH-000288,-0.322224996316
ACH-000291,-0.251584297528
ACH-000293,-0.29417562251699997
ACH-000294,-0.19298169454999997
ACH-000295,-0.501900421304
ACH-000296,-0.0674952541976
ACH-000302,-0.210488865203
ACH-000304,-0.10713610030500001
ACH-000307,-0.13051795047700002
ACH-000308,-0.128052010237
ACH-000310,-0.17561362880800002
ACH-000311,-0.244138106781
ACH-000312,-0.268279626993
ACH-000315,-0.320293995978
ACH-000316,-0.42003114707500006
ACH-000317,0.0295396846847
ACH-000318,-0.09226922785060002
ACH-000319,-0.196619438415
ACH-000320,-0.142640863202
ACH-000322,0.011061877858
ACH-000323,-0.191746755747
ACH-000324,-0.383155581836
ACH-000329,-0.377942028366
ACH-000330,-0.049193994437999995
ACH-000331,-0.15470621633099998
ACH-000332,-0.17351998384300002
ACH-000334,-0.240944469717
ACH-000335,-0.443056760521
ACH-000336,-0.299766966982
ACH-000337,-0.397417711769
ACH-000339,-0.258457407972
ACH-000341,-0.34165859682599997
ACH-000348,-0.382482427719
ACH-000350,-0.13931584537
ACH-000352,-0.282369851444
ACH-000356,-0.08536233722789999
ACH-000361,-0.455831469801
ACH-000362,-0.464918321765
ACH-000363,-0.20389401708299998
ACH-000364,-0.217827747824
ACH-000365,-0.304947977042
ACH-000366,-0.252668317389
ACH-000368,-0.301254553101
ACH-000374,-0.336330355132
ACH-000375,-0.07851647130469999
ACH-000376,-0.160950298173
ACH-000381,-0.20381743256999998
ACH-000383,-0.473257807521
ACH-000387,-0.23103558351700001
ACH-000389,-0.358068908284
ACH-000390,-0.51335518711
ACH-000393,-0.30148237558400004
ACH-000395,-0.337656625951
ACH-000397,-0.39917574519
ACH-000401,-0.064175428175
ACH-000402,-0.217055934646
ACH-000403,-0.346297207139
ACH-000404,-0.174759626564
ACH-000406,-0.398294097701
ACH-000407,-0.312309388015
ACH-000408,-0.13601194626
ACH-000410,-0.0973884185055
ACH-000411,-0.140176333288
ACH-000414,-0.128898455468
ACH-000415,-0.341431725729
ACH-000416,-0.323840797255
ACH-000420,-0.0762751489932
ACH-000421,-0.158659794956
ACH-000424,-0.15558217120999998
ACH-000425,-0.194229200415
ACH-000426,-0.661243575546
ACH-000427,-0.324136523953
ACH-000433,0.0716695123972
ACH-000436,-0.245684949505
ACH-000444,-0.220104151522
ACH-000445,0.085058732382
ACH-000448,-0.42725622113399997
ACH-000450,-0.572044412795
ACH-000452,-0.324945826397
ACH-000454,-0.325221049419
ACH-000458,-0.191822618703
ACH-000459,-0.277354220074
ACH-000460,-0.2128496093
ACH-000461,-0.080485474445
ACH-000463,-0.207580680576
ACH-000464,-0.29684462647
ACH-000466,-0.18387984153
ACH-000467,-0.144171711494
ACH-000468,-0.21819145666900003
ACH-000469,-0.160779444256
ACH-000470,-0.28874115124
ACH-000471,-0.23066409673799998
ACH-000472,-0.163123843471
ACH-000473,-0.224249386361
ACH-000475,-0.348708646412
ACH-000476,-0.18028949750700002
ACH-000477,-0.22721737803199998
ACH-000480,-0.12190022872999999
ACH-000481,-0.252940260691
ACH-000483,0.032825620060400004
ACH-000484,-0.1659620185
ACH-000485,0.0688761164718
ACH-000486,-0.21213070278700003
ACH-000487,-0.242551230519
ACH-000488,-0.109349197799
ACH-000490,-0.323610756337
ACH-000491,-0.499450263066
ACH-000495,-0.509026105415
ACH-000496,-0.40603574710100004
ACH-000499,-0.525343197109
ACH-000500,-0.43507111540200005
ACH-000502,-0.16032314670199999
ACH-000503,0.015542391838400001
ACH-000505,-0.343431294314
ACH-000507,-0.22741638222
ACH-000510,-0.14025839739499998
ACH-000511,-0.32022076888
ACH-000512,-0.183919127837
ACH-000516,-0.495782082353
ACH-000517,-0.32754661228799997
ACH-000518,-0.596218149189
ACH-000520,-0.10479427348999999
ACH-000521,-0.29385033740600003
ACH-000522,-0.356434388205
ACH-000524,-0.487043307007
ACH-000527,-0.15425610616399998
ACH-000528,-0.046009350224000004
ACH-000537,-0.425470223211
ACH-000541,0.190362417711
ACH-000542,-0.38674660310599995
ACH-000544,-0.132525985807
ACH-000545,-0.34483218812399996
ACH-000547,-0.209610106133
ACH-000548,-0.0643731671908
ACH-000549,-0.338602148053
ACH-000550,-0.211745399447
ACH-000552,-0.18709776629299998
ACH-000556,0.00947949203918
