,HIST1H4G (8369)
ACH-000004,-0.317128649074
ACH-000007,-0.0394618122552
ACH-000009,-0.143625852434
ACH-000011,-0.303731419619
ACH-000012,-0.177096203105
ACH-000013,-0.171053531373
ACH-000014,-0.25156989033000005
ACH-000015,0.0222967884528
ACH-000017,-0.139498966045
ACH-000018,-0.246095443622
ACH-000019,-0.216905937644
ACH-000021,-0.18334975601599998
ACH-000022,-0.247235706289
ACH-000025,-0.04872034047280001
ACH-000028,0.0423292782118
ACH-000030,-0.160873356983
ACH-000035,-0.297594672181
ACH-000036,-0.128346547225
ACH-000037,-0.0770526596209
ACH-000039,-0.380177662889
ACH-000040,0.033350598020900006
ACH-000041,-0.09809962067889999
ACH-000042,-0.198059502445
ACH-000045,-0.341779307645
ACH-000047,-0.145967090579
ACH-000052,-0.347025743013
ACH-000053,-0.0676194683031
ACH-000054,-0.252339892113
ACH-000055,-0.186126746719
ACH-000060,-0.18324133907
ACH-000067,0.0924857597037
ACH-000070,0.140221346815
ACH-000075,-0.10972848273000001
ACH-000078,-0.0281051894961
ACH-000082,-0.145628580027
ACH-000085,-0.0639588250038
ACH-000086,-0.26728681802
ACH-000087,-0.14620740319199999
ACH-000092,-0.196798402846
ACH-000095,-0.22335348066
ACH-000097,-0.167003088388
ACH-000098,-0.175857456715
ACH-000099,-0.140481963661
ACH-000108,-0.125638689957
ACH-000113,-0.167427374714
ACH-000115,-0.48611913506099996
ACH-000116,-0.052314407070899994
ACH-000118,-0.17092632961100002
ACH-000120,-0.155179696412
ACH-000123,-0.08577341424900001
ACH-000127,-0.32028742518500003
ACH-000128,-0.08470627895819999
ACH-000132,-0.039531345088400005
ACH-000133,-0.26184790906399996
ACH-000137,-0.256374807561
ACH-000138,-0.148220853938
ACH-000142,0.060773026260199994
ACH-000143,-0.297043651225
ACH-000146,-0.0580021095709
ACH-000148,-0.204977409573
ACH-000150,-0.0402160632465
ACH-000152,-0.202481522817
ACH-000153,-0.33181997203200003
ACH-000159,-0.170024821206
ACH-000160,-0.164293202982
ACH-000163,0.07573901742160001
ACH-000167,-0.098606528069
ACH-000168,-0.123535078165
ACH-000169,-0.253854619441
ACH-000178,-0.216331242121
ACH-000182,-0.23720344180999997
ACH-000183,-0.152160444028
ACH-000188,-0.0784184179736
ACH-000189,-0.157203457272
ACH-000190,-0.038576461641599995
ACH-000198,-0.333840195432
ACH-000204,0.0337047265883
ACH-000206,-0.08436920181539999
ACH-000207,-0.149325221273
ACH-000211,-0.14916106853299999
ACH-000215,-0.0214385018018
ACH-000221,0.028912467603199998
ACH-000222,-0.0696024580045
ACH-000223,-0.26408660903000003
ACH-000226,-0.167598657738
ACH-000227,-0.181075038982
ACH-000228,-0.149673159402
ACH-000231,-0.153913590394
ACH-000232,-0.0506215822095
ACH-000233,-0.20943899137699998
ACH-000234,-0.228210987377
ACH-000235,-0.11608212765100001
ACH-000237,-0.177253289155
ACH-000238,-0.0306816794807
ACH-000243,-0.187780149848
ACH-000244,-0.0534386898235
ACH-000246,-0.0884874582808
ACH-000248,-0.345087055292
ACH-000250,-0.12428263257300001
ACH-000251,-0.20654076178800002
ACH-000253,-0.36068311445
ACH-000255,-0.158177660916
ACH-000256,-0.188815655422
ACH-000257,-0.337107047874
ACH-000258,0.168187799364
ACH-000259,-0.234505911226
ACH-000260,-0.137014546948
ACH-000261,-0.14986594232699998
ACH-000262,0.0868488925857
ACH-000263,-0.41956863669100003
ACH-000264,-0.0690533035408
