,XAB2 (56949)
ACH-000004,-1.683927669
ACH-000007,-1.7558783113499998
ACH-000009,-1.6537528962
ACH-000011,-1.4148518049799998
ACH-000012,-1.7086101748299998
ACH-000013,-1.6676123775799998
ACH-000014,-1.7089326942299998
ACH-000015,-1.8177948687799999
ACH-000017,-1.9870601507199999
ACH-000018,-1.75827575317
ACH-000019,-2.35402844659
ACH-000021,-1.6878120655200002
ACH-000022,-1.9753941335499998
ACH-000025,-1.28252817724
ACH-000028,-1.43240275474
ACH-000030,-1.67155612261
ACH-000035,-1.73581911025
ACH-000036,-1.81812535345
ACH-000037,-1.5367778010100002
ACH-000039,-1.65914012392
ACH-000040,-1.61957393225
ACH-000041,-1.6476518177700001
ACH-000042,-1.46855048699
ACH-000045,-1.54862888692
ACH-000047,-1.8743166686099997
ACH-000052,-1.66792296053
ACH-000053,-1.79508241443
ACH-000054,-1.58381632575
ACH-000055,-1.6421929191799998
ACH-000060,-1.5764943906600002
ACH-000067,-1.66817783919
ACH-000070,-1.80098838683
ACH-000075,-1.24246362414
ACH-000078,-1.72247508009
ACH-000082,-1.65661774731
ACH-000085,-1.73343785277
ACH-000086,-1.68829777766
ACH-000087,-1.4585457795899999
ACH-000092,-1.37554867958
ACH-000095,-1.6403992785600001
ACH-000097,-1.7707557069599997
ACH-000098,-1.5422647611700002
ACH-000099,-1.9462609748599997
ACH-000108,-1.53165047759
ACH-000113,-1.8642462698400002
ACH-000115,-2.18145302037
ACH-000116,-1.6492330311599999
ACH-000118,-1.4995509681099999
ACH-000120,-1.52663345565
ACH-000123,-1.7173547095800001
ACH-000127,-1.5170876290900002
ACH-000128,-1.7163797457499999
ACH-000132,-1.7305812352599999
ACH-000133,-1.6096749889200002
ACH-000137,-1.7297169433700001
ACH-000138,-1.7296043475799998
ACH-000142,-1.7224502198700002
ACH-000143,-1.5265224227
ACH-000146,-1.68743799421
ACH-000148,-1.5400595773399999
ACH-000150,-1.66444880855
ACH-000152,-1.4552097425400001
ACH-000153,-1.73026755759
ACH-000159,-2.0606183420099997
ACH-000160,-1.56080887111
ACH-000163,-1.5371386885799998
ACH-000167,-2.2896708084
ACH-000168,-1.69985522802
ACH-000169,-1.4112434790700001
ACH-000178,-1.58807701098
ACH-000182,-1.6020958542100001
ACH-000183,-1.90218571621
ACH-000188,-1.70307929879
ACH-000189,-1.52045752421
ACH-000190,-1.6049929106299998
ACH-000198,-1.76379288842
ACH-000204,-1.7003337826
ACH-000206,-1.7076106784600003
ACH-000207,-2.06172291148
ACH-000211,-1.40385703712
ACH-000215,-2.01058561448
ACH-000221,-1.9895232059
ACH-000222,-1.61632153222
ACH-000223,-1.87177534455
ACH-000226,-1.5469985643200002
ACH-000227,-1.5553090379199999
ACH-000228,-1.50991490486
ACH-000231,-1.47458480893
ACH-000232,-1.7254081002500001
ACH-000233,-1.8180725844699999
ACH-000234,-1.9191320092099997
ACH-000235,-1.69632367631
ACH-000237,-1.8487493569099998
ACH-000238,-1.6359455173800002
ACH-000243,-1.3959987439700001
ACH-000244,-1.4957166628100003
ACH-000246,-1.5200838713799998
ACH-000248,-1.7596727467900002
ACH-000250,-1.72663521632
ACH-000251,-1.54564038268
ACH-000253,-1.87557514773
ACH-000255,-1.43227424813
ACH-000256,-1.75728861971
ACH-000257,-1.48790625503
ACH-000258,-1.94477518241
ACH-000259,-1.68531305347
ACH-000260,-1.54691955634
ACH-000261,-1.4574164880399998
ACH-000262,-1.4576557558399998
ACH-000263,-1.77395334527
ACH-000264,-1.7554469981099998
ACH-000265,-1.4689905089200002
ACH-000266,-1.6256875482
ACH-000272,-1.50348036412
ACH-000273,-1.63022228166
ACH-000274,-1.8627750660900002
ACH-000277,-2.00440552715
ACH-000278,-1.5812455733500002
ACH-000279,-1.87862796488
ACH-000280,-1.92242362966
ACH-000281,-1.59776154066
ACH-000288,-1.6936735528100002
ACH-000291,-1.66968854664
ACH-000293,-1.81689486295
ACH-000294,-1.5187559199399998
ACH-000295,-1.5260728925100002
ACH-000296,-1.5790095554899999
ACH-000302,-2.1596787432299998
ACH-000304,-1.4059320882100002
ACH-000307,-1.65186116146
ACH-000308,-1.51408090544
ACH-000310,-1.8886100525799998
ACH-000311,-1.59799543081
ACH-000312,-1.4785150604100001
ACH-000315,-1.68080643802
ACH-000316,-1.41905915114
ACH-000317,-1.4817411884399998
ACH-000318,-1.7299120744499998
ACH-000319,-1.5934749345700001
ACH-000320,-1.7735514191599997
ACH-000322,-1.51523179476
ACH-000323,-1.6202487988499998
ACH-000324,-1.65586679908
ACH-000329,-1.77787442605
ACH-000330,-1.7411737476400002
ACH-000331,-1.3539211879
ACH-000332,-1.64058671641
ACH-000334,-2.10612029954
ACH-000335,-1.19434794247
ACH-000336,-1.7410834676900002
ACH-000337,-1.65764962965
