,POM121C (100101267)
ACH-000004,-0.145146484059
ACH-000007,-0.223276595211
ACH-000009,-0.375957692267
ACH-000011,-0.6474612226690001
ACH-000012,-0.177903463994
ACH-000013,-0.406756726474
ACH-000014,-0.480443192003
ACH-000015,-0.156999899979
ACH-000017,0.05412667436319999
ACH-000018,-0.344846801789
ACH-000019,-0.468164086504
ACH-000021,-0.38727168111500004
ACH-000022,-0.43028101406900005
ACH-000025,-0.13238968628699999
ACH-000028,-0.36071132070699996
ACH-000030,-0.318090689873
ACH-000035,-0.307269648706
ACH-000036,-0.334919849665
ACH-000037,-0.595140773427
ACH-000039,-0.27138951683699997
ACH-000040,-0.263143097692
ACH-000041,-0.130441175225
ACH-000042,-0.152728108152
ACH-000045,-0.27045482213000005
ACH-000047,-0.465001849552
ACH-000052,-0.276999716589
ACH-000053,-0.258807737573
ACH-000054,-0.237307089036
ACH-000055,-0.457655122104
ACH-000060,-0.402922183635
ACH-000067,-0.39169679997100004
ACH-000070,0.028698984573
ACH-000075,-0.623025880291
ACH-000078,-0.31390509184
ACH-000082,-0.26735461370200003
ACH-000085,-0.22337118739300002
ACH-000086,-0.237208933889
ACH-000087,-0.25085053572
ACH-000092,-0.10154064683399999
ACH-000095,-0.25309423851999996
ACH-000097,-0.539580505475
ACH-000098,-0.24471761446999996
ACH-000099,-0.306826653019
ACH-000108,-0.384288556294
ACH-000113,-0.363489730408
ACH-000115,-0.32829777192299997
ACH-000116,-0.326756795347
ACH-000118,-0.348921368178
ACH-000120,-0.23002968835
ACH-000123,-0.14344173271
ACH-000127,-0.38303466270400005
ACH-000128,-0.421581492129
ACH-000132,-0.15450768662999997
ACH-000133,-0.171438033609
ACH-000137,-0.010130793034200001
ACH-000138,-0.137594620773
ACH-000142,-0.315185771795
ACH-000143,-0.050774449183300006
ACH-000146,-0.6375297398349999
ACH-000148,-0.276001190881
ACH-000150,-0.265225622466
ACH-000152,-0.350479170234
ACH-000153,-0.704169725622
ACH-000159,-0.39736821513400006
ACH-000160,-0.316337293893
ACH-000163,-0.291003333997
ACH-000167,-0.173933014617
ACH-000168,-0.232721036464
ACH-000169,-0.321924994879
ACH-000178,-0.275787374509
ACH-000182,-0.28256361820799997
ACH-000183,-0.0802582593558
ACH-000188,-0.423370068311
ACH-000189,-0.462209437888
ACH-000190,-0.229164911273
ACH-000198,-0.364117959859
ACH-000204,-0.33674833769900003
ACH-000206,-0.034719398376
ACH-000207,-0.11966615011199999
ACH-000211,-0.316373540643
ACH-000215,-0.0415923525487
ACH-000221,-0.395972651286
