,TYW1B (441250)
ACH-000004,-0.53641025515
ACH-000007,-0.44942482987899995
ACH-000009,-0.353039874725
ACH-000011,-0.370706813557
ACH-000012,-0.28804833237300004
ACH-000013,-0.367473091499
ACH-000014,-0.5026389292010001
ACH-000015,-0.331324916778
ACH-000017,-0.31177928103
ACH-000018,-0.300924071116
ACH-000019,-0.7567104429800001
ACH-000021,-0.412881080484
ACH-000022,-0.5230846959409999
ACH-000025,-0.34884006004600004
ACH-000028,-0.348498023544
ACH-000030,-0.348175114278
ACH-000035,-0.616863877349
ACH-000036,-0.50422799845
ACH-000037,-0.301639823944
ACH-000039,-0.4561154675
ACH-000040,-0.4469498561
ACH-000041,-0.301200253198
ACH-000042,-0.320643763782
ACH-000045,-0.322559023044
ACH-000047,-0.38628477070100004
ACH-000052,-0.531525008068
ACH-000053,-0.430270762419
ACH-000054,-0.282918783324
ACH-000055,-0.402695466169
ACH-000060,-0.13319210841499998
ACH-000067,-0.549230635065
ACH-000070,-0.35922189511299996
ACH-000075,-0.569324902987
ACH-000078,-0.368491658333
ACH-000082,-0.360850430615
ACH-000085,-0.48436562500200003
ACH-000086,-0.46868846244499995
ACH-000087,-0.403185914947
ACH-000092,-0.435246398494
ACH-000095,-0.324476752109
ACH-000097,-0.228708965493
ACH-000098,-0.45564012980400004
ACH-000099,-0.313779302286
ACH-000108,-0.37210877768899997
ACH-000113,-0.326958530839
ACH-000115,-0.35400428071199996
ACH-000116,-0.160118049805
ACH-000118,-0.41172893372100006
ACH-000120,-0.262833635013
ACH-000123,-0.435648259828
ACH-000127,-0.46817567188000003
ACH-000128,-0.41258569785599997
ACH-000132,-0.378783974936
ACH-000133,-0.492831919996
ACH-000137,-0.288421746284
ACH-000138,-0.36396853929300005
ACH-000142,-0.593448980117
ACH-000143,-0.610354710172
ACH-000146,-0.342801127721
ACH-000148,-0.386270442399
ACH-000150,-0.407910928636
ACH-000152,-0.419618781936
ACH-000153,-0.551817522339
ACH-000159,-0.344340932565
ACH-000160,-0.430429264915
ACH-000163,-0.589257465842
ACH-000167,-0.812827688622
ACH-000168,-0.551197866737
ACH-000169,-0.475816957205
ACH-000178,-0.271998858818
ACH-000182,-0.285222216002
ACH-000183,-0.489428660437
ACH-000188,-0.40423989986599995
ACH-000189,-0.154443768238
ACH-000190,-0.445143082508
ACH-000198,-0.565611527782
ACH-000204,-0.522780250216
ACH-000206,-0.36568661092699994
ACH-000207,-0.505331506214
ACH-000211,-0.508592049371
ACH-000215,-0.35103947064900004
ACH-000221,-0.526098743141
ACH-000222,-0.41281417874700005
ACH-000223,-0.431274891813
ACH-000226,-0.509531177518
ACH-000227,-0.561665556729
ACH-000228,-0.450165488905
ACH-000231,-0.342549689948
ACH-000232,-0.298755590481
ACH-000233,-0.36492063559
ACH-000234,-0.190248351493
ACH-000235,-0.306267766263
ACH-000237,-0.539122932097
ACH-000238,-0.45643006896899996
ACH-000243,-0.302285963264
ACH-000244,-0.200246680526
ACH-000246,-0.371427596431
ACH-000248,-0.522408562492
ACH-000250,-0.39390036005900003
ACH-000251,-0.45414916605800004
ACH-000253,-0.442105888499
ACH-000255,-0.383564754702
ACH-000256,-0.186656261944
ACH-000257,-0.08770203464639999
ACH-000258,-0.5439161858070001
ACH-000259,-0.45282112528800006
ACH-000260,-0.23889073210700001
ACH-000261,-0.362732979891
ACH-000262,-0.279919943952
ACH-000263,-0.363238254294
ACH-000264,-0.39385901260399997
ACH-000265,-0.207260963527
ACH-000266,-0.374120437998
ACH-000272,-0.367002644996
ACH-000273,-0.443655340034
ACH-000274,-0.308937394626
ACH-000277,-0.195327820273
ACH-000278,-0.329362323002
ACH-000279,-0.48159527455799994
ACH-000280,-0.40989589477
ACH-000281,-0.306494984146
ACH-000288,-0.41026065232500003
ACH-000291,-0.547419168519
ACH-000293,-0.44588765537299996
ACH-000294,-0.471245919495
ACH-000295,-0.531833030267
ACH-000296,-0.41035016753799997
ACH-000302,-0.409985397747
ACH-000304,-0.427114515925
ACH-000307,-0.442452491949
ACH-000308,-0.361254823047
ACH-000310,-0.341547968093
ACH-000311,-0.288707050194
ACH-000312,-0.23515545008699998
ACH-000315,-0.373386474105
ACH-000316,-0.468876069593
ACH-000317,-0.401612674248
ACH-000318,-0.34162887915299994
ACH-000319,-0.465363357329
ACH-000320,-0.31490893078000004
ACH-000322,-0.6051418467149999
ACH-000323,-0.43241880091000007
ACH-000324,-0.39424012233499994
ACH-000329,-0.350648005177
ACH-000330,-0.303203824926
ACH-000331,-0.316939608751
ACH-000332,-0.22819612023699998
ACH-000334,-0.583951726603
ACH-000335,-0.291821855076
ACH-000336,-0.614465265877
ACH-000337,-0.362173476906
ACH-000339,-0.460797723075
ACH-000341,-0.402478111469
ACH-000348,-0.40975363201399995
ACH-000350,-0.347823230947
ACH-000352,-0.41743275495800003
ACH-000356,-0.287172841658
ACH-000361,-0.48789608307099996
ACH-000362,-0.377833923471
ACH-000363,-0.399522462473
ACH-000364,-0.415654602512
ACH-000365,-0.503684382048
ACH-000366,-0.32342144636799997
ACH-000368,-0.451331259507
ACH-000374,-0.45989829211800004
ACH-000375,-0.432662953227
ACH-000376,-0.455705636833
ACH-000381,-0.672667084243
ACH-000383,-0.555168868547
ACH-000387,-0.43853077961900006
ACH-000389,-0.35515502498400003
ACH-000390,-0.37602886010200004
ACH-000393,-0.279805503937
ACH-000395,-1.06914204782
ACH-000397,-0.382012111022
ACH-000401,-0.7243604994339999
ACH-000402,-0.387641866554
ACH-000403,-0.35886372412900003
ACH-000404,-0.303567603414
ACH-000406,-0.27541163516600004
ACH-000407,-0.226716396768
ACH-000408,-0.31151541901700003
ACH-000410,-0.31977034272
ACH-000411,-0.294721707574
ACH-000414,-0.44994387987400003
ACH-000415,-0.668647563079
ACH-000416,-0.325339618048
ACH-000420,-0.312818252236
ACH-000421,-0.339835267044
ACH-000424,-0.40911742471999996
ACH-000425,-0.463112950582
ACH-000426,-0.356597387594
ACH-000427,-0.44490422952500003
ACH-000433,-0.544297286411
ACH-000436,-0.19403883063400001
ACH-000444,-0.33442835528000003
ACH-000445,-0.43337964034299997
ACH-000448,-0.287717268062
ACH-000450,-0.404980995368
ACH-000452,-0.547493299845
ACH-000454,-0.413401009011
ACH-000458,-0.334577680049
ACH-000459,-0.6152808171890001
ACH-000460,-0.255720642366
ACH-000461,-0.379987675034
ACH-000463,-0.332380529315
ACH-000464,-0.28955522984
ACH-000466,-0.519393009297
ACH-000467,-0.27787234334000005
ACH-000468,-0.332190027157
ACH-000469,-0.38065947785300003
ACH-000470,-0.549324213939
