,CDC5L (988)
ACH-000004,-1.69296826111
ACH-000007,-1.8687212897799999
ACH-000009,-1.7415090077400002
ACH-000011,-1.7819404865200001
ACH-000012,-1.5163647767100001
ACH-000013,-1.7756325989200001
ACH-000014,-1.56576728478
ACH-000015,-1.47660593204
ACH-000017,-1.92605729823
ACH-000018,-1.45938994803
ACH-000019,-1.79834789931
ACH-000021,-1.43246553788
ACH-000022,-1.80277801964
ACH-000025,-1.15430416206
ACH-000028,-1.45085861904
ACH-000030,-1.5910512014700002
ACH-000035,-1.58774942085
ACH-000036,-1.47665878102
ACH-000037,-2.1843247986099996
ACH-000039,-2.1336084671099997
ACH-000040,-1.14391586361
ACH-000041,-1.70623184977
ACH-000042,-1.77980149192
ACH-000045,-1.8475169747099998
ACH-000047,-1.5280071814899998
ACH-000052,-1.49604185715
ACH-000053,-1.78650050521
ACH-000054,-1.36678882096
ACH-000055,-1.36194683394
ACH-000060,-1.57751143715
ACH-000067,-1.65445644502
ACH-000070,-1.6380865756
ACH-000075,-1.26011832757
ACH-000078,-1.8001136718200001
ACH-000082,-1.81944794572
ACH-000085,-1.73538970302
ACH-000086,-1.26978139863
ACH-000087,-1.4381731671
ACH-000092,-1.32957399434
ACH-000095,-1.7566093316599998
ACH-000097,-1.6157275413299999
ACH-000098,-1.3432489355300001
ACH-000099,-1.54807015234
ACH-000108,-1.74423131914
ACH-000113,-1.7323399472799998
ACH-000115,-2.35384709096
ACH-000116,-1.6757886302399998
ACH-000118,-1.5958019920200002
ACH-000120,-1.47375775338
ACH-000123,-1.6422207824500001
ACH-000127,-1.73424854784
ACH-000128,-1.83549041617
ACH-000132,-1.12991279954
ACH-000133,-1.50087932465
ACH-000137,-1.29948961947
ACH-000138,-1.5200365328100003
ACH-000142,-1.81532264837
ACH-000143,-1.5660001218000001
ACH-000146,-1.69869725377
ACH-000148,-1.68471829671
ACH-000150,-1.30721936169
ACH-000152,-1.30594222794
ACH-000153,-1.4317886808200002
ACH-000159,-1.65229479727
ACH-000160,-1.09534327546
ACH-000163,-1.304726305
ACH-000167,-0.927882540203
ACH-000168,-1.5379095061
ACH-000169,-1.64011205357
ACH-000178,-1.55071932117
ACH-000182,-1.7036880334399997
ACH-000183,-1.6077501570200001
ACH-000188,-1.6718712550100001
ACH-000189,-1.3225398368799999
ACH-000190,-1.03930133294
ACH-000198,-1.5749779854
ACH-000204,-1.28598422831
ACH-000206,-1.4580032570700001
ACH-000207,-1.7766778100599998
ACH-000211,-1.5075446993500001
ACH-000215,-1.5054548612799998
ACH-000221,-1.7260234884999999
ACH-000222,-1.27641052275
ACH-000223,-1.69296221493
ACH-000226,-1.48804599678
ACH-000227,-2.36000618157
ACH-000228,-1.41473151081
ACH-000231,-1.45313972486
ACH-000232,-1.7371258183400002
ACH-000233,-1.78578360988
ACH-000234,-1.39168929428
ACH-000235,-1.60755831361
ACH-000237,-1.53869990265
ACH-000238,-1.74230358211
ACH-000243,-1.65707486103
ACH-000244,-1.32972342521
ACH-000246,-1.57680559639
ACH-000248,-1.5436178474000002
ACH-000250,-1.63414782597
ACH-000251,-0.96865779059
ACH-000253,-1.6341500823700001
ACH-000255,-1.4074791270200002
ACH-000256,-1.8018112343500001
ACH-000257,-1.21819607881
ACH-000258,-1.0639184987799999
ACH-000259,-1.32990281494
ACH-000260,-1.7106188376700002
ACH-000261,-1.4906485826499998
ACH-000262,-1.37111500167
ACH-000263,-2.0651039393
ACH-000264,-1.6783104029299998
ACH-000265,-1.54096018926
ACH-000266,-1.44243575092
ACH-000272,-1.34514017195
ACH-000273,-1.5019622659799998
ACH-000274,-1.32299749539
ACH-000277,-1.63377463003
ACH-000278,-1.41815455899
ACH-000279,-1.58525546729
ACH-000280,-1.48261837032
ACH-000281,-1.55337005259
ACH-000288,-1.6222304195
ACH-000291,-1.70924103055
ACH-000293,-1.7502398185799999
ACH-000294,-1.8160967794
ACH-000295,-1.32512664759
ACH-000296,-1.77065602816
ACH-000302,-2.02685222314
ACH-000304,-1.68663495905
ACH-000307,-1.59199604873
ACH-000308,-1.47698925598
ACH-000310,-2.0147271491799996
ACH-000311,-1.717757531
ACH-000312,-1.82298250615
ACH-000315,-1.4629762727700002
ACH-000316,-1.54035127643
ACH-000317,-1.7342386912999999
ACH-000318,-1.60507133694
ACH-000319,-1.5855650153299998
ACH-000320,-1.43087756838
ACH-000322,-1.35731767051
ACH-000323,-1.30124917304
ACH-000324,-1.61917293962
ACH-000329,-1.81255642712
ACH-000330,-1.2823689282200001
ACH-000331,-1.4226189969799998
ACH-000332,-1.5249680900600002
ACH-000334,-1.49206236027
ACH-000335,-1.3137235366
ACH-000336,-1.64308197756
ACH-000337,-1.3717292243900001
ACH-000339,-1.58945915737
ACH-000341,-1.9990450323599998
ACH-000348,-1.7601366351099998
ACH-000350,-1.82631546844
ACH-000352,-1.60241022455
ACH-000356,-1.89715736195
ACH-000361,-1.66964017914
ACH-000362,-1.82517628525
ACH-000363,-1.58138803796
ACH-000364,-1.64902383406
ACH-000365,-1.66740562403
ACH-000366,-1.8523291080900002
ACH-000368,-1.31646078992
ACH-000374,-1.56477523774
ACH-000375,-1.6063624678200001
ACH-000376,-1.4221066407
ACH-000381,-1.35853918533
ACH-000383,-1.8719848070900003
ACH-000387,-1.8390022399500001
ACH-000389,-1.3471727804700002
ACH-000390,-1.8877943874599998
ACH-000393,-1.42264519352
ACH-000395,-1.86991671368
ACH-000397,-1.5080442247499999
ACH-000401,-1.7129135339200001
ACH-000402,-1.66120973643
ACH-000403,-1.81409963658
ACH-000404,-1.63520881627
ACH-000406,-1.8149135249000001
ACH-000407,-1.45126275312
ACH-000408,-1.40986660864
