,HARS2 (23438)
ACH-000004,-0.880455543754
ACH-000007,-1.01959687208
ACH-000009,-0.768804595181
ACH-000011,-0.6984628743440001
ACH-000012,-1.21170270442
ACH-000013,-0.948688404155
ACH-000014,-0.965007567675
ACH-000015,-1.38930854978
ACH-000017,-0.590701263759
ACH-000018,-1.17390256758
ACH-000019,-1.08756084792
ACH-000021,-0.669596392028
ACH-000022,-1.15064843047
ACH-000025,-0.8196269340610001
ACH-000028,-1.06114311818
ACH-000030,-0.9761184495890001
ACH-000035,-1.05995531134
ACH-000036,-0.221219529686
ACH-000037,-0.9100892827509999
ACH-000039,-0.7139568249339999
ACH-000040,-0.689410070044
ACH-000041,-1.0387462871100002
ACH-000042,-0.6997152667730001
ACH-000045,-0.826832209627
ACH-000047,-1.18187314161
ACH-000052,-0.6128443843770001
ACH-000053,-0.7510743700399999
ACH-000054,-0.92069905174
ACH-000055,-0.8256179300450001
ACH-000060,-0.7811854968199999
ACH-000067,-0.594733973384
ACH-000070,-0.893320480612
ACH-000075,-0.853680513172
ACH-000078,-0.85933361293
ACH-000082,-0.821862374228
ACH-000085,-1.01597997856
ACH-000086,-0.9188333117890001
ACH-000087,-1.00899760536
ACH-000092,-0.620858822808
ACH-000095,-0.573578525681
ACH-000097,-0.657542159733
ACH-000098,-0.7457755747329999
ACH-000099,-0.7421696700139999
ACH-000108,-0.500726317392
ACH-000113,-0.8425460303579999
ACH-000115,-0.813545084469
ACH-000116,-1.03518112412
ACH-000118,-1.05735981376
ACH-000120,-0.6878393937530001
ACH-000123,-0.931491971753
ACH-000127,-1.26579327757
ACH-000128,-0.991347091963
ACH-000132,-0.739710781277
ACH-000133,-0.696896802367
ACH-000137,-0.523924037347
ACH-000138,-0.8309290790999999
ACH-000142,-0.7121723462489999
ACH-000143,-1.28612289528
ACH-000146,-0.946264691341
ACH-000148,-1.10523138612
ACH-000150,-1.28971313104
ACH-000152,-0.6815302995550001
ACH-000153,-0.762611471187
ACH-000159,-0.668442081656
ACH-000160,-1.1576058176200001
ACH-000163,-0.8459039840989999
ACH-000167,-0.590805314459
ACH-000168,-0.691817089602
ACH-000169,-0.912749938779
ACH-000178,-0.9911055950290001
ACH-000182,-1.2269965977
ACH-000183,-0.738358676656
ACH-000188,-0.885464309875
ACH-000189,-0.978909846445
ACH-000190,-1.0412929545899998
ACH-000198,-0.865391534947
ACH-000204,-0.729745776541
ACH-000206,-1.1988229908299999
ACH-000207,-1.0355001267200001
ACH-000211,-0.799371750379
ACH-000215,-0.8615107554700001
ACH-000221,-1.318341342
ACH-000222,-0.640496024645
ACH-000223,-0.8558388321539999
ACH-000226,-0.595465502577
ACH-000227,-0.8163132144480001
ACH-000228,-0.636633830894
ACH-000231,-1.0015632171700002
ACH-000232,-0.8231561771279999
ACH-000233,-0.836357858484
ACH-000234,-0.575827175995
ACH-000235,-0.846467970906
ACH-000237,-0.384236177286
ACH-000238,-1.27649610029
ACH-000243,-0.719299815629
ACH-000244,-0.7049301892800001
ACH-000246,-1.01130507294
ACH-000248,-0.886478275022
ACH-000250,-0.460175697904
ACH-000251,-0.779605959963
ACH-000253,-0.597096936839
ACH-000255,-0.8973960433239999
ACH-000256,-0.926000565579
ACH-000257,-1.11351957827
ACH-000258,-0.653075243573
ACH-000259,-0.9859900815420001
ACH-000260,-0.584301905835
ACH-000261,-0.879261948992
ACH-000262,-0.47699476816200004
ACH-000263,-0.7523898796259999
ACH-000264,-0.86391264302
ACH-000265,-1.2399318341
ACH-000266,-0.698038602843
ACH-000272,-0.748399984341
ACH-000273,-0.930165561693
ACH-000274,-0.875140632867
ACH-000277,-1.17188050051
ACH-000278,-0.47012949497400003
ACH-000279,-1.49178220018
ACH-000280,-0.749236656542
ACH-000281,-0.8779648094429999
ACH-000288,-1.1663614984100001
ACH-000291,-0.7107159654530001
ACH-000293,-1.02220346923
ACH-000294,-1.12349744505
ACH-000295,-1.2470613693500001
ACH-000296,-0.784573833549
ACH-000302,-0.897839209654
ACH-000304,-1.46082503949
ACH-000307,-1.0430407474299999
ACH-000308,-0.7904344118559999
ACH-000310,-0.43574453670900004
ACH-000311,-0.9835815045980001
ACH-000312,-1.03889461316
ACH-000315,-1.3247954803200002
ACH-000316,-0.8022056775390001
ACH-000317,-1.3534338110100002
ACH-000318,-0.8136415346420001
ACH-000319,-0.678626597846
ACH-000320,-0.985070757798
ACH-000322,-0.876705701092
ACH-000323,-0.6798632926710001
ACH-000324,-0.747589123113
ACH-000329,-1.21344083051
ACH-000330,-1.0739283330299998
ACH-000331,-0.91046175013
ACH-000332,-0.4665373148
ACH-000334,-0.923554043579
ACH-000335,-1.22734937526
ACH-000336,-1.14771397827
ACH-000337,-0.995868407249
ACH-000339,-0.935751345176
ACH-000341,-0.950222311001
ACH-000348,-0.868108529329
ACH-000350,-0.843007300215
ACH-000352,-0.876918430065
ACH-000356,-0.802314412441
ACH-000361,-1.0267312136700002
ACH-000362,-0.8577571532709999
ACH-000363,-1.02058148296
ACH-000364,-0.880201418389
ACH-000365,-1.28010892043
ACH-000366,-0.8951133854359999
ACH-000368,-0.8121734069600001
ACH-000374,-1.00840718463
ACH-000375,-0.9563685394299999
ACH-000376,-1.15042893343
ACH-000381,-1.15192039268
ACH-000383,-0.949253036662
ACH-000387,-0.9695031924799999
ACH-000389,-0.562011069014
ACH-000390,-0.8635982091680001
ACH-000393,-0.7854775153839999
ACH-000395,-0.738234324216
ACH-000397,-0.45342757606299994
ACH-000401,-1.0195521692
ACH-000402,-0.757594246993
ACH-000403,-0.6686101231939999
ACH-000404,-1.19214062796
ACH-000406,-1.24194128238
ACH-000407,-1.07309746812
ACH-000408,-1.0546107153
ACH-000410,-0.714381965786
ACH-000411,-0.470087163948
ACH-000414,-0.828050178158
ACH-000415,-0.903648623233
ACH-000416,-0.48075338946900004
ACH-000420,-0.794684500271
ACH-000421,-0.651216512817
ACH-000424,-1.31716893502
ACH-000425,-0.9086479198340001
ACH-000426,-0.598027376023
ACH-000427,-0.8706287841500001
ACH-000433,-0.6437485849669999
