,IL36RN (26525)
ACH-000004,0.071991119503
ACH-000007,0.27359365550299997
ACH-000009,0.0440727258373
ACH-000011,-0.00184081473066
ACH-000012,0.114628443894
ACH-000013,-0.0246302334638
ACH-000014,0.147054441495
ACH-000015,0.071867241973
ACH-000017,0.256230369505
ACH-000018,0.11137951669500001
ACH-000019,0.0349724750228
ACH-000021,0.158702566323
ACH-000022,0.137299028946
ACH-000025,0.0884490311012
ACH-000028,0.22022350140900002
ACH-000030,0.0883525190714
ACH-000035,0.12177671128699999
ACH-000036,0.0353140699615
ACH-000037,0.0223536248457
ACH-000039,0.219945879898
ACH-000040,0.216131428365
ACH-000041,0.195445189663
ACH-000042,0.131205611302
ACH-000045,0.110479185289
ACH-000047,0.138122473009
ACH-000052,0.112653152093
ACH-000053,0.035484478351
ACH-000054,0.211964250044
ACH-000055,0.228020216779
ACH-000060,0.197572342097
ACH-000067,-0.0211375027305
ACH-000070,-0.033378052661900005
ACH-000075,0.24857105034200003
ACH-000078,0.158993643565
ACH-000082,0.154417162004
ACH-000085,-0.0202492974406
ACH-000086,0.19537150239
ACH-000087,0.0438968583863
ACH-000092,-0.017947253618
ACH-000095,0.041184359821500004
ACH-000097,0.167988134905
ACH-000098,0.107756785552
ACH-000099,0.08894558911710002
ACH-000108,0.22627984791499997
ACH-000113,0.10625901575999999
ACH-000115,0.0790141063066
ACH-000116,0.11516647408500001
ACH-000118,0.23502995955400002
ACH-000120,0.34728901926399997
ACH-000123,0.218526673536
ACH-000127,0.154277746518
ACH-000128,0.060441976769900006
ACH-000132,0.0808786077826
ACH-000133,0.021411199131900004
ACH-000137,0.119364546627
ACH-000138,0.20607813515299997
ACH-000142,0.08284703642739999
ACH-000143,0.10398478582699999
ACH-000146,0.0590939186847
ACH-000148,0.19751198363400002
ACH-000150,0.0652137910838
ACH-000152,0.14715651258600002
ACH-000153,-0.0202453564215
ACH-000159,0.229085457542
ACH-000160,0.0974584529273
ACH-000163,0.06817421082719999
ACH-000167,-0.015308323096799999
ACH-000168,0.0161142116393
ACH-000169,0.26570795069200004
ACH-000178,0.105782719912
ACH-000182,0.0826658930391
ACH-000183,0.203073353991
ACH-000188,0.162024313171
ACH-000189,0.280687286523
ACH-000190,0.277712810205
ACH-000198,0.0398250885606
ACH-000204,0.0739378861756
ACH-000206,0.115384555579
ACH-000207,0.053028085635099996
ACH-000211,0.0517950795329
ACH-000215,0.13837276689300002
ACH-000221,0.174555919107
ACH-000222,0.291061370855
ACH-000223,0.138087243393
ACH-000226,0.0243997436782
ACH-000227,0.197388285688
ACH-000228,0.192994322132
ACH-000231,0.09579622334280001
ACH-000232,0.208058195063
ACH-000233,0.0372550306831
ACH-000234,0.0863553646448
ACH-000235,0.142261213268
ACH-000237,0.100689871508
ACH-000238,0.10887497533700001
ACH-000243,0.12028826790899999
ACH-000244,0.150694611457
ACH-000246,0.233754988623
ACH-000248,0.13420383492000001
ACH-000250,0.0470168499937
ACH-000251,0.0345456901495
ACH-000253,0.0398227988179
ACH-000255,-0.0633710165231
ACH-000256,0.20261883440900003
ACH-000257,0.221632611096
ACH-000258,0.234404952781
ACH-000259,0.16900384817000003
ACH-000260,0.0980845928369
ACH-000261,0.448363059352
ACH-000262,0.22621119254099997
ACH-000263,0.08829309493830001
ACH-000264,0.014363380592300001
ACH-000265,0.163302324232
ACH-000266,0.140903949905
ACH-000272,0.110928571979
ACH-000273,0.132972409629
ACH-000274,-0.020659145553900003
ACH-000277,0.213044350298
ACH-000278,0.013500284698000001
ACH-000279,0.12836303219200002
ACH-000280,0.07212807345780001
ACH-000281,0.152504318508
