,FABP5 (2171)
ACH-000004,-0.346697351142
ACH-000007,-0.299103425002
ACH-000009,-0.51402114558
ACH-000011,-0.363233896413
ACH-000012,-0.728669219525
ACH-000013,-0.258909150343
ACH-000014,-0.27894064209
ACH-000015,-0.228424734679
ACH-000017,-0.13761801408500002
ACH-000018,-0.44412697171599996
ACH-000019,-0.597894933987
ACH-000021,-0.48429238852300005
ACH-000022,-0.179563869927
ACH-000025,-0.468717586233
ACH-000028,-0.19884006398600002
ACH-000030,-0.5427948131889999
ACH-000035,-0.39751999016
ACH-000036,-0.403989489973
ACH-000037,-0.17055107189100002
ACH-000039,-0.754533983852
ACH-000040,-0.371633066866
ACH-000041,-0.479306181458
ACH-000042,-0.496083545946
ACH-000045,-0.45068999638499996
ACH-000047,-0.559473193658
ACH-000052,-0.468673461911
ACH-000053,-0.33220502734
ACH-000054,-0.408805831829
ACH-000055,-0.544452123019
ACH-000060,-0.45958537693999996
ACH-000067,-0.6325535299239999
ACH-000070,-0.37909637069700003
ACH-000075,-0.348643613505
ACH-000078,-0.394921972859
ACH-000082,-0.290396089865
ACH-000085,-0.44097772231700005
ACH-000086,-0.273114783854
ACH-000087,-0.660764197038
ACH-000092,-0.412104073532
ACH-000095,-0.49470287798100004
ACH-000097,-0.306638142277
ACH-000098,-0.289420360551
ACH-000099,-0.281513047397
ACH-000108,-0.350735442717
ACH-000113,-0.360127341779
ACH-000115,-0.273673625571
ACH-000116,-0.30226374164500003
ACH-000118,-0.311150010995
ACH-000120,-0.41071203570200004
ACH-000123,-0.453880133605
ACH-000127,-0.365625342789
ACH-000128,-0.38585233854
ACH-000132,-0.299348814722
ACH-000133,-0.43145469548500004
ACH-000137,-0.311092235545
ACH-000138,-0.288253933915
ACH-000142,-0.42140786530900004
ACH-000143,-0.39080128393200003
ACH-000146,-0.350777890594
ACH-000148,-0.365608355596
ACH-000150,-0.327614541726
ACH-000152,-0.19096305769000002
ACH-000153,-0.8473083323370001
ACH-000159,-0.583095221906
ACH-000160,-0.20836173951200002
ACH-000163,-0.531571501776
ACH-000167,-0.10686221840700001
ACH-000168,-0.508527803539
ACH-000169,-0.479813779049
ACH-000178,-0.423546110304
ACH-000182,-0.450821829221
ACH-000183,-0.446909732887
ACH-000188,-0.5133063845229999
ACH-000189,-0.74964586847
ACH-000190,-0.40369477361699996
ACH-000198,-0.449860110556
ACH-000204,-0.0899540120974
ACH-000206,-0.629550399847
ACH-000207,-0.193666980741
ACH-000211,-0.209022157054
ACH-000215,-0.21952348315900003
ACH-000221,-0.329966649762
ACH-000222,-0.142551589268
ACH-000223,-0.328585806184
ACH-000226,-0.700320064368
ACH-000227,-0.515748916888
ACH-000228,-0.28462848953000003
ACH-000231,-0.309363926658
ACH-000232,-0.474318922385
ACH-000233,-0.513258529773
ACH-000234,-0.18897008476100002
ACH-000235,-0.32611583962499996
ACH-000237,-0.218949929691
ACH-000238,-0.412958535369
ACH-000243,-0.245857276332
ACH-000244,-0.158407005987
ACH-000246,-0.18825741005
ACH-000248,-0.368471743405
ACH-000250,-0.268952335835
ACH-000251,-0.139308957116
ACH-000253,-0.397923514548
ACH-000255,-0.496934073305
ACH-000256,-0.6270544660849999
ACH-000257,-0.264287980833
ACH-000258,-0.240240152264
ACH-000259,-0.277885996031
ACH-000260,-0.402378544756
ACH-000261,-0.366997730378
ACH-000262,-0.524195080655
ACH-000263,-0.47778958970200003
ACH-000264,-0.485052482457
ACH-000265,-0.45431879111999995
ACH-000266,-0.447697223956
ACH-000272,-0.444320518819
ACH-000273,-0.38894225575
ACH-000274,-0.524689420248
ACH-000277,-0.156113077918
ACH-000278,-0.353664292717
ACH-000279,-0.49253551514
ACH-000280,-0.39525092585199995
ACH-000281,-0.31992290711300003
ACH-000288,-0.318931971847
ACH-000291,-0.36041571303400005
ACH-000293,-0.153885707449
ACH-000294,-0.5126989210790001
ACH-000295,-0.303708998371
ACH-000296,-0.5550771973390001
ACH-000302,-0.46678690909500004
ACH-000304,-0.5803816750240001
ACH-000307,-0.520957083551
ACH-000308,-0.543381236979
ACH-000310,-0.48669344196900005
ACH-000311,-0.271566020538
ACH-000312,-0.217048870127
ACH-000315,-0.44918940682999997
ACH-000316,-0.35725248955300004
ACH-000317,-0.22093949784000003
ACH-000318,-0.185399336287
ACH-000319,-0.308775838073
ACH-000320,-0.595843600157
ACH-000322,-0.586071114271
ACH-000323,-0.20547932961100002
ACH-000324,-0.372884458953
ACH-000329,-0.146552630234
ACH-000330,-0.45607251303900004
ACH-000331,-0.315687679021
ACH-000332,-0.327651500302
ACH-000334,-0.282783148383
ACH-000335,-0.203733621843
ACH-000336,-0.405981557859
ACH-000337,-0.125124045591
ACH-000339,-0.412570720376
ACH-000341,-0.400675693786
ACH-000348,-0.276153767472
ACH-000350,-0.468607331494
ACH-000352,-0.519525398465
ACH-000356,-0.390902681227
ACH-000361,-0.431068746735
ACH-000362,-0.46024892722099997
ACH-000363,-0.319205464973
ACH-000364,-0.344436834835
ACH-000365,-0.229533950795
ACH-000366,-0.177667576042
ACH-000368,-0.502006739133
ACH-000374,-0.46453639037699995
ACH-000375,-0.376156576411
ACH-000376,-0.213581973479
ACH-000381,-0.768123120133
ACH-000383,-0.210504881072
ACH-000387,-0.575255835702
ACH-000389,-0.200410250356
ACH-000390,-0.452467472425
ACH-000393,-0.580897484278
ACH-000395,-0.647221495585
ACH-000397,-0.261280682256
ACH-000401,-0.329652924243
ACH-000402,-0.18262731384599998
ACH-000403,-0.343937080966
ACH-000404,-0.569154117906
ACH-000406,-0.308831807465
ACH-000407,-0.305041723254
ACH-000408,-0.453296916271
ACH-000410,-0.133200570066
ACH-000411,-0.205624440039
ACH-000414,-0.4615491092600001
ACH-000415,-0.665416273321
ACH-000416,-0.337931544828
ACH-000420,-0.381925761581
ACH-000421,-0.559326801798
ACH-000424,-0.134765101404
ACH-000425,-0.467127414961
ACH-000426,-0.272204231869
ACH-000427,-0.12327537293600001
ACH-000433,-0.538260969168
ACH-000436,-0.297672517563
ACH-000444,-0.43007075100000003
ACH-000445,-0.20415159820599998
ACH-000448,-0.693796585493
ACH-000450,-0.622098267764
ACH-000452,-0.173839706958
ACH-000454,-0.0594256042453
ACH-000458,-0.46636285692
ACH-000459,-0.0176566040794
ACH-000460,-0.565122892674
ACH-000461,-0.31795515042800004
ACH-000463,-0.0638076921258
ACH-000464,-0.545496434052
ACH-000466,-0.11022004207999998
ACH-000467,-0.445917047471
ACH-000468,-0.691716049223
ACH-000469,-0.43471171371100004
ACH-000470,-0.640578025149
ACH-000471,-0.24188922473000002
ACH-000472,-0.249462300937
ACH-000473,-0.24482806841899998
ACH-000475,-0.334857657332
ACH-000476,-0.324163144458
ACH-000477,-0.662510408374
ACH-000480,-0.490231509956
ACH-000481,-0.5240680549360001
ACH-000483,-0.46564303825099995
ACH-000484,-0.20892686909400002
ACH-000485,-0.34855763560999997
ACH-000486,-0.39478312484800004
ACH-000487,-0.47695591932899994
ACH-000488,-0.305726635963
ACH-000490,-0.278540365922
ACH-000491,-0.903833653655
ACH-000495,-0.384241222534
ACH-000496,-0.455577149202
ACH-000499,-0.33411175352899997
ACH-000500,-0.162511421769
ACH-000502,-0.2730420067
ACH-000503,-0.319630924084
ACH-000505,-0.214737611512
ACH-000507,-0.41950422069300003
ACH-000510,-0.29888448626200004
ACH-000511,-0.365409900453
ACH-000512,-0.13956856156
ACH-000516,-0.45531069280500003
ACH-000517,-0.526552348049
ACH-000518,-0.120694540261
ACH-000520,-0.5029201270489999
ACH-000521,-0.663511459422
ACH-000522,-0.22703912512200003
ACH-000524,-0.610169865905
ACH-000527,-0.41996133244999995
ACH-000528,-0.393834185005
ACH-000537,-0.259523300748
ACH-000541,-0.330971630777
ACH-000542,-0.315526447785
ACH-000544,-0.272027170518
ACH-000545,-0.539223181722
ACH-000547,-0.60229894279
ACH-000548,-0.710590314193
ACH-000549,-0.275650959259
ACH-000550,-0.402311732174
ACH-000552,-0.377734388371
ACH-000556,-0.264938279802
ACH-000557,-0.634113885383
ACH-000570,-0.7339925403540001
ACH-000571,-0.240737480235
ACH-000573,-0.353759399711
ACH-000576,-0.39717257662100003
ACH-000580,-0.53281499395
ACH-000584,-0.439667826912
ACH-000585,-0.211735437164
ACH-000588,-0.30083929595
ACH-000589,-0.510907126813
ACH-000591,-0.551329260865
ACH-000593,0.0050210468137799995
ACH-000600,-0.434693691618
ACH-000601,-0.306326278567
ACH-000604,-0.913176545703
ACH-000605,-0.30105838901500004
ACH-000606,-0.47495908427699995
ACH-000608,-0.742169920307
ACH-000614,-0.530550505233
ACH-000616,-0.330525376498
ACH-000618,-0.174036868301
ACH-000619,-0.305788547952
ACH-000620,-0.312260119998
ACH-000621,-0.39797385224200005
ACH-000622,-0.44309982713600005
ACH-000623,-0.584225491778
ACH-000624,-0.335093024081
ACH-000627,-0.289143529353
ACH-000630,-0.193600964613
ACH-000632,-0.19116364405000003
ACH-000633,-0.769153615237
ACH-000637,-0.560184401844
ACH-000638,-0.121790746098
ACH-000646,-0.266687249263
ACH-000647,-0.249667211409
ACH-000648,-0.56511371893
ACH-000649,-0.44089518960100005
