,HARBI1 (283254)
ACH-000414,-0.303133835114
ACH-000415,-0.330387894796
ACH-000416,-0.0827222044714
ACH-000420,-0.155875553484
ACH-000421,-0.319059534429
ACH-000424,0.07607522253980001
ACH-000425,-0.113619678946
ACH-000426,0.0169348464194
ACH-000427,-0.08168582675210001
ACH-000433,-0.25970667598499997
ACH-000436,-0.22803523723900002
ACH-000444,-0.117597418409
ACH-000445,-0.0533793804578
ACH-000448,-0.14219804515
ACH-000450,0.043342863041799996
ACH-000452,-0.278938917235
ACH-000454,-0.21217157528299999
ACH-000458,-0.264179372345
ACH-000459,0.220137415743
ACH-000460,-0.0238541136779
ACH-000461,-0.253031819338
ACH-000463,-0.18111105235199998
ACH-000464,-0.20054978654199998
ACH-000466,-0.31819353780799997
ACH-000467,0.102255855479
ACH-000468,-0.233041573417
ACH-000469,-0.34265805534599997
ACH-000470,-0.13831646446100002
ACH-000471,-0.11853692167799999
ACH-000472,-0.288611670336
ACH-000473,0.011776235973499999
ACH-000475,-0.20010234049400002
ACH-000476,-0.247907814782
ACH-000477,-0.255272694752
ACH-000480,-0.103324839944
ACH-000481,-0.222247582449
ACH-000483,-0.040130418707900004
ACH-000484,-0.067964378981
ACH-000485,-0.186297837879
ACH-000486,-0.295843271019
ACH-000487,-0.23723346101300002
ACH-000488,-0.166882196677
ACH-000490,-0.31358493887
ACH-000491,-0.256482049149
ACH-000495,-0.387105484504
ACH-000496,-0.395925342633
ACH-000499,-0.493533438019
ACH-000500,-0.220598640229
ACH-000502,-0.18600101624
ACH-000503,-0.241778220523
ACH-000505,-0.449191052328
ACH-000507,0.058166160636999996
ACH-000510,-0.237078036624
ACH-000511,-0.10246032575099999
ACH-000512,-0.153076935747
ACH-000516,-0.283842507611
ACH-000517,-0.238480490802
ACH-000518,-0.286505789021
ACH-000520,-0.197962478065
ACH-000521,-0.10665675815400001
ACH-000522,-0.24463426910500002
ACH-000524,-0.17281221554499998
ACH-000527,-0.083648459414
ACH-000528,-0.06179716461180001
ACH-000537,-0.144773732407
ACH-000541,-0.226477892608
ACH-000542,-0.18864013323399997
ACH-000544,-0.141944130845
ACH-000545,-0.169402307224
ACH-000547,-0.32840285125
ACH-000548,-0.054027673788599996
ACH-000549,-0.127524780923
ACH-000550,-0.0643205108314
ACH-000552,-0.14336396056700002
ACH-000556,-0.172243202913
ACH-000557,-0.041134985662300005
ACH-000570,-0.29684502004999996
ACH-000571,-0.0574546026331
ACH-000573,-0.175395788371
ACH-000576,-0.167816928367
ACH-000580,-0.0773110942194
ACH-000584,-0.21667828382399998
ACH-000585,-0.245445984148
ACH-000588,-0.0833303205318
ACH-000589,-0.157564935077
ACH-000591,-0.253064018149
ACH-000593,-0.165138355934
ACH-000600,-0.356482307437
ACH-000601,-0.149719120964
ACH-000604,-0.285696890097
ACH-000605,-0.153098603252
ACH-000606,-0.118123932234
ACH-000608,-0.229690580521
ACH-000614,-0.257060121288
ACH-000616,-0.11374138497000001
ACH-000618,-0.191338532793
ACH-000619,-0.32663642054
ACH-000620,0.00801137655878
ACH-000621,-0.184747450422
ACH-000622,-0.294220277195
ACH-000623,-0.265949673108
ACH-000624,-0.220642793981
ACH-000627,-0.051487831249400005
ACH-000630,-0.0672869978847
ACH-000632,-0.138102571558
ACH-000633,-0.118616343434
ACH-000637,-0.209231153405
ACH-000638,-0.32109345328600003
ACH-000646,0.051863748437299996
ACH-000647,-0.100090806299
ACH-000648,-0.106315371986
ACH-000649,-0.125864986864
ACH-000651,-0.223468712893
ACH-000652,-0.10713673409499999
ACH-000653,-0.06644773372980001
ACH-000657,-0.268735577941
ACH-000658,-0.115311420187
ACH-000661,0.055457968820500005
ACH-000662,-0.29703627908
ACH-000663,-0.11693798976500001
ACH-000665,-0.43831256993900003
ACH-000671,-0.219487692293
ACH-000673,-0.302367156839
ACH-000676,-0.039668518219699994
ACH-000677,-0.0959541093018
ACH-000681,-0.17831706747499998
ACH-000682,-0.130297432098
ACH-000683,-0.244218235178
ACH-000684,0.035890922255800005
ACH-000688,-0.29857804492199996
ACH-000693,-0.32626694967500003
ACH-000694,-0.161219740426
ACH-000695,-0.26647806436
ACH-000696,-0.21847336465300002
ACH-000697,-0.355235170045
ACH-000699,-0.223850834363
ACH-000701,-0.19217866741300002
ACH-000706,-0.09736657199660001
ACH-000711,-0.348465968289
ACH-000713,-0.37730800859999997
ACH-000714,-0.330587261228
ACH-000718,-0.0748517945333
ACH-000720,-0.31809335816100004
ACH-000721,-0.173113396719
ACH-000724,-0.0493278399304
ACH-000725,-0.198104058409
ACH-000732,-0.303194242344
ACH-000734,-0.19985572723499997
ACH-000735,-0.32212798215
ACH-000736,-0.22473447105799998
ACH-000738,-0.222840357436
ACH-000746,0.00248790721481
ACH-000747,-0.21313499292399998
ACH-000748,-0.180435012788
ACH-000753,-0.209648294831
ACH-000756,-0.177740985733
ACH-000757,-0.59586264555
ACH-000758,-0.23326484342300002
ACH-000760,-0.261880015711
ACH-000763,-0.162135273519
ACH-000764,0.0928781419113
ACH-000765,-0.229773638421
ACH-000766,-0.0962215943731
ACH-000767,0.0661247095442
ACH-000768,-0.22313044996800002
ACH-000769,-0.11612471955499999
ACH-000770,-0.287778555366
ACH-000771,-0.21736142835
ACH-000773,-0.29163615900199996
ACH-000776,0.0403319959419
ACH-000777,-0.21658745426999998
ACH-000778,-0.14394730373
ACH-000781,-0.31051665713300003
ACH-000782,-0.148356932685
ACH-000783,-0.188972153519
ACH-000784,-0.254232690799
ACH-000785,-0.15865070593699998
ACH-000787,-0.21033000787300002
ACH-000788,-0.15988929057499998
ACH-000791,-0.41970802532799995
ACH-000792,-0.263268088557
ACH-000794,-0.03685200879830001
ACH-000796,-0.160398382956
ACH-000799,-0.0597980237074
ACH-000800,0.00148346237475
ACH-000802,-0.159977860304
ACH-000804,-0.0214511477093
ACH-000805,0.041176054515
ACH-000809,-0.0845267832161
ACH-000810,0.0008186268438370001
ACH-000811,-0.07840639740239999
ACH-000817,-0.239099997978
ACH-000819,-0.411779861649
ACH-000820,0.107505584069
ACH-000821,-0.422126555049
ACH-000822,-0.0516403633675
ACH-000823,-0.299015318987
ACH-000824,-0.26912641599
ACH-000827,-0.23056953621800003
ACH-000829,-0.18253786921
ACH-000831,-0.269471854145
ACH-000832,-0.30416432075399996
ACH-000833,0.043278577259499997
ACH-000834,-0.164906747443
ACH-000835,-0.179862139083
ACH-000836,-0.296111668276
ACH-000837,-0.369195295145
ACH-000838,-0.165592190306
ACH-000839,-0.189940271927
ACH-000840,-0.104249744999
ACH-000841,-0.37199175540299995
ACH-000843,-0.374208420247
ACH-000846,-0.40492633239
ACH-000847,-0.138382788017
ACH-000848,-0.169222380314
ACH-000849,-0.212301211339
ACH-000851,-0.120804747057
ACH-000855,-0.18173173623799999
ACH-000856,-0.0749158765982
ACH-000858,-0.09314876442350001
ACH-000859,-0.176948082833
ACH-000861,-0.13821263357000002
ACH-000862,-0.162182807799
ACH-000865,-0.197675243414
ACH-000866,-0.218384306493
ACH-000867,-0.241412360805
ACH-000869,-0.244450632857
ACH-000872,-0.191895650528
ACH-000873,-0.0290350447596
ACH-000876,-0.12158620440199999
ACH-000878,-0.332033744853
ACH-000880,-0.0286148311846
ACH-000881,-0.160215176495
ACH-000882,-0.17183120409299998
ACH-000884,-0.13575096526900002
ACH-000885,-0.217486684927
ACH-000887,-0.0920944690492
ACH-000888,-0.090905651906
ACH-000889,-0.0669019954749
ACH-000890,-0.0023729280359099996
ACH-000896,-0.293660851251
ACH-000898,-0.157027770937
ACH-000900,-0.334395630245
ACH-000901,-0.213189757467
ACH-000905,-0.134384411874
ACH-000906,-0.171289627602
ACH-000907,-0.023220600322099997
ACH-000910,-0.22334708313999999
ACH-000911,-0.15529977824400001
ACH-000912,-0.12397076525699999
ACH-000913,-0.059225234352
ACH-000915,-0.23117828188
ACH-000916,-1.48853617856
ACH-000917,-0.30317412186000003
ACH-000921,-0.195842867443
ACH-000924,-0.09505634684460001
ACH-000926,0.0189355442392
ACH-000928,-0.17066391458
ACH-000929,-0.0849376598866
ACH-000932,-0.137307558584
ACH-000935,-0.0129337043937
ACH-000936,-0.391417293475
ACH-000937,-0.151257937834
ACH-000938,-0.220436215555
ACH-000939,-0.221522433752
ACH-000941,-0.233791159764
ACH-000943,-0.199901605252
ACH-000946,-0.306252805517
ACH-000947,-0.23372554123300002
ACH-000948,-0.230227072315
ACH-000950,-0.0947662461588
ACH-000953,-0.193717425297
ACH-000957,-0.228288658849
ACH-000958,-0.236569226179
ACH-000960,-0.178791425156
ACH-000963,-0.154452226086
ACH-000968,0.0462134045787
ACH-000969,-0.291401892412
ACH-000973,-0.148820535463
ACH-000974,-0.149347036514
ACH-000975,-0.281687943261
ACH-000976,-0.209939082144
ACH-000978,-0.186400094008
ACH-000980,-0.224785327352
ACH-000984,-0.051570003123399995
ACH-000986,-0.048008398081400006
ACH-000988,-0.253446786027
ACH-000993,-0.207876656307
ACH-000994,-0.005999502804949999
ACH-000996,0.018678710427500002
ACH-001001,-0.149576980779
ACH-001020,0.0229921647959
ACH-001028,-0.218414758484
ACH-001031,0.039498464773300004
ACH-001038,-0.0144275915912
ACH-001048,-0.381597838754
ACH-001050,-0.210862544338
ACH-001053,-0.119226440208
ACH-001054,0.020984917450299997
ACH-001061,-0.228175673818
ACH-001067,-0.21361143772799998
ACH-001075,-0.169332349734
ACH-001096,-0.284163471792
ACH-001128,-0.0567325229615
ACH-001134,-0.266635564993
ACH-001151,-0.357158248631
ACH-001163,-0.011666336143
ACH-001164,0.0525624778816
ACH-001173,-0.164997428309
ACH-001183,-0.157968075655
ACH-001184,-0.091210548461
ACH-001190,-0.17878846911600002
ACH-001192,0.029988756105400003
ACH-001193,-0.34827098828599995
ACH-001196,-0.292333351323
ACH-001197,-0.34591016886500003
ACH-001205,-0.203593570577
ACH-001211,-0.237569283206
ACH-001212,-0.226230902051
ACH-001228,-0.218537902777
ACH-001232,-0.31855750306999997
ACH-001239,-0.0552163106166
ACH-001274,-0.09903622018480002
ACH-001275,-0.038015940884199996
ACH-001277,-0.29798650496199997
ACH-001278,-0.33768506679
ACH-001280,-0.0703609614542
ACH-001283,-0.207945171853
ACH-001289,-0.102339082226
ACH-001295,-0.115860457868
ACH-001300,-0.205997233834
ACH-001301,-0.04421239576930001
ACH-001302,-0.525342561777
ACH-001303,-0.502893187296
ACH-001306,-0.0539228684319
ACH-001318,-0.147892458458
ACH-001322,-0.201895009648
