,FANCD2 (2177)
ACH-000004,-0.27806306528200003
ACH-000007,-0.20618224510400002
ACH-000009,-0.44761746110100004
ACH-000011,-0.195799554637
ACH-000012,-0.352338262399
ACH-000013,-0.253051159954
ACH-000014,-0.20312106929499998
ACH-000015,-0.0665990805449
ACH-000017,-0.16168811761399998
ACH-000018,-0.23405652375500002
ACH-000019,-0.178659561905
ACH-000021,-0.398671397168
ACH-000022,-0.185510752558
ACH-000025,-0.18097545456
ACH-000028,-0.329821695176
ACH-000030,-0.07635919443780001
ACH-000035,-0.361633039398
ACH-000036,-0.18684963572799998
ACH-000037,-0.17345605128
ACH-000039,-0.281235116502
ACH-000040,-0.217108430726
ACH-000041,-0.04489472367859999
ACH-000042,-0.22333415580200003
ACH-000045,-0.452865826546
ACH-000047,-0.21946278680999998
ACH-000052,-0.009579404978370001
ACH-000053,-0.052461519000699994
ACH-000054,-0.297636506617
ACH-000055,-0.313675642775
ACH-000060,-0.19121488685199997
ACH-000067,-0.395793633139
ACH-000070,-0.44146714549099997
ACH-000075,-0.23787130093699999
ACH-000078,-0.408154277107
ACH-000082,-0.23359742771400002
ACH-000085,-0.139478068707
ACH-000086,-0.0997844333063
ACH-000087,-0.38606642659699997
ACH-000092,-0.187266478526
ACH-000095,-0.479975853864
ACH-000097,-0.287652868809
ACH-000098,-0.11045365732000001
ACH-000099,-0.37013735556599997
ACH-000108,-0.207290987007
ACH-000113,-0.46533348048699996
ACH-000115,-0.098377066215
ACH-000116,-0.134935172839
ACH-000118,-0.574615282441
ACH-000120,-0.397914508147
ACH-000123,-0.178343331921
ACH-000127,-0.147280853417
ACH-000128,-0.230948891634
ACH-000132,-0.5672462091089999
ACH-000133,-0.457159180085
ACH-000137,0.153741922256
ACH-000138,-0.00327172611494
ACH-000142,-0.131728928227
ACH-000143,-0.384693182641
ACH-000146,-0.213021324397
ACH-000148,-0.167282940993
ACH-000150,-0.525187092534
ACH-000152,-0.38341479638899995
ACH-000153,-0.0592984393187
ACH-000159,-0.314101669159
ACH-000160,-0.0917786728761
ACH-000163,-0.27166687540999995
ACH-000167,-0.22562800930399998
ACH-000168,-0.34688828865800003
ACH-000169,-0.13113239923800002
ACH-000178,-0.161074587003
ACH-000182,0.022183052848400005
ACH-000183,-0.0073753822236800005
ACH-000188,-0.363634650074
ACH-000189,-0.6271715983389999
ACH-000190,-0.36117233644900004
ACH-000198,-0.489916618754
ACH-000204,-0.45520070136000007
ACH-000206,-0.34259424977799996
ACH-000207,-0.315955643821
ACH-000211,-0.36292753668899996
ACH-000215,-0.166068021645
ACH-000221,-0.102007044066
ACH-000222,-0.35456555718099997
ACH-000223,-0.23585511548500002
ACH-000226,-0.211734638604
ACH-000227,-0.202025041171
ACH-000228,-0.09398087189919999
ACH-000231,-0.15380211986
ACH-000232,-0.227187364733
ACH-000233,-0.392445896433
ACH-000234,-0.0349894266514
ACH-000235,-0.181884313599
ACH-000237,-0.41443890983900006
ACH-000238,-0.622464297964
ACH-000243,-0.22847754132
ACH-000244,-0.5289071941719999
ACH-000246,-0.26788731014600003
ACH-000248,-0.128892220679
ACH-000250,-0.18527001064800003
ACH-000251,-0.09733957190230001
ACH-000253,-0.128615199035
ACH-000255,-0.030570504736799998
ACH-000256,-0.19908404682300002
ACH-000257,-0.366091880938
ACH-000258,-0.256363087846
ACH-000259,-0.213786541981
ACH-000260,-0.143166976714
ACH-000261,-0.17252670217799998
ACH-000262,-0.5161374843150001
ACH-000263,-0.356251608074
ACH-000264,-0.334974167258
ACH-000265,-0.0620289923931
ACH-000266,-0.278755167955
ACH-000272,-0.375241048541
ACH-000273,-0.337819512998
ACH-000274,-0.193724563932
ACH-000277,-0.00440243238999
ACH-000278,-0.716485249648
ACH-000279,-0.25600796188700004
ACH-000280,-0.426360428092
ACH-000281,-0.09620691652519998
ACH-000288,-0.395866010609
ACH-000291,-0.187642650822
ACH-000293,-0.23440707212900003
ACH-000294,-0.374454629331
