,SGCE (8910)
ACH-000004,-0.27345665583
ACH-000007,-0.48900064491899997
ACH-000009,-0.42648805010799995
ACH-000011,-0.663949544852
ACH-000012,-0.395570460788
ACH-000013,-0.283107628924
ACH-000014,-0.56265563608
ACH-000015,-0.236335577329
ACH-000017,-0.541628723065
ACH-000018,-0.220050381407
ACH-000019,-0.584290917928
ACH-000021,-0.409213645787
ACH-000022,-0.333096084785
ACH-000025,-0.28981236005100003
ACH-000028,-0.405648958522
ACH-000030,-0.345234049013
ACH-000035,-0.259421141004
ACH-000036,-0.35069805320200004
ACH-000037,-0.5124152991350001
ACH-000039,-0.46364668426600003
ACH-000040,-0.633357470963
ACH-000041,-0.48126668194399996
ACH-000042,-0.516365969129
ACH-000045,-0.387289599953
ACH-000047,-0.469561696941
ACH-000052,-0.0391677790076
ACH-000053,-0.410492712208
ACH-000054,-0.598233419867
ACH-000055,-0.423580434944
ACH-000060,-0.460020499035
ACH-000067,-0.622871178105
ACH-000070,-0.367161693438
ACH-000075,-0.182017559272
ACH-000078,-0.27217843192499996
ACH-000082,-0.20315667590999997
ACH-000085,-0.154022291995
ACH-000086,-0.220252574916
ACH-000087,-0.46292925823299996
ACH-000092,-0.146351261856
ACH-000095,-0.391817212012
ACH-000097,-0.397474624027
ACH-000098,-0.257791632466
ACH-000099,-0.49129212166
ACH-000108,-0.46259138884499995
ACH-000113,-0.405246114934
ACH-000115,-0.5310141771069999
ACH-000116,-0.398972480438
ACH-000118,-0.414392572228
ACH-000120,-0.574739393195
ACH-000123,-0.529603325142
ACH-000127,-0.421599468278
ACH-000128,-0.6311433371199999
ACH-000132,-0.421899997291
ACH-000133,-0.6861916309649999
ACH-000137,-0.649982032259
ACH-000138,-0.32747873105
ACH-000142,-0.0139334982486
ACH-000143,-0.43384518341399997
ACH-000146,-0.341580642933
ACH-000148,-0.537324169103
ACH-000150,-0.501950390576
ACH-000152,-0.5272081059979999
ACH-000153,-0.337541227514
ACH-000159,-0.49280141619999995
ACH-000160,-0.29960803571600003
ACH-000163,-0.588348936418
ACH-000167,0.18112603260899998
ACH-000168,-0.35789894808300005
ACH-000169,-0.38182599574299997
ACH-000178,-0.30852735426
ACH-000182,-0.522304516685
ACH-000183,-0.281395550471
ACH-000188,-0.322781973543
ACH-000189,-0.270412152974
ACH-000190,-0.450531096047
ACH-000198,-0.38202470562299995
ACH-000204,-0.48769783879600004
ACH-000206,-0.469182397614
ACH-000207,-0.467673609561
ACH-000211,-0.35534287224
ACH-000215,-0.38587494842799996
ACH-000221,-0.597120460924
ACH-000222,-0.468018779037
ACH-000223,-0.496031564044
ACH-000226,-0.290043985106
ACH-000227,-0.44144435142399996
ACH-000228,-0.334066291144
ACH-000231,-0.484735007378
ACH-000232,-0.43544650213299996
ACH-000233,-0.415693666091
ACH-000234,-0.26252968402800003
ACH-000235,-0.462126132834
ACH-000237,-0.354051701826
ACH-000238,-0.32290051199299996
ACH-000243,-0.509989454276
ACH-000244,-0.616095701913
ACH-000246,-0.318327013118
ACH-000248,-0.290276871236
ACH-000250,-0.537914756433
ACH-000251,-0.309967198786
ACH-000253,-0.366255059396
ACH-000255,-0.572148496373
ACH-000256,-0.3616206025
ACH-000257,-0.518414886004
ACH-000258,-0.6478760073800001
ACH-000259,-0.508797769082
ACH-000260,-0.365980266625
ACH-000261,-0.568006542925
ACH-000262,-0.399643858988
ACH-000263,-0.367638007698
ACH-000264,-0.41248181522
ACH-000265,-0.439336347864
ACH-000266,-0.46377360242700005
ACH-000272,-0.43207879352899997
ACH-000273,-0.449913889125
ACH-000274,-0.37150477416199995
ACH-000277,-0.42962554974600003
ACH-000278,-0.60893651786
ACH-000279,-0.187166301612
ACH-000280,-0.35384862677199996
ACH-000281,-0.520885852163
ACH-000288,-0.402312222284
ACH-000291,-0.565845530665
ACH-000293,-0.637885285565
ACH-000294,-0.300284742086
ACH-000295,-0.48305751252400003
ACH-000296,-0.650856097068
ACH-000302,-0.298976475308
ACH-000304,-0.269987361433
ACH-000307,-0.48665617507
ACH-000308,-0.40783480070100003
ACH-000310,-0.46544316331600005
ACH-000311,-0.53276344474
ACH-000312,-0.40461527093500005
ACH-000315,-0.165373892673
ACH-000316,-0.452744208953
ACH-000317,-0.446082460854
ACH-000318,-0.607990747408
ACH-000319,-0.483806436307
ACH-000320,-0.71834012113
ACH-000322,-0.284093551418
ACH-000323,-0.35132153506999997
ACH-000324,-0.39524822501900003
ACH-000329,-0.2661261275
ACH-000330,-0.0939050725323
ACH-000331,-0.333250035372
ACH-000332,-0.39201036507700004
ACH-000334,-0.377310954246
ACH-000335,-0.508513840052
ACH-000336,-0.256168000129
ACH-000337,-0.533856852557
ACH-000339,-0.481791849026
ACH-000341,-0.147990534413
ACH-000348,-0.307866492494
ACH-000350,-0.282224130531
ACH-000352,-0.23812256806600002
ACH-000356,-0.608204082449
ACH-000361,-0.557631436119
ACH-000362,-0.46791063979599995
ACH-000363,-0.314868447875
ACH-000364,-0.681369142229
ACH-000365,-0.293950894136
ACH-000366,-0.193216980082
ACH-000368,-0.477191678554
ACH-000374,-0.646346037905
ACH-000375,-0.29764580167800003
ACH-000376,-0.44464875368199996
ACH-000381,-0.43667869720200003
ACH-000383,-0.397845257381
ACH-000387,-0.326146342642
ACH-000389,-0.33698092458800005
ACH-000390,-0.458294119093
ACH-000393,-0.403542712407
ACH-000395,-0.571300484426
ACH-000397,-0.131188241309
ACH-000401,-0.781613695097
ACH-000402,-0.238342912531
ACH-000403,-0.300753901149
ACH-000404,0.08708694475960001
ACH-000406,-0.291659444966
ACH-000407,-0.26743536552700004
ACH-000408,-0.433570438542
ACH-000410,-0.4677225294899999
ACH-000411,-0.5236227127449999
ACH-000414,-0.638293189232
ACH-000415,-0.5450386037030001
ACH-000416,-0.34438597657
ACH-000420,-0.685672553968
ACH-000421,-0.5403258807720001
ACH-000424,-0.348049840115
ACH-000425,-0.318804972907
ACH-000426,-0.14238159754899998
ACH-000427,-0.542047644071
ACH-000433,-0.322007508055
ACH-000436,-0.398549828189
ACH-000444,-0.5560079287080001
ACH-000445,-0.139609499419
ACH-000448,-0.524830627268
ACH-000450,-0.6068635044899999
ACH-000452,-0.45630963549500003
ACH-000454,-0.307145585956
ACH-000458,-0.29705541484000003
ACH-000459,0.09607774572999998
ACH-000460,-0.40110400574199995
ACH-000461,-0.280129870317
ACH-000463,-0.497513922129
ACH-000464,-0.334625641998
ACH-000466,-0.486481412627
ACH-000467,-0.36559820485600003
ACH-000468,-0.33575770869800003
ACH-000469,-0.461806629143
ACH-000470,-0.321334979308
ACH-000471,-0.427758731257
ACH-000472,-0.483379220513
ACH-000473,-0.626605218921
ACH-000475,-0.42455011489100003
ACH-000476,-0.32059980517700004
ACH-000477,-0.37793210392800003
ACH-000480,-0.569397432089
ACH-000481,-0.712219140738
ACH-000483,-0.46680196230800003
ACH-000484,0.200592970674
ACH-000485,-0.42364873808200004
ACH-000486,-0.44995936597099995
ACH-000487,-0.44057677574299997
ACH-000488,-0.543238483901
ACH-000490,-0.512492847075
ACH-000491,-0.600598105961
ACH-000495,-0.697643350287
ACH-000496,-0.411903085096
ACH-000499,-0.481890929555
ACH-000500,-0.9327501787870001
ACH-000502,-0.448386869459
ACH-000503,-0.059253683453099996
ACH-000505,-0.26190957630600004
ACH-000507,-0.292909113602
ACH-000510,-0.40459124683799996
ACH-000511,-0.421366377805
ACH-000512,-0.674768737236
ACH-000516,-0.24802693751899998
ACH-000517,-0.266763043344
ACH-000518,-0.5716188629410001
ACH-000520,-0.503529117062
ACH-000521,-0.39381140869099995
ACH-000522,-0.481594456721
ACH-000524,-0.317193655722
ACH-000527,-0.42344342414
ACH-000528,-0.32299870126200003
ACH-000537,-0.10542875654200001
ACH-000541,-0.464874361453
ACH-000542,-0.579186012597
ACH-000544,-0.33884017207500006
ACH-000545,-0.614717381678
ACH-000547,-0.7145212848620001
ACH-000548,-0.573078057674
ACH-000549,-0.524846095472
ACH-000550,-0.369666851774
ACH-000552,-0.415002392822
ACH-000556,-0.154544950851
ACH-000557,-0.34512390632600004
ACH-000570,-0.424950382042
ACH-000571,-0.519420835651
ACH-000573,-0.431735450044
ACH-000576,-0.18021903304499998
ACH-000580,-0.404146800094
ACH-000584,-0.297114702244
ACH-000585,-0.41324899442199997
ACH-000588,-0.294121303371
ACH-000589,-0.42943403065700003
ACH-000591,-0.324655143722
ACH-000593,-0.296871537129
ACH-000600,-0.44979191702699994
ACH-000601,-0.482394798012
ACH-000604,-0.629707635599
ACH-000605,-0.674539457075
ACH-000606,-0.449264615583
ACH-000608,-0.424928919599
ACH-000614,-0.512286138944
ACH-000616,-0.43789706411000007
ACH-000618,-0.324046368837
ACH-000619,-0.44745634435599996
ACH-000620,-0.382834790479
ACH-000621,-0.416488763835
ACH-000622,-0.741705998186
ACH-000623,-0.437169550865
ACH-000624,-0.422003867425
ACH-000627,-0.37944632813900003
ACH-000630,-0.415445632781
ACH-000632,-0.457646074125
ACH-000633,-0.44439571950900003
ACH-000637,-0.275300879597
ACH-000638,-0.369485221479
ACH-000646,-0.41311450024400004
ACH-000647,-0.332465639978
ACH-000648,-0.5833720457930001
ACH-000649,-0.346860116303
ACH-000651,-0.17754342462699998
ACH-000652,-0.38799452681100005
ACH-000653,-0.43261696029200003
ACH-000657,-0.416873081554
ACH-000658,-0.337602648575
ACH-000661,-0.455611232544
ACH-000662,-0.306065523292
