,TFG (10342)
ACH-000004,-0.298163238964
ACH-000007,-0.219927105749
ACH-000009,-0.226003725488
ACH-000011,0.0269480873726
ACH-000012,-0.17650253426600002
ACH-000013,0.061616423479399995
ACH-000014,-0.11390844761800001
ACH-000015,-0.121358157479
ACH-000017,-0.528788191651
ACH-000018,-0.260982711633
ACH-000019,-0.347262973933
ACH-000021,-0.187582754625
ACH-000022,-0.22152186364999998
ACH-000025,-0.0986913221988
ACH-000028,-0.212443534788
ACH-000030,-0.385347811757
ACH-000035,-0.0658789022024
ACH-000036,-0.231463172262
ACH-000037,-0.252929420583
ACH-000039,-0.21102493694200003
ACH-000040,-0.32190385202300004
ACH-000041,0.062000679936199996
ACH-000042,-0.15557856367
ACH-000045,-0.129049606655
ACH-000047,-0.28039703977499997
ACH-000052,-0.145890959131
ACH-000053,-0.107511824629
ACH-000054,-0.36151680645
ACH-000055,-0.180220502748
ACH-000060,0.041281078763599995
ACH-000067,-0.44973137665
ACH-000070,-0.5057186236
ACH-000075,-0.07220794126419999
ACH-000078,-0.07914339290030001
ACH-000082,0.125575653075
ACH-000085,-0.177122472438
ACH-000086,-0.166264208706
ACH-000087,-0.079599709713
ACH-000092,-0.280329368985
ACH-000095,-0.112979246676
ACH-000097,-0.39271651138999997
ACH-000098,0.18186439912500002
ACH-000099,0.016449287589
ACH-000108,-0.08783838449989999
ACH-000113,-0.441089385936
ACH-000115,-0.275741338339
ACH-000116,-0.14796696261199999
ACH-000118,-0.42432366409500005
ACH-000120,-0.0888384179619
ACH-000123,-0.19889260785
ACH-000127,-0.603011754923
ACH-000128,-0.137626612479
ACH-000132,-0.034835689512300004
ACH-000133,-0.22820021793499998
ACH-000137,-0.120936377683
ACH-000138,-0.201634436705
ACH-000142,-0.223495114061
ACH-000143,-0.230402529152
ACH-000146,-0.129150707832
ACH-000148,-0.165075223576
ACH-000150,-0.0674796327708
ACH-000152,-0.186166264765
ACH-000153,-0.326114084465
ACH-000159,-0.216750139695
ACH-000160,-0.25718508618
ACH-000163,-0.41005830882399996
ACH-000167,-0.465287154159
ACH-000168,-0.08718691429160001
ACH-000169,-0.187996570911
ACH-000178,-0.476637080129
ACH-000182,-0.42048760200699997
ACH-000183,-0.0859166995858
ACH-000188,-0.301847408744
ACH-000189,-0.07273925092860001
ACH-000190,0.038143390887
ACH-000198,-0.5374820007710001
ACH-000204,-0.178267833092
ACH-000206,-0.31805945284299997
ACH-000207,-0.673630359104
ACH-000211,-0.339195344653
ACH-000215,-0.234863798211
ACH-000221,-0.137727462523
ACH-000222,-0.127925429489
ACH-000223,-0.29924383109
ACH-000226,0.026449454752
ACH-000227,-0.039132314800699994
ACH-000228,-0.10916554620300001
ACH-000231,-0.19978339146
ACH-000232,-0.039639035490599994
ACH-000233,-0.20671381011599999
ACH-000234,-0.123413734276
ACH-000235,-0.323991300845
ACH-000237,-0.138634491948
ACH-000238,-0.162066204516
ACH-000243,0.0264691371455
ACH-000244,-0.145427553489
ACH-000246,0.0371732488681
ACH-000248,-0.102695070443
ACH-000250,-0.0409240243255
ACH-000251,-0.7118052364499999
ACH-000253,-0.471039119948
ACH-000255,-0.0029226911703899997
ACH-000256,-0.106458609036
ACH-000257,-0.254260277219
ACH-000258,-0.189813034076
ACH-000259,-0.0989778944083
ACH-000260,-0.194724337474
ACH-000261,-0.278474401974
ACH-000262,-0.288855640575
ACH-000263,-0.426771464241
ACH-000264,-0.21699586926999997
ACH-000265,-0.00232779901407
ACH-000266,-0.158975101765
ACH-000272,-0.057908191755800004
ACH-000273,0.0047278215950699995
ACH-000274,-0.149543275281
ACH-000277,-0.47024875949100003
ACH-000278,-0.0180791583737
ACH-000279,-0.26420272150199997
ACH-000280,-0.17717777523699998
ACH-000281,-0.274467052973
ACH-000288,-0.143243382324
ACH-000291,-0.140332692293
ACH-000293,-0.28774789654399996
ACH-000294,-0.240061155647
ACH-000295,-0.175556852067
ACH-000296,-0.36686362435599995
ACH-000302,-0.215256455176
ACH-000304,0.08844506193469999
ACH-000307,-0.255837453703
ACH-000308,-0.7381273191500001
ACH-000310,-0.18984962248799997
ACH-000311,-0.326403583049
ACH-000312,0.20440185273800002
ACH-000315,-0.151186386656
ACH-000316,-0.138577649847
ACH-000317,-0.174773753648
ACH-000318,-0.191440427338
ACH-000319,-0.105768869833
ACH-000320,-0.187391597811
ACH-000322,-0.240511491699
ACH-000323,-0.48575539886299995
ACH-000324,-0.18962143087799999
ACH-000329,-0.08499594706260001
ACH-000330,-0.223213851462
ACH-000331,-0.686016499032
ACH-000332,-0.352295288572
ACH-000334,-0.10607523121500001
ACH-000335,0.23951448352899998
