,LCE3A (353142)
ACH-000004,-0.31968739448100003
ACH-000007,-0.224527356023
ACH-000009,-0.324461516175
ACH-000011,-0.34174896290600004
ACH-000012,-0.43499888173
ACH-000013,-0.258073514276
ACH-000014,-0.310150064235
ACH-000015,-0.28009252963799997
ACH-000017,-0.21646054578499999
ACH-000018,-0.342810988141
ACH-000019,-0.313537393723
ACH-000021,-0.2426024709
ACH-000022,-0.27493184518
ACH-000025,-0.40729018276999995
ACH-000028,-0.271292131225
ACH-000030,-0.226047695473
ACH-000035,-0.250333572282
ACH-000036,-0.37563567034699996
ACH-000037,-0.622235102241
ACH-000039,-0.256911514917
ACH-000040,-0.478406216278
ACH-000041,-0.507773943192
ACH-000042,-0.241787392644
ACH-000045,-0.520479158213
ACH-000047,-0.26251636731899997
ACH-000052,-0.269843294706
ACH-000053,-0.162298491232
ACH-000054,-0.36108889139300004
ACH-000055,0.0980080232103
ACH-000060,-0.15124222396700002
ACH-000067,-0.294023798798
ACH-000070,-0.5646709983020001
ACH-000075,-0.7163083547
ACH-000078,-0.3299077412
ACH-000082,-0.287682367487
ACH-000085,-0.534060919101
ACH-000086,-0.406227318811
ACH-000087,-0.0782336523218
ACH-000092,-0.289558690596
ACH-000095,-0.35532784251599997
ACH-000097,-0.48335320617
ACH-000098,-0.282344412424
ACH-000099,-0.367245158508
ACH-000108,-0.138303689191
ACH-000113,-0.264010913226
ACH-000115,-0.44153210480599997
ACH-000116,-0.258109200636
ACH-000118,-0.265124490211
ACH-000120,-0.228389989154
ACH-000123,-0.281934615489
ACH-000127,-0.42123286894100004
ACH-000128,-0.46420341431100004
ACH-000132,-0.306238086995
ACH-000133,-0.455532562254
ACH-000137,-0.27216533784
ACH-000138,-0.185096673891
ACH-000142,-0.447662220708
ACH-000143,-0.22725235956700002
ACH-000146,-0.320077592188
ACH-000148,-0.473080999969
ACH-000150,-0.321039766231
ACH-000152,-0.154598129256
ACH-000153,-0.45676179024400004
ACH-000159,-0.33865380078400004
ACH-000160,-0.24341256355500002
ACH-000163,-0.318012623527
ACH-000167,0.0193379737728
ACH-000168,-0.18288031545800001
ACH-000169,-0.47203320281800004
ACH-000178,-0.214977007238
ACH-000182,-0.23539845745000001
ACH-000183,-0.148272109932
ACH-000188,-0.363205799939
ACH-000189,-0.10631009775
ACH-000190,-0.122239059693
ACH-000198,-0.273477203287
ACH-000204,-0.718557794403
ACH-000206,-0.399780279299
ACH-000207,0.07870806019110001
ACH-000211,-0.25680602974800004
ACH-000215,-0.456766377468
ACH-000221,-0.288686871218
ACH-000222,-0.259954905974
ACH-000223,-0.188096309408
ACH-000226,-0.183425695139
ACH-000227,-0.224535062122
ACH-000228,-0.43287153142499996
ACH-000231,-0.30833956966
ACH-000232,-0.45350821738700003
ACH-000233,-0.25519191792
ACH-000234,-0.22616076140299998
ACH-000235,-0.426198334141
ACH-000237,-0.47170703860299995
ACH-000238,0.042734106864200004
ACH-000243,-0.247078675946
ACH-000244,-0.467909403801
ACH-000246,-0.39235441992700004
ACH-000248,-0.24352338326499998
ACH-000250,-0.359392107289
ACH-000251,-0.304642473782
ACH-000253,-0.431765262218
ACH-000255,-0.32541246865400003
ACH-000256,-0.584199008232
ACH-000257,-0.360574831028
ACH-000258,-0.621389763171
ACH-000259,-0.327599428701
ACH-000260,-0.211979650667
ACH-000261,-0.367642329458
ACH-000262,-0.194841095638
ACH-000263,-0.321380126815
ACH-000264,-0.272707118674
ACH-000265,-0.160556304047
ACH-000266,-0.322595600183
ACH-000272,-0.297819032124
ACH-000273,-0.42486526050800005
ACH-000274,-0.34859259717200003
ACH-000277,-0.560010335972
ACH-000278,-0.347345672006
ACH-000279,-0.368281755428
ACH-000280,-0.358440458453
ACH-000281,-0.063671944839
ACH-000288,-0.36250269666699997
ACH-000291,-0.438023535731
ACH-000293,-0.389024338775
ACH-000294,-0.300442520354
ACH-000295,-0.339171578416
ACH-000296,-0.172678364864
ACH-000302,-0.178226493277
ACH-000304,-0.368232248332
ACH-000307,-0.203823585379
ACH-000308,-0.323038907925
ACH-000310,-0.638329129585
ACH-000311,-0.484456487452
ACH-000312,-0.227502054078
ACH-000315,0.23030556694600002
ACH-000316,-0.20066274139499998
ACH-000317,-0.274019370092
ACH-000318,-0.541495292533
ACH-000319,-0.261751077094
ACH-000320,-0.10060783559900001
ACH-000322,0.00946860152581
ACH-000323,-0.528514130509
ACH-000324,-0.371725597834
ACH-000329,-0.49491661461400005
ACH-000330,-0.180307529435
ACH-000331,-0.467126000417
ACH-000332,-0.484072257376
ACH-000334,-0.218440441288
ACH-000335,-0.491304303673
ACH-000336,-0.35721566255000003
ACH-000337,-0.643505220945
ACH-000339,-0.177569187925
ACH-000341,-0.542028941793
ACH-000348,-0.551577017273
