,ITPR3 (3710)
ACH-000004,-0.13881372074200002
ACH-000007,-0.09864210295749999
ACH-000009,-0.056978405324999995
ACH-000011,-0.148724232417
ACH-000012,-0.337875743549
ACH-000013,-0.166165020273
ACH-000014,-0.0187265345175
ACH-000015,-0.042108634188900006
ACH-000017,-0.257479550731
ACH-000018,-0.139451774893
ACH-000019,-0.132573404749
ACH-000021,-0.0963052554291
ACH-000022,-0.219824970167
ACH-000025,-0.12760083471
ACH-000028,-0.20651344276500003
ACH-000030,-0.11289081852600001
ACH-000035,-0.264352364585
ACH-000036,-0.268525339494
ACH-000037,-0.108532869603
ACH-000039,-0.256476040577
ACH-000040,-0.404046972497
ACH-000041,-0.054029559511599996
ACH-000042,-0.154148352159
ACH-000045,-0.277967912318
ACH-000047,-0.17939284530000002
ACH-000052,-0.521464575742
ACH-000053,-0.22382021466899998
ACH-000054,-0.0534493407235
ACH-000055,0.019993394485400003
ACH-000060,-0.128292503599
ACH-000067,-0.189551865208
ACH-000070,-0.158401631125
ACH-000075,-0.371920729732
ACH-000078,-0.23921844134599998
ACH-000082,-0.043391725393699995
ACH-000085,-0.296832877492
ACH-000086,-0.11837238985700001
ACH-000087,-0.37153193773000004
ACH-000092,-0.039011975463000004
ACH-000095,0.0104061013115
ACH-000097,-0.12141023758899999
ACH-000098,-0.136199155556
ACH-000099,-0.339547189928
ACH-000108,-0.121516101261
ACH-000113,-0.224397694923
ACH-000115,-0.6368601806040001
ACH-000116,-0.0245352245695
ACH-000118,-0.16443877752
ACH-000120,-0.382039707954
ACH-000123,-0.011556478089299998
ACH-000127,-0.172870837212
ACH-000128,-0.142203833216
ACH-000132,-0.206178439677
ACH-000133,-0.224097563881
ACH-000137,0.13949620333499999
ACH-000138,-0.192310717139
ACH-000142,-0.223711758334
ACH-000143,-0.147646104234
ACH-000146,-0.12417183236300001
ACH-000148,-0.036144980663900005
ACH-000150,-0.189641323309
ACH-000152,-0.36461672145499996
ACH-000153,-0.313231570743
ACH-000159,-0.23587831001499998
ACH-000160,-0.018585830833400003
ACH-000163,-0.224147037283
ACH-000167,-0.42249495309
ACH-000168,-0.19510799397
ACH-000169,-0.30617310782900004
ACH-000178,-0.192575239956
ACH-000182,-0.190659220724
ACH-000183,-0.345952063547
ACH-000188,-0.23341684182300002
ACH-000189,-0.24328380100400002
ACH-000190,-0.343358907659
ACH-000198,-0.17581788981600002
ACH-000204,-0.030785527070200002
ACH-000206,-0.291779896672
ACH-000207,-0.23835798414700002
ACH-000211,-0.0525474962499
ACH-000215,-0.20530685953299999
ACH-000221,-0.00153256510453
ACH-000222,0.09064416840430001
ACH-000223,-0.227755210452
ACH-000226,-0.0719987859487
ACH-000227,-0.10667991003900001
