,UTP15 (84135)
ACH-000004,-1.6975641620100002
ACH-000007,-1.56179260042
ACH-000009,-1.69415732241
ACH-000011,-1.68047397484
ACH-000012,-1.5372520154499998
ACH-000013,-1.6265475753299998
ACH-000014,-2.0605022620599995
ACH-000015,-1.75800531069
ACH-000017,-1.60919657319
ACH-000018,-1.4661226530200002
ACH-000019,-1.92879442941
ACH-000021,-1.7678611066900003
ACH-000022,-1.74691630363
ACH-000025,-1.52887664876
ACH-000028,-1.71622437076
ACH-000030,-1.5904182530000002
ACH-000035,-1.70173333042
ACH-000036,-1.65961205167
ACH-000037,-2.40798910361
ACH-000039,-1.5769033935799999
ACH-000040,-1.70020681426
ACH-000041,-1.82211744531
ACH-000042,-1.609207379
ACH-000045,-1.8631618994999999
ACH-000047,-1.41875672916
ACH-000052,-1.5231533113799998
ACH-000053,-1.59359302085
ACH-000054,-1.65004684485
ACH-000055,-1.68474774132
ACH-000060,-1.52239156975
ACH-000067,-1.66095083365
ACH-000070,-1.8434991761700001
ACH-000075,-1.5079295762
ACH-000078,-1.9362301988400001
ACH-000082,-1.7798746553799998
ACH-000085,-1.42417122772
ACH-000086,-1.40917565579
ACH-000087,-1.6931292876700001
ACH-000092,-1.6476897157100001
ACH-000095,-1.9022116321400002
ACH-000097,-1.7129549829100001
ACH-000098,-1.57312930398
ACH-000099,-1.85168371151
ACH-000108,-1.7813674426800001
ACH-000113,-1.76211894368
ACH-000115,-1.6675334379799998
ACH-000116,-1.7245877888699999
ACH-000118,-1.4065500964
ACH-000120,-1.65453250914
ACH-000123,-1.73220137697
ACH-000127,-1.8216027726900001
ACH-000128,-1.70595737266
ACH-000132,-1.6281370086200002
ACH-000133,-1.5594686713400001
ACH-000137,-1.9170182531400002
ACH-000138,-1.82452174418
ACH-000142,-1.70296635095
ACH-000143,-1.4877409017200003
ACH-000146,-1.7241041902400003
ACH-000148,-1.7421761297999998
ACH-000150,-1.6343710728100003
ACH-000152,-1.4173707724000002
ACH-000153,-1.4101432319799998
ACH-000159,-1.59637471343
ACH-000160,-2.2681974718
ACH-000163,-1.77243484249
ACH-000167,-2.01402393492
ACH-000168,-1.77188448757
ACH-000169,-1.54448698569
ACH-000178,-1.5080792313999998
ACH-000182,-1.77783236333
ACH-000183,-1.49471768659
ACH-000188,-1.60032097195
ACH-000189,-2.0625412830700003
ACH-000190,-1.4021769323299997
ACH-000198,-1.8848870495099999
ACH-000204,-1.6988025823100001
ACH-000206,-1.59763104919
ACH-000207,-1.460514972
ACH-000211,-1.48500910683
ACH-000215,-1.76743755333
ACH-000221,-1.66199358412
ACH-000222,-1.6822540647600002
ACH-000223,-1.54112428829
ACH-000226,-1.5119166514200002
ACH-000227,-1.9068053455
ACH-000228,-1.5556978291499999
ACH-000231,-1.6057430161000001
ACH-000232,-1.48868723805
ACH-000233,-1.43723704065
ACH-000234,-1.84427477629
ACH-000235,-1.8529667560699998
ACH-000237,-1.7307025295299998
ACH-000238,-2.28329458591
ACH-000243,-1.7616674695400003
ACH-000244,-1.7208981526700002
ACH-000246,-1.59939780252
ACH-000248,-1.6394448534000001
ACH-000250,-1.4982684558000001
ACH-000251,-1.7131030636500002
ACH-000253,-1.7171471814700001
ACH-000255,-1.40417845488
ACH-000256,-2.0425967473299997
ACH-000257,-1.78616689227
ACH-000258,-1.70323432944
ACH-000259,-1.62541547031
ACH-000260,-1.45641496217
ACH-000261,-1.62090914671
ACH-000262,-1.8987556752599999
ACH-000263,-2.00587678368
ACH-000264,-1.7215109682799998
ACH-000265,-1.49131456389
ACH-000266,-1.66146732589
ACH-000272,-1.8546983758700002
ACH-000273,-1.8125613826
ACH-000274,-1.96895589227
ACH-000277,-1.27208436945
