,POTEF (728378)
ACH-000004,0.310095224549
ACH-000007,0.283669903043
ACH-000009,0.05777430980000001
ACH-000011,-0.265100089721
ACH-000012,-0.111253861613
ACH-000013,0.0222677026419
ACH-000014,-0.0685530042737
ACH-000015,-0.0604606417387
ACH-000017,-0.0801526756316
ACH-000018,-0.0850603540479
ACH-000019,-0.20701492620499998
ACH-000021,0.258952085168
ACH-000022,-0.108548521371
ACH-000025,-0.293563992572
ACH-000028,-0.0692675146306
ACH-000030,-0.05294216880469999
ACH-000035,-0.123201000382
ACH-000036,-0.16689170541200002
ACH-000037,0.029588087835499998
ACH-000039,0.195265482531
ACH-000040,-0.415310870065
ACH-000041,-0.184149970576
ACH-000042,0.16937519381900001
ACH-000045,-0.150324583352
ACH-000047,-0.053321638894
ACH-000052,-0.111352816698
ACH-000053,-0.0476483208407
ACH-000054,-0.333948375431
ACH-000055,-0.094502298115
ACH-000060,-0.11183490937000001
ACH-000067,-0.32843968079
ACH-000070,-0.03528844755319999
ACH-000075,0.159619939883
ACH-000078,0.167608009257
ACH-000082,-0.23719595365899998
ACH-000085,-0.0358096750163
ACH-000086,-0.30217370504
ACH-000087,-0.197308110311
ACH-000092,-0.152295367578
ACH-000095,-0.372297171538
ACH-000097,-0.253285406442
ACH-000098,-0.361689921492
ACH-000099,-0.0715056989703
ACH-000108,0.064762265197
ACH-000113,-0.0572050391745
ACH-000115,-0.0068391355896499995
ACH-000116,-0.033066833349200006
ACH-000118,-0.029222952184599995
ACH-000120,-0.000855304697668
ACH-000123,-0.0602082756521
ACH-000127,-0.243355573384
ACH-000128,-0.496112181773
ACH-000132,0.206528827551
ACH-000133,0.00820362078129
ACH-000137,0.0142554689205
ACH-000138,0.30109225285999996
ACH-000142,-0.0318454290338
ACH-000143,0.0485009025924
ACH-000146,-0.057226000099900004
ACH-000148,-0.130458112135
ACH-000150,-0.0685961981236
ACH-000152,-0.277523866967
ACH-000153,-0.10692554025699999
ACH-000159,-0.10699848697
ACH-000160,0.125477499435
ACH-000163,-0.10303315501700001
ACH-000167,-0.0547792975884
ACH-000168,0.05741288100869999
ACH-000169,-0.18359229369000002
ACH-000178,-0.0046429929498
ACH-000182,-0.0339936806255
ACH-000183,-0.108817497256
ACH-000188,-0.20753978390900002
ACH-000189,-0.152297092858
ACH-000190,0.031679229646400006
ACH-000198,-0.00552335192315
ACH-000204,-0.19758620436299998
ACH-000206,-0.338359152945
ACH-000207,0.144058778994
ACH-000211,-0.11366570638800001
ACH-000215,-0.0833640289146
ACH-000221,-0.11137772358300001
ACH-000222,-0.011858508810100001
ACH-000223,-0.20601754210099998
ACH-000226,-0.15397643498400002
ACH-000227,-0.20564240073600001
ACH-000228,0.103135039542
ACH-000231,-0.273913450864
ACH-000232,-0.277391919053
ACH-000233,-0.146341816765
ACH-000234,-0.130059422275
ACH-000235,0.0927217141603
ACH-000237,-0.118155253071
ACH-000238,-0.121693534672
ACH-000243,-0.131645897505
ACH-000244,-0.0399529000792
ACH-000246,0.124965226012
ACH-000248,-0.208294644471
ACH-000250,-0.218350701472
ACH-000251,-0.43280558795
ACH-000253,-0.223696643254
ACH-000255,-0.15105002418299998
ACH-000256,0.184121617957
ACH-000257,0.013373911341
ACH-000258,-0.432785940252
ACH-000259,-0.09520629351479999
ACH-000260,0.06813432889809999
ACH-000261,-0.026854184722199997
ACH-000262,-0.33225157005899997
ACH-000263,-0.41756366110200005
ACH-000264,-0.0162881224523
ACH-000265,0.076118773022
ACH-000266,0.09400723596249999
ACH-000272,-0.0822639446792
ACH-000273,-0.148023491733
ACH-000274,-0.277265506994
