,MPV17 (4358)
ACH-000004,-0.031439822688799995
ACH-000007,-0.109296497886
ACH-000009,-0.15879712116800002
ACH-000011,-0.215160955255
ACH-000012,-0.15541852107999998
ACH-000013,0.0022232441354
ACH-000014,-0.412946018459
ACH-000015,-0.138678219381
ACH-000017,0.086442741273
ACH-000018,-0.39345729310000005
ACH-000019,-0.24965343273
ACH-000021,-0.0732892377204
ACH-000022,-0.301342039999
ACH-000025,-0.17191228093199998
ACH-000028,0.0315806363301
ACH-000030,-0.142108026709
ACH-000035,-0.336507810028
ACH-000036,-0.169738549969
ACH-000037,-0.157243047547
ACH-000039,-0.46233153468099997
ACH-000040,-0.343125006297
ACH-000041,-0.259610360807
ACH-000042,-0.07489336935039999
ACH-000045,-0.419676790203
ACH-000047,-0.17883253534600002
ACH-000052,-0.0103737047688
ACH-000053,-0.23711966535
ACH-000054,-0.162745318685
ACH-000055,-0.039062337280800004
ACH-000060,-0.0181969329596
ACH-000067,-0.14057415323300002
ACH-000070,-0.196466901035
ACH-000075,0.0414017825003
ACH-000078,-0.48123763988000007
ACH-000082,-0.076399127929
ACH-000085,-0.261282325263
ACH-000086,-0.11769995671700001
ACH-000087,-0.22665504920899998
ACH-000092,-0.163371045684
ACH-000095,-0.186835068885
ACH-000097,0.029711380885999998
ACH-000098,-0.129269404679
ACH-000099,-0.0506960444275
ACH-000108,-0.0459697598321
ACH-000113,-0.188398017241
ACH-000115,-0.379923431854
ACH-000116,-0.10473068193
ACH-000118,0.00658179263447
ACH-000120,-0.049218346567400005
ACH-000123,-0.442076694762
ACH-000127,-0.117902968534
ACH-000128,-0.09775910266039999
ACH-000132,-0.157030319757
ACH-000133,-0.255626913107
ACH-000137,-0.00373802977319
ACH-000138,-0.25845139039500004
ACH-000142,-0.16196526465299999
ACH-000143,-0.16917656332400002
ACH-000146,-0.296822285467
ACH-000148,-0.10429611938
ACH-000150,-0.199046565097
ACH-000152,-0.21762050479400002
ACH-000153,-0.118951155089
