,HAO2 (51179)
ACH-000004,-0.058959305113500005
ACH-000007,-0.26307970443000006
ACH-000009,-0.303925560059
ACH-000011,-0.227490387014
ACH-000012,-0.316078085953
ACH-000013,-0.350104059838
ACH-000014,-0.327565729181
ACH-000015,-0.26989963470899997
ACH-000017,-0.229495808488
ACH-000018,-0.17287550098
ACH-000019,-0.413090949067
ACH-000021,-0.250744843763
ACH-000022,-0.128341113356
ACH-000025,-0.47850241537199995
ACH-000028,-0.310853352337
ACH-000030,-0.47131995917900005
ACH-000035,-0.29459275627
ACH-000036,-0.203053256793
ACH-000037,-0.322034514554
ACH-000039,-0.438251491334
ACH-000040,-0.292592190861
ACH-000041,-0.283535588158
ACH-000042,-0.20441198488200002
ACH-000045,-0.210747446981
ACH-000047,-0.29115501029
ACH-000052,-0.49374851594499997
ACH-000053,-0.322967139213
ACH-000054,-0.34556505155199996
ACH-000055,-0.43413193231700004
ACH-000060,-0.13385125024800001
ACH-000067,-0.332802731569
ACH-000070,-0.49814296172300004
ACH-000075,-0.507867709305
ACH-000078,-0.28456127593
ACH-000082,-0.19525605316
ACH-000085,-0.27622921020999996
ACH-000086,-0.272737315994
ACH-000087,-0.113092729386
ACH-000092,-0.500383737245
ACH-000095,-0.317076904696
ACH-000097,-0.18694118583
ACH-000098,-0.310888330929
ACH-000099,-0.24631827675999998
ACH-000108,-0.262526543001
ACH-000113,-0.335183184501
ACH-000115,-0.120364392876
ACH-000116,-0.139458927041
ACH-000118,-0.314308846397
ACH-000120,-0.22168734226300002
ACH-000123,-0.42170663567100003
ACH-000127,-0.294369701239
ACH-000128,-0.195013987689
ACH-000132,-0.27540274085099997
ACH-000133,-0.308565269564
ACH-000137,-0.239694178345
ACH-000138,-0.236979666207
ACH-000142,-0.48904201378300005
ACH-000143,-0.27539705951
ACH-000146,-0.25410015471999997
ACH-000148,-0.261291099295
ACH-000150,-0.109516914981
ACH-000152,-0.567960247809
ACH-000153,-0.363203528742
ACH-000159,-0.486545935076
ACH-000160,-0.211034065019
ACH-000163,-0.235203297164
ACH-000167,-0.17552667866500002
ACH-000168,-0.102032684867
ACH-000169,-0.20865602030299998
ACH-000178,-0.268153863437
ACH-000182,-0.165949482319
ACH-000183,-0.16237827873
ACH-000188,-0.389278808781
ACH-000189,-0.22940065134100002
ACH-000190,-0.487663258572
ACH-000198,-0.319308006049
ACH-000204,-0.555616691112
ACH-000206,-0.519990026018
ACH-000207,-0.518910820087
ACH-000211,-0.28753113903599997
ACH-000215,-0.216265977236
ACH-000221,-0.495108459761
