,NDUFC2 (4718)
ACH-000004,-0.188764328017
ACH-000007,-0.505155574572
ACH-000009,-0.17234358109900003
ACH-000011,0.10401655671900001
ACH-000012,-0.39170205776199996
ACH-000013,-0.274886188862
ACH-000014,-0.324500317872
ACH-000015,-0.498311543417
ACH-000017,-0.258281035953
ACH-000018,-0.0917449510848
ACH-000019,-0.82338503427
ACH-000021,-0.437234825353
ACH-000022,-0.19633884229
ACH-000025,-0.49568141326000004
ACH-000028,-0.616394770524
ACH-000030,-0.40276875409400004
ACH-000035,-0.533914429108
ACH-000036,0.09692090764429999
ACH-000037,-0.517800747639
ACH-000039,-0.403081318663
ACH-000040,-0.0914368129085
ACH-000041,-0.30481708577100003
ACH-000042,-0.36859405130999995
ACH-000045,-0.76356846186
ACH-000047,-0.824891097904
ACH-000052,0.011533558558
ACH-000053,-0.483693295162
ACH-000054,-0.726541231139
ACH-000055,0.0684819087462
ACH-000060,-0.42448409738700005
ACH-000067,-0.125163116027
ACH-000070,-0.290139561422
ACH-000075,-0.31190375809099996
ACH-000078,-0.555426020956
ACH-000082,-0.348766162283
ACH-000085,-0.532842098853
ACH-000086,-0.5866842481669999
ACH-000087,-0.4331784021
ACH-000092,-0.354839472026
ACH-000095,-0.114092047985
ACH-000097,-0.41128320109800004
ACH-000098,-0.155242372571
ACH-000099,-0.698626362505
ACH-000108,-0.24724666403599999
ACH-000113,-0.775419008069
ACH-000115,0.0133879212809
ACH-000116,-0.639198640403
ACH-000118,-1.00744959675
ACH-000120,-0.598769904981
ACH-000123,-0.593059575854
ACH-000127,-0.712462790332
ACH-000128,-0.392087465135
ACH-000132,-0.411492335895
ACH-000133,-0.35679765763099996
ACH-000137,-0.311793567283
ACH-000138,-0.740141034065
ACH-000142,-0.20445212141600003
ACH-000143,-0.339628918699
ACH-000146,-0.38314958832400003
ACH-000148,-0.34282483750299997
ACH-000150,-0.334431576305
ACH-000152,-0.331188770255
ACH-000153,-0.650447579118
ACH-000159,-0.430805950223
ACH-000160,-0.792568505027
ACH-000163,-0.0131095732962
ACH-000167,-0.06937904940610001
ACH-000168,0.0286795708648
ACH-000169,-0.619451816341
ACH-000178,-0.250188371908
ACH-000182,-1.1123796401100001
