,CACNA1I (8911)
ACH-000004,0.0755299159725
ACH-000007,-0.137594230989
ACH-000009,-0.164086734643
ACH-000011,-0.182927005953
ACH-000012,-0.114107357521
ACH-000013,-0.082971810412
ACH-000014,0.157878572234
ACH-000015,-0.12331294869100001
ACH-000017,-0.143437429619
ACH-000018,-0.0773059740068
ACH-000019,-0.04020609579019999
ACH-000021,-0.152243259586
ACH-000022,-0.121206484518
ACH-000025,0.113659170442
ACH-000028,-0.120877298195
ACH-000030,-0.19080786451099999
ACH-000035,0.044330574095099995
ACH-000036,0.133080041065
ACH-000037,0.107706628951
ACH-000039,-0.0483941154373
ACH-000040,-0.00673985543925
ACH-000041,-0.11676687534399999
ACH-000042,-0.482019085317
ACH-000045,-0.0576238714799
ACH-000047,0.07898492624560001
ACH-000052,-0.146005732743
ACH-000053,-0.197946119331
ACH-000054,-0.174894550123
ACH-000055,-0.13889834446399998
ACH-000060,-0.16999511621399999
ACH-000067,-0.0980406478905
ACH-000070,0.0380291399291
ACH-000075,0.137269710596
ACH-000078,-0.11952409204600001
ACH-000082,0.0970661339775
ACH-000085,-0.154108826672
ACH-000086,0.082692324112
ACH-000087,0.09915388697910002
ACH-000092,-0.13106568732100002
ACH-000095,0.0112647985509
ACH-000097,-0.100552879624
ACH-000098,-0.11889852062799999
ACH-000099,-0.124547492964
ACH-000108,-0.407083263692
ACH-000113,-0.0387815246459
ACH-000115,-0.231295193869
ACH-000116,-0.130753919915
ACH-000118,-0.0900132037942
ACH-000120,-0.29708874457400003
ACH-000123,-0.137238970274
ACH-000127,-0.0536920615533
ACH-000128,-0.0122431862093
ACH-000132,0.00512804060633
ACH-000133,-0.119797400956
ACH-000137,0.0157685648282
ACH-000138,0.02995522336
ACH-000142,-0.04216677908480001
ACH-000143,0.11388081995999999
ACH-000146,-0.10479310807299999
ACH-000148,-0.12008820022399999
ACH-000150,0.016502163279600003
ACH-000152,0.0435623706255
ACH-000153,-0.10793935858100001
ACH-000159,-0.0537688693446
ACH-000160,-0.205597382109
ACH-000163,-0.0614165809125
ACH-000167,0.0340702814971
ACH-000168,-0.06482156852469999
ACH-000169,-0.038256819021600004
ACH-000178,-0.16852238206300002
ACH-000182,-0.125553207044
ACH-000183,-0.22330036165699998
ACH-000188,-0.05660423007399999
ACH-000189,0.11783438637299999
ACH-000190,-0.17354356552900002
ACH-000198,-0.023633707861599997
ACH-000204,-0.137863975978
ACH-000206,-0.342717382544
ACH-000207,0.241051424361
ACH-000211,0.0303253861326
ACH-000215,-0.021054089094500003
ACH-000221,-0.18506902883600002
ACH-000222,-0.204714767675
ACH-000223,-0.165429388943
ACH-000226,0.108437150503
ACH-000227,-0.02637815017
ACH-000228,0.017726604253200003
ACH-000231,-0.09904616288149999
ACH-000232,0.00948392248445
ACH-000233,-0.0450287357439
ACH-000234,-0.118390874561
ACH-000235,-0.0704289291206
ACH-000237,-0.260589586396
ACH-000238,-0.107451695724
ACH-000243,-0.257913426695
ACH-000244,-0.6242328330899999
ACH-000246,-0.0591109040484
ACH-000248,-0.0866727045948
ACH-000250,0.012788165818799999
ACH-000251,0.021774680534299998
ACH-000253,0.060648085221800006
ACH-000255,-0.15422998250800002
ACH-000256,-0.36430099461800003
ACH-000257,0.10429448216600001
ACH-000258,-0.0639635814591
ACH-000259,-0.061169057791300004
ACH-000260,-0.0972370013298
ACH-000261,-0.0431433291745
ACH-000262,-0.0230130930368
ACH-000263,-0.21077186806200002
ACH-000264,-0.0769528120395
ACH-000265,-0.237379876125
ACH-000266,-0.122216039387
ACH-000272,-0.07989457639019999
ACH-000273,0.0365290787023
ACH-000274,-0.144263695694
ACH-000277,-0.006193325281260001
ACH-000278,-0.20219188121800002
ACH-000279,-0.156150287524
ACH-000280,-0.0175415958024
ACH-000281,-0.166391553075
ACH-000288,0.09201938140310001
ACH-000291,-0.042628842028099995
ACH-000293,0.0349687291167
ACH-000294,0.0456875346454
ACH-000295,-0.09997131280030001
ACH-000296,-0.0779631096994
ACH-000302,-0.10124156968900001
ACH-000304,-0.288436275145
ACH-000307,0.023183779403800002
ACH-000308,-0.058796604010199996
ACH-000310,-0.334845219941
ACH-000311,-0.134871995124
ACH-000312,-0.0410694435582
ACH-000315,-0.233391515854
ACH-000316,-0.15174618347899999
ACH-000317,0.066362940829
ACH-000318,-0.113228349484
ACH-000319,-0.0023670626565900003
ACH-000320,-0.22464332389299999
ACH-000322,-0.0888607077011
ACH-000323,-0.10352738714700001
ACH-000324,-0.09585074863819999
ACH-000329,-0.0181937649788
ACH-000330,-0.0393511747099
ACH-000331,0.115317970579
ACH-000332,-0.106283852423
ACH-000334,-0.135593793809
ACH-000335,0.124835927044
ACH-000336,0.0819206283798
ACH-000337,-0.152741440748
ACH-000339,0.00997666549626
ACH-000341,-0.143418448444
ACH-000348,0.021265245330599997
ACH-000350,0.0038923997590799998
ACH-000352,-0.0943662131979
ACH-000356,-0.0812848176508
ACH-000361,0.16875645455
ACH-000362,-0.11440953341499999
ACH-000363,-0.25546823332199997
ACH-000364,-0.12832987387599998
ACH-000365,0.0354201949235
ACH-000366,-0.187212559245
