,LMAN2L (81562)
ACH-000004,0.00818607427264
ACH-000007,0.348864035722
ACH-000009,-0.07608341561769999
ACH-000011,0.151469850904
ACH-000012,0.053212081210400004
ACH-000013,-0.06783571335630001
ACH-000014,-0.259769889697
ACH-000015,0.0206331673286
ACH-000017,-0.0602155615065
ACH-000018,0.157611322148
ACH-000019,0.114570782571
ACH-000021,0.10420315519500001
ACH-000022,-0.064085163377
ACH-000025,0.0843328109293
ACH-000028,-0.0688486862573
ACH-000030,-0.033965837131900004
ACH-000035,-0.34040851904299996
ACH-000036,0.08551268936110001
ACH-000037,-0.05564048788869999
ACH-000039,0.0227855430962
ACH-000040,0.153459779884
ACH-000041,-0.042286802133800004
ACH-000042,-0.010366550625500001
ACH-000045,-0.0801378393097
ACH-000047,0.0674470492885
ACH-000052,-0.238440858618
ACH-000053,0.0191920476082
ACH-000054,0.0575741727979
ACH-000055,0.013258985510499999
ACH-000060,-0.09749020793960002
ACH-000067,0.135362688293
ACH-000070,-0.07575649750510001
ACH-000075,-0.113554198879
ACH-000078,-0.141841758083
ACH-000082,-0.151672506709
ACH-000085,0.0840957397951
ACH-000086,-0.08484205814109999
ACH-000087,-0.162013785237
ACH-000092,-0.238890137339
ACH-000095,0.008141139831229998
ACH-000097,-0.060217988724800005
ACH-000098,-0.244393901162
ACH-000099,-0.10324270614299999
ACH-000108,-0.09159163975680001
ACH-000113,0.0489626230982
ACH-000115,0.045968552625
ACH-000116,-0.017375884754999998
ACH-000118,-0.0505568294455
ACH-000120,0.090717672751
ACH-000123,-0.04737453003219999
ACH-000127,0.0265832989321
ACH-000128,-0.205018167371
ACH-000132,0.013106023518700001
ACH-000133,-0.258851045522
ACH-000137,-0.172209929734
ACH-000138,0.14266064788
ACH-000142,0.18639025910300003
ACH-000143,0.08518207930050001
ACH-000146,-0.0159265059832
ACH-000148,-0.0511498703905
ACH-000150,-0.0627840891581
ACH-000152,0.249234507898
ACH-000153,-0.277663791082
ACH-000159,0.0645527848006
ACH-000160,0.00207741648726
ACH-000163,0.209766339841
ACH-000167,0.0188658695069
ACH-000168,0.134964468748
