,RRAD (6236)
ACH-000004,-0.260437247144
ACH-000007,-0.254391301375
ACH-000009,-0.27906265310899997
ACH-000011,-0.302230003702
ACH-000012,-0.409507273098
ACH-000013,-0.362874333144
ACH-000014,-0.386472161063
ACH-000015,-0.139024330975
ACH-000017,-0.417486845242
ACH-000018,-0.34408462210199997
ACH-000019,0.327188837294
ACH-000021,-0.393774764521
ACH-000022,-0.261751211367
ACH-000025,-0.488171377481
ACH-000028,-0.20858020675299999
ACH-000030,-0.33889053445
ACH-000035,-0.11221940900699999
ACH-000036,-0.38032112732900003
ACH-000037,-0.474992365809
ACH-000039,-0.33999191564099995
ACH-000040,-0.312532392451
ACH-000041,-0.014822889168100001
ACH-000042,-0.11225024569
ACH-000045,-0.410612879261
ACH-000047,-0.312237571442
ACH-000052,-0.0872138888196
ACH-000053,-0.48856541788900004
ACH-000054,-0.153587857246
ACH-000055,-0.229350608439
ACH-000060,-0.43315719235100003
ACH-000067,-0.41463295887699997
ACH-000070,-0.35277625685
ACH-000075,-0.539229108476
ACH-000078,-0.194085193158
ACH-000082,-0.409978959821
ACH-000085,-0.371070120085
ACH-000086,-0.287734637544
ACH-000087,-0.559420422377
ACH-000092,-0.259856473444
ACH-000095,-0.328489109039
ACH-000097,-0.212285766829
ACH-000098,-0.324736350781
ACH-000099,-0.315667969477
ACH-000108,-0.360789670943
ACH-000113,-0.327003720511
ACH-000115,-0.235842521253
ACH-000116,-0.24764084885899998
ACH-000118,-0.26791619624400004
ACH-000120,-0.11348338699
ACH-000123,-0.170914090054
ACH-000127,-0.368941292585
ACH-000128,-0.05870059569469999
ACH-000132,-0.386014797417
ACH-000133,-0.30304424967099997
ACH-000137,-0.582650192229
ACH-000138,-0.096605919701
ACH-000142,-0.457246742769
ACH-000143,-0.48861515110299997
ACH-000146,-0.333171300503
ACH-000148,-0.471189023069
ACH-000150,-0.5549862857869999
ACH-000152,-0.527289824723
ACH-000153,0.24624123700800002
ACH-000159,-0.47374548692100005
