,MGARP (84709)
ACH-000004,0.0016250316011199998
ACH-000007,-0.253086842127
ACH-000009,-0.14279613647199998
ACH-000011,-0.10928136439099999
ACH-000012,-0.106343072665
ACH-000013,-0.140075012388
ACH-000014,-0.140620381934
ACH-000015,-0.166552641557
ACH-000017,0.0175785664582
ACH-000018,-0.058838873739400006
ACH-000019,-0.08622161171380001
ACH-000021,-0.113244224162
ACH-000022,-0.0868954686765
ACH-000025,-0.280790637303
ACH-000028,-0.102104486324
ACH-000030,-0.133074193229
ACH-000035,-0.115688509925
ACH-000036,0.10612526760399998
ACH-000037,-0.136816569456
ACH-000039,0.058665034633200004
ACH-000040,-0.155291013615
ACH-000041,-0.17863526177900002
ACH-000042,-0.304164768089
ACH-000045,-0.218912691948
ACH-000047,-0.024756056803599998
ACH-000052,-0.018224134383700002
ACH-000053,-0.232447169612
ACH-000054,-0.259239069131
ACH-000055,0.161614421187
ACH-000060,-0.261024541148
ACH-000067,-0.22604052294
ACH-000070,-0.25047156310199997
ACH-000075,0.0851336523593
ACH-000078,-0.34405934829400003
ACH-000082,-0.0187320113287
ACH-000085,-0.247487472837
ACH-000086,-0.0222867130747
ACH-000087,0.0262592387096
ACH-000092,-0.17098612564500001
ACH-000095,-0.403353682677
ACH-000097,-0.117612253332
ACH-000098,-0.194748247735
ACH-000099,-0.234573671666
ACH-000108,-0.33847804397200004
ACH-000113,-0.0952413388336
ACH-000115,-0.10542606090600001
ACH-000116,-0.111041230643
ACH-000118,0.029607055099400002
ACH-000120,-0.386035899305
ACH-000123,-0.140380582982
ACH-000127,-0.182361236884
ACH-000128,-0.22472029215
ACH-000132,-0.07435674823480001
ACH-000133,-0.0130398293053
ACH-000137,0.0295792086473
ACH-000138,-0.0115207936689
ACH-000142,-0.27777154611
ACH-000143,0.021831543871299996
ACH-000146,-0.131801277701
ACH-000148,-0.0572945228369
ACH-000150,-0.23312914247699998
ACH-000152,-0.127694434289
ACH-000153,-0.19330180458700003
ACH-000159,-0.178675592808
ACH-000160,-0.437917227205
ACH-000163,-0.033558318548599995
ACH-000167,-0.410138122608
ACH-000168,-0.18648284165399998
ACH-000169,-0.09657989575380001
ACH-000178,-0.184694350514
ACH-000182,-0.07322314625660001
ACH-000183,-0.160769731977
ACH-000188,0.0544921315176
ACH-000189,-0.08473520900709999
ACH-000190,-0.0355571305091
ACH-000198,-0.19035607923099998
ACH-000204,-0.0519702046838
ACH-000206,0.0584824501203
