,AMH (268)
ACH-000410,0.09852333034260001
ACH-000411,0.106150654673
ACH-000414,0.0163885990448
ACH-000415,0.011499209328
ACH-000416,-0.0413392491716
ACH-000420,-0.00271460919349
ACH-000421,-0.0368430490681
ACH-000424,-0.0965196553176
ACH-000425,0.00122215717954
ACH-000426,-0.0742377936216
ACH-000427,0.18708783084000002
ACH-000433,0.0786129404276
ACH-000436,0.0177825802857
ACH-000444,0.233363432516
ACH-000445,-0.225101032971
ACH-000448,0.135945637363
ACH-000450,-0.037962905078
ACH-000452,0.0326238914108
ACH-000454,0.030460758686099997
ACH-000458,0.0498668558229
ACH-000459,0.0685328526385
ACH-000460,0.025398070476599997
ACH-000461,-0.060169955429499995
ACH-000463,-0.0124505557836
ACH-000464,0.0931452903273
ACH-000466,-0.08125624966350001
ACH-000467,0.14514190922
ACH-000468,-0.017438624823900004
ACH-000469,0.0493532447468
ACH-000470,0.035508059895699995
ACH-000471,0.027054919427299998
ACH-000472,0.08208677032839999
ACH-000473,0.146246307786
ACH-000475,-0.0580006696409
ACH-000476,0.150472882403
ACH-000477,-0.029115000889999996
ACH-000480,0.143908824524
ACH-000481,0.11022738334000001
ACH-000483,-0.09303575150589999
ACH-000484,0.0181923712055
ACH-000485,0.08891145864849999
ACH-000486,0.0788861501035
ACH-000487,0.0451250112476
ACH-000488,0.000256382921059
ACH-000490,0.0052638069864700005
ACH-000491,-0.277981059402
ACH-000495,-0.05760474558130001
ACH-000496,0.020427083079900002
ACH-000499,-0.033519793146199996
ACH-000500,-0.19250825835000002
ACH-000502,-0.043124730089300005
ACH-000503,0.163982317442
ACH-000505,-0.119133636673
ACH-000507,0.0301181214652
ACH-000510,0.176385595079
ACH-000511,-0.0403553589012
ACH-000512,-0.04865295918930001
ACH-000516,-0.045437541368500006
ACH-000517,0.0627526295794
ACH-000518,0.0100408750672
ACH-000520,-0.183918407144
ACH-000521,0.139303237623
ACH-000522,0.13408187994100002
ACH-000524,-0.00396880362655
ACH-000527,0.0418359601385
ACH-000528,0.042774602990499996
