,MPC2 (25874)
ACH-000004,-0.177028502408
ACH-000007,-0.39296594798199996
ACH-000009,-0.302118944693
ACH-000011,-0.269857700157
ACH-000012,-0.0806469855002
ACH-000013,-0.15914103289200002
ACH-000014,-0.0609597483603
ACH-000015,-0.0539325996901
ACH-000017,0.0569951284269
ACH-000018,-0.018968766464
ACH-000019,-0.110964889792
ACH-000021,-0.243759659049
ACH-000022,-0.0324189026844
ACH-000025,-0.356492541945
ACH-000028,-0.758354366732
ACH-000030,-0.0961223005301
ACH-000035,-0.162919115683
ACH-000036,-0.102466094878
ACH-000037,-0.307586847996
ACH-000039,-0.591888416705
ACH-000040,-0.15943086977
ACH-000041,-0.021529750784800003
ACH-000042,0.12457050052999999
ACH-000045,-0.319327998061
ACH-000047,-0.413004633124
ACH-000052,-0.22679947987399998
ACH-000053,-0.309578213321
ACH-000054,-0.22818559357299997
ACH-000055,-0.049232599216400004
ACH-000060,-0.12696775999
ACH-000067,-0.303183304404
ACH-000070,-0.11453041957999999
ACH-000075,0.00973172570818
ACH-000078,-0.229537423609
ACH-000082,-0.308698661824
ACH-000085,-0.0400117115562
ACH-000086,-0.29011034112100004
ACH-000087,-0.18508869171700001
ACH-000092,-0.227279389443
ACH-000095,-0.283628662535
ACH-000097,-0.11393898029100001
ACH-000098,-0.204400721694
ACH-000099,0.146439673568
ACH-000108,-0.249123805864
ACH-000113,-0.457594075971
ACH-000115,0.027777531126099996
ACH-000116,-0.23270164938700003
ACH-000118,-0.169361438227
ACH-000120,-0.338047460629
ACH-000123,-0.264375197533
ACH-000127,-0.3811973553
ACH-000128,-0.161494754843
ACH-000132,-0.0608004143162
ACH-000133,-0.46111734443400004
ACH-000137,-0.16765947427
ACH-000138,-0.367281612718
ACH-000142,0.0579920032467
ACH-000143,-0.11608477155300001
ACH-000146,-0.375249861445
ACH-000148,-0.305692110839
ACH-000150,0.07867899248860001
ACH-000152,-0.191624024566
ACH-000153,-0.49655779250200005
ACH-000159,-0.231140440889
ACH-000160,0.026449001274999998
ACH-000163,-0.328953563134
ACH-000167,-0.34801065480300003
ACH-000168,-0.23216047491
ACH-000169,-0.0748038021875
ACH-000178,-0.17537689427099998
ACH-000182,-0.281406626798
ACH-000183,-0.435496433267
ACH-000188,-0.328249626724
ACH-000189,-0.274063348435
ACH-000190,-0.350208204285
ACH-000198,-0.288985726935
ACH-000204,-0.435996020476
ACH-000206,-0.0205868243546
ACH-000207,0.40790573796199997
ACH-000211,-0.279007357962
ACH-000215,-0.28393375998000003
ACH-000221,0.163830583959
ACH-000222,-0.31492668874699997
ACH-000223,-0.125308485243
ACH-000226,-0.252640183541
ACH-000227,-0.267343212472
ACH-000228,-0.134480387279
ACH-000231,-0.21936092309900002
ACH-000232,-0.254663841927
ACH-000233,-0.322527512108
ACH-000234,-0.225256994874
ACH-000235,-0.0983618869698
ACH-000237,-0.345652963574
ACH-000238,-0.139137279438
ACH-000243,-0.19369928625500002
ACH-000244,0.025065334147
ACH-000246,-0.299114242958
ACH-000248,0.00919967704228
ACH-000250,-0.18874865752
ACH-000251,-0.352147910325
ACH-000253,-0.272030506166
ACH-000255,-0.266756315759
ACH-000256,-0.242321193812
ACH-000257,-0.190421970135
ACH-000258,-0.82359948698
ACH-000259,-0.244010598413
ACH-000260,-0.164358669785
ACH-000261,-0.482657788424
ACH-000262,-0.281385143745
ACH-000263,-0.19248565883699997
ACH-000264,-0.554011244582
ACH-000265,-0.197569140596
ACH-000266,-0.14970415632
ACH-000272,-0.470513122506
ACH-000273,-0.44241128406
ACH-000274,-0.11377799452299998
ACH-000277,-0.36398786525399995
ACH-000278,-0.19807446552400002
ACH-000279,-0.321744443762
ACH-000280,0.15425185685599999
ACH-000281,-0.04442999566869999
ACH-000288,-0.20202692302
ACH-000291,-0.24801946886
ACH-000293,-0.20451313361200002
ACH-000294,-0.0056058532452700005
ACH-000295,-0.126729553708
ACH-000296,-0.053267085368
ACH-000302,0.49721281888
ACH-000304,-0.33946288601999997
ACH-000307,-0.134476028212
ACH-000308,-0.251679171242
ACH-000310,-0.527519650806
ACH-000311,-0.370815536097
ACH-000312,-0.251048846416
ACH-000315,-0.127479961822
ACH-000316,-0.0482782663681
ACH-000317,-0.35939192508400003
ACH-000318,-0.341065002874
ACH-000319,-0.24705479437300001
ACH-000320,-0.0444552300693
ACH-000322,0.044672702643
ACH-000323,-0.254688906917
ACH-000324,-0.128739787203
ACH-000329,-0.258206544892
ACH-000330,-0.18888093658500002
ACH-000331,-0.220807563718
ACH-000332,-0.269077930527
ACH-000334,-0.421223487222
ACH-000335,-0.40818033244900004
ACH-000336,-0.48188525030199997
ACH-000337,-0.07188316543960001
ACH-000339,-0.050350822152699995
ACH-000341,-0.428046386319
ACH-000348,-0.3223545424
ACH-000350,-0.055589158953800004
ACH-000352,-0.193165509677
ACH-000356,-0.53036269396
ACH-000361,-0.266394748971
ACH-000362,-0.184072850565
ACH-000363,-0.177267025898
ACH-000364,-0.0521838605822
ACH-000365,-0.224917798605
ACH-000366,-0.17848207229600002
ACH-000368,-0.233385614461
ACH-000374,-0.190943543952
ACH-000375,-0.030644560395
ACH-000376,-0.266514265901
ACH-000381,-0.376633572285
ACH-000383,-0.314488947852
ACH-000387,-0.255781243441
ACH-000389,-0.214549407667
ACH-000390,-0.236358424153
ACH-000393,-0.0535284066536
ACH-000395,-0.252568181704
ACH-000397,-0.195799374613
ACH-000401,-0.296262564755
