,TOPBP1 (11073)
ACH-000004,-0.696048613514
ACH-000007,-0.9384789717
ACH-000009,-1.0932888433
ACH-000011,-0.884407273442
ACH-000012,-0.8677366118080001
ACH-000013,-1.2769656886399998
ACH-000014,-1.05645658971
ACH-000015,-0.881877591629
ACH-000017,-0.8674162610200001
ACH-000018,-0.671366085431
ACH-000019,-1.40962589686
ACH-000021,-1.00441720804
ACH-000022,-0.8111580151450001
ACH-000025,-0.9720113249760001
ACH-000028,-1.07519869409
ACH-000030,-0.8239909785699999
ACH-000035,-0.87965383388
ACH-000036,-0.85706433655
ACH-000037,-0.6035564603760001
ACH-000039,-1.0367276218500001
ACH-000040,-0.783330351517
ACH-000041,-1.04401156354
ACH-000042,-0.756928409528
ACH-000045,-0.924891229165
ACH-000047,-1.2340792951100001
ACH-000052,-0.905309582099
ACH-000053,-0.946494093278
ACH-000054,-0.82158469316
ACH-000055,-1.0985564943500001
ACH-000060,-0.8443903697669999
ACH-000067,-1.15413518957
ACH-000070,-0.883117647042
ACH-000075,-1.2570630969
ACH-000078,-0.7500777403059999
ACH-000082,-0.44721681201200003
ACH-000085,-0.955178608651
ACH-000086,-1.02716511919
ACH-000087,-1.18942181993
ACH-000092,-0.5482671315659999
ACH-000095,-1.17100779331
ACH-000097,-1.17446299156
ACH-000098,-0.8789783903339999
ACH-000099,-1.06257271473
ACH-000108,-1.16835549371
ACH-000113,-1.15163389297
ACH-000115,-0.853295614775
ACH-000116,-1.21702802514
ACH-000118,-0.954967988263
ACH-000120,-0.981579621194
ACH-000123,-1.01608376919
ACH-000127,-0.8917206952969999
ACH-000128,-0.801878020415
ACH-000132,-0.913395090546
ACH-000133,-1.0453743188299998
ACH-000137,-0.885947069775
ACH-000138,-0.957447861041
ACH-000142,-0.496066100362
ACH-000143,-0.879824344259
ACH-000146,-0.8151358368610001
ACH-000148,-0.97161364411
ACH-000150,-0.782362905033
ACH-000152,-1.2265770650799999
ACH-000153,-1.03713806055
ACH-000159,-1.18025844096
ACH-000160,-1.22355630963
ACH-000163,-0.805697632325
ACH-000167,-1.18039861584
ACH-000168,-0.779574005829
ACH-000169,-0.829989534376
ACH-000178,-1.22143116687
ACH-000182,-0.803168439016
ACH-000183,-0.430417073787
ACH-000188,-0.97905427499
ACH-000189,-1.2364986010899999
ACH-000190,-0.997723546554
ACH-000198,-0.969520208958
