,UBL4B (164153)
ACH-000004,-0.044882979052400004
ACH-000007,-0.257799892215
ACH-000009,-0.27208625941799996
ACH-000011,-0.158978250913
ACH-000012,-0.309894018035
ACH-000013,-0.289171752724
ACH-000014,-0.407607307513
ACH-000015,-0.273143796555
ACH-000017,-0.197216052754
ACH-000018,0.0297690648027
ACH-000019,-0.31118578752500003
ACH-000021,-0.128519228951
ACH-000022,-0.143523607036
ACH-000025,-0.48773134063600004
ACH-000028,-0.42582225417099995
ACH-000030,-0.229559480684
ACH-000035,-0.38566773232
ACH-000036,-0.126188524222
ACH-000037,-0.42138837991800004
ACH-000039,-0.21724889365800001
ACH-000040,-0.266097408503
ACH-000041,-0.40645236151299996
ACH-000042,-0.143034855155
ACH-000045,-0.262888203067
ACH-000047,-0.275256522381
ACH-000052,-0.14886168083100002
ACH-000053,-0.17421193132399998
ACH-000054,-0.170859182938
ACH-000055,-0.0912859626807
ACH-000060,-0.339526806126
ACH-000067,-0.372265738302
ACH-000070,0.00631187450577
ACH-000075,0.0171470917146
ACH-000078,-0.47861728530599995
ACH-000082,-0.010871545798
ACH-000085,-0.0598603744922
ACH-000086,-0.24986083227699998
ACH-000087,-0.0657844374646
ACH-000092,-0.492257296527
ACH-000095,-0.119352496068
ACH-000097,-0.053981962296199996
ACH-000098,-0.222672928973
ACH-000099,-0.248255561998
ACH-000108,-0.25920828709800003
ACH-000113,-0.27245073296300004
ACH-000115,-0.0721339922087
ACH-000116,-0.12629319189000002
ACH-000118,-0.284049358334
ACH-000120,-0.08932851895819999
ACH-000123,-0.20981656351599998
ACH-000127,-0.17786954905299998
ACH-000128,-0.302121321803
ACH-000132,-0.342247539203
ACH-000133,-0.20966804296900002
ACH-000137,-0.367055321126
ACH-000138,-0.114916748986
ACH-000142,-0.331390476815
ACH-000143,-0.127356876132
ACH-000146,-0.165163680048
ACH-000148,-0.281317570669
ACH-000150,-0.242221100632
ACH-000152,-0.36471709497
ACH-000153,0.12055957507500001
ACH-000159,-0.269483087796
ACH-000160,0.0174684979189
ACH-000163,-0.0620732453022
ACH-000167,-0.0858297993912
ACH-000168,-0.388603121722
ACH-000169,-0.319709360585
ACH-000178,-0.171988127776
ACH-000182,-0.0573430128466
ACH-000183,-0.31757454161800003
ACH-000188,-0.348621553732
ACH-000189,-0.321105941071
ACH-000190,-0.164913265744
ACH-000198,-0.13171837016899998
ACH-000204,0.0645794217394
ACH-000206,-0.24998836755399997
ACH-000207,-0.53094154901
ACH-000211,-0.0938964438477
ACH-000215,-0.28665747187
ACH-000221,-0.431606469796
ACH-000222,-0.389709411917
ACH-000223,-0.06332439903630001
ACH-000226,-0.23526871985
ACH-000227,-0.211780092157
ACH-000228,-0.16909276848000002
ACH-000231,-0.253126020751
ACH-000232,-0.108129593564
ACH-000233,-0.0929181122029
ACH-000234,-0.231641243371
ACH-000235,-0.19979329629200002
ACH-000237,-0.294883760659
ACH-000238,-0.244427847907
ACH-000243,-0.216316940264
ACH-000244,-0.24786862040999996
ACH-000246,-0.346520131813
ACH-000248,-0.36634393932899995
ACH-000250,-0.19226370587000002
ACH-000251,-0.08760116407960002
ACH-000253,-0.12296282100400001
ACH-000255,-0.458351378815
ACH-000256,-0.0822877193624
ACH-000257,-0.0348388185847
ACH-000258,0.062399059611800006
ACH-000259,-0.205415671328
ACH-000260,-0.266993652782
ACH-000261,-0.299431222897
ACH-000262,-0.395585877406
ACH-000263,-0.20794492455299998
ACH-000264,-0.183470479584
ACH-000265,-0.287262449483
ACH-000266,-0.147341921864
ACH-000272,-0.49848795126
ACH-000273,-0.134593667266
ACH-000274,-0.250195750832
ACH-000277,-0.174099521989
ACH-000278,-0.31006280210299997
ACH-000279,-0.129212609354
ACH-000280,-0.197840015535
ACH-000281,0.0201681270933
ACH-000288,-0.189923398527
ACH-000291,-0.195575602414
ACH-000293,-0.24774628265999998
ACH-000294,-0.346002857165
ACH-000295,-0.494574354649
ACH-000296,-0.358345293515
ACH-000302,-0.358252439297
ACH-000304,-0.7134864511750001
ACH-000307,-0.115204636996
ACH-000308,-0.351715617777
ACH-000310,-0.7158806011929999
ACH-000311,-0.204236256064
ACH-000312,-0.30006530231199996
ACH-000315,-0.40661207288900003
ACH-000316,-0.241291453138
ACH-000317,-0.45212665411499997
ACH-000318,-0.137792911708
ACH-000319,-0.132277965627
