,ELK4 (2005)
ACH-000004,0.114385594963
ACH-000007,0.276121976531
ACH-000009,-0.121714328154
ACH-000011,0.45092323183300004
ACH-000012,0.201125203191
ACH-000013,0.129585028126
ACH-000014,0.044924268611599996
ACH-000015,0.19546206038800001
ACH-000017,0.119369418682
ACH-000018,0.533024667283
ACH-000019,0.21873346417599998
ACH-000021,0.0558973666532
ACH-000022,0.436943794421
ACH-000025,0.148306618062
ACH-000028,0.245649272171
ACH-000030,0.198283147625
ACH-000035,0.193554230353
ACH-000036,0.250935485421
ACH-000037,0.278857889123
ACH-000039,-0.0309385126071
ACH-000040,0.317691111223
ACH-000041,0.26948883387
ACH-000042,-0.0855108336447
ACH-000045,0.249189162366
ACH-000047,0.0250430809193
ACH-000052,0.0993107389954
ACH-000053,0.0574954466682
ACH-000054,0.0957487153597
ACH-000055,0.129443935888
ACH-000060,0.135597027674
ACH-000067,0.30219368327
ACH-000070,0.118766898669
ACH-000075,0.202312708251
ACH-000078,0.168435914773
ACH-000082,0.303479269778
ACH-000085,0.380739569851
ACH-000086,0.052625163052900006
ACH-000087,0.160581533756
ACH-000092,0.17324888799000002
ACH-000095,0.152748054463
ACH-000097,0.0644520220246
ACH-000098,0.219953477162
ACH-000099,0.180404679215
ACH-000108,0.058343900952900006
ACH-000113,0.12033807833900001
ACH-000115,0.33556674098800005
ACH-000116,0.155311424808
ACH-000118,0.142387080514
ACH-000120,0.142577205016
ACH-000123,0.308611948079
ACH-000127,0.183435123385
ACH-000128,0.201938356144
ACH-000132,-0.0068712035393
ACH-000133,0.10320770057600001
ACH-000137,0.16395166540699999
ACH-000138,0.0289262069863
ACH-000142,0.0575441618554
ACH-000143,0.262040758017
ACH-000146,0.17321446369600002
ACH-000148,0.140993118118
ACH-000150,0.191813591771
ACH-000152,0.1664131656
ACH-000153,0.13609645875999998
ACH-000159,0.229832764244
ACH-000160,-0.0152222971233
ACH-000163,0.137053272459
ACH-000167,0.13104678156
ACH-000168,0.378972866257
ACH-000169,0.34736218041699995
ACH-000178,0.142731644309
ACH-000182,0.251121206356
ACH-000183,0.20954930629700003
ACH-000188,0.192383251704
ACH-000189,0.329264747877
ACH-000190,0.0184753462784
ACH-000198,0.30887986230500003
ACH-000204,0.19273010777199998
ACH-000206,-0.39963687904600004
ACH-000207,0.19791475712200002
ACH-000211,0.349356101097
ACH-000215,0.155798454952
ACH-000221,0.196148936624
ACH-000222,0.114817228343
ACH-000223,0.213872073587
ACH-000226,0.0659033367418
ACH-000227,0.024855269962900002
ACH-000228,-0.058326662532199994
ACH-000231,0.196324917548
ACH-000232,0.40618485831600004
ACH-000233,0.0475952271174
ACH-000234,0.200440037951
ACH-000235,0.0271693359659
ACH-000237,0.203357149958
ACH-000238,0.31199389738899996
ACH-000243,0.137349037822
