,ACTN1 (87)
ACH-000004,-0.20299703808400002
ACH-000007,-0.233479463341
ACH-000009,-0.10283450696900001
ACH-000011,-0.155728683886
ACH-000012,-0.111025912713
ACH-000013,-0.14645425214000002
ACH-000014,-0.0906813897203
ACH-000015,-0.219099915691
ACH-000017,-0.19008366514800001
ACH-000018,-0.40899570098300003
ACH-000019,-0.234187737057
ACH-000021,0.028216702583699998
ACH-000022,-0.08011040901739999
ACH-000025,-0.18938207735399998
ACH-000028,-0.08256938846589999
ACH-000030,-0.13610152343100002
ACH-000035,-0.134429699702
ACH-000036,-0.159784481934
ACH-000037,-0.25530564702799996
ACH-000039,0.0224047334863
ACH-000040,-0.528061512451
ACH-000041,-0.22458569731999997
ACH-000042,-0.128678955609
ACH-000045,-0.0551185576705
ACH-000047,-0.250699977718
ACH-000052,-0.590516274324
ACH-000053,-0.0545876804475
ACH-000054,-0.336686829653
ACH-000055,0.123327793778
ACH-000060,-0.531684653659
ACH-000067,-0.29549797123300003
ACH-000070,-0.040109963077599994
ACH-000075,-0.37101016867799996
ACH-000078,-0.282891211219
ACH-000082,-0.33225663400899996
ACH-000085,-0.26441360539500003
ACH-000086,-0.207339002578
ACH-000087,-0.0808716481032
ACH-000092,-0.39752224362300004
ACH-000095,-0.280161465902
ACH-000097,-0.295451572142
ACH-000098,-0.33963908194200004
ACH-000099,-0.221809525732
ACH-000108,-0.102171660567
ACH-000113,-0.143287132455
ACH-000115,-0.123119746609
ACH-000116,-0.177284521455
ACH-000118,-0.0771399948411
ACH-000120,-0.23843009275199997
ACH-000123,-0.0992060544048
ACH-000127,-0.200793151599
ACH-000128,-0.288694821277
ACH-000132,0.09144015671360001
ACH-000133,-0.242021483887
ACH-000137,-0.32482300981400003
ACH-000138,-0.19853630741099998
ACH-000142,-0.226426365988
ACH-000143,-0.23731709872099999
ACH-000146,-0.256981343977
ACH-000148,-0.313278959239
ACH-000150,-0.152577619828
ACH-000152,-0.42888417521300004
ACH-000153,0.036613583039999995
ACH-000159,-0.205299683066
ACH-000160,-0.21587847591999995
ACH-000163,-0.459617208133
ACH-000167,-0.250559164108
ACH-000168,-0.322183505149
ACH-000169,-0.163948315055
ACH-000178,-0.17392984740200002
ACH-000182,-0.0399535362389
ACH-000183,-0.24738161170899997
ACH-000188,-0.230976192381
ACH-000189,-0.18615708046100002
ACH-000190,-0.29303615655799997
ACH-000198,-0.17489104637699998
ACH-000204,-0.540117756854
ACH-000206,-0.205621225997
ACH-000207,-0.222812071889
ACH-000211,-0.395419647282
ACH-000215,-0.224969245567
ACH-000221,-0.25739731905200003
ACH-000222,0.21346891361900003
ACH-000223,-0.33819466293899997
ACH-000226,-0.18608347197900002
ACH-000227,-0.428607649292
ACH-000228,-0.11893334687999998
ACH-000231,-0.319115633042
ACH-000232,-0.26106242820799996
ACH-000233,-0.103572849055
ACH-000234,-0.34050546799000003
ACH-000235,-0.208812954987
ACH-000237,-0.0516101223373
ACH-000238,-0.148929240252
ACH-000243,-0.0479241968308
ACH-000244,-0.391789654458
ACH-000246,-0.0721712617391
ACH-000248,-0.278099587701
ACH-000250,-0.26078821437
ACH-000251,-0.256486885221
ACH-000253,-0.24089978485999997
ACH-000255,-0.219025578084
ACH-000256,-0.241875508896
ACH-000257,-0.286019630207
ACH-000258,-0.145402846403
ACH-000259,-0.08661352018660001
ACH-000260,-0.0955291715155
ACH-000261,-0.262443402016
ACH-000262,0.0720858650915
ACH-000263,-0.284480338564
ACH-000264,-0.192696055347
ACH-000265,-0.15365098558
ACH-000266,-0.09590386266689999
ACH-000272,-0.111857134928
ACH-000273,-0.21076563742899998
ACH-000274,-0.191208938822
ACH-000277,-0.08330191384510001
ACH-000278,-0.191517161404
ACH-000279,-0.192279224074
ACH-000280,-0.21580660346299999
ACH-000281,-0.179666598026
ACH-000288,-0.27608083347600004
ACH-000291,-0.25333372211599997
ACH-000293,-0.21058180823199998
ACH-000294,-0.20446455790100002
ACH-000295,-0.38004020295
ACH-000296,-0.34792193309600006
ACH-000302,-0.223021383753
ACH-000304,-0.37901716710600003
ACH-000307,-0.325673794813
ACH-000308,-0.113886482643
ACH-000310,-0.0965184739511
ACH-000311,-0.25824184456099997
ACH-000312,0.00843787135983
ACH-000315,-0.0608356322129
ACH-000316,-0.262275396541
ACH-000317,-0.155914508629
ACH-000318,-0.22515508668900003
ACH-000319,-0.10634109166000001
ACH-000320,-0.314724649441
ACH-000322,-0.0965921453304
ACH-000323,-0.326705158783
ACH-000324,-0.279797791356
ACH-000329,-0.18704015459000004
ACH-000330,-0.247580750791
ACH-000331,-0.09254133381230001
ACH-000332,-0.12629046599899998
ACH-000334,-0.243947950637
ACH-000335,0.0675321150097
ACH-000336,-0.330531488642
ACH-000337,-0.166213970369
ACH-000339,-0.360710916871
ACH-000341,-0.326190851501
ACH-000348,-0.28438107813
ACH-000350,-0.23944123881299997
ACH-000352,-0.250827379708
ACH-000356,-0.15202907732100002
ACH-000361,-0.265899223731
ACH-000362,-0.1318545177
ACH-000363,-0.14174972440199998
ACH-000364,-0.282873681524
ACH-000365,-0.285804973029
ACH-000366,-0.15108785503799999
ACH-000368,-0.357666456514
ACH-000374,-0.0829088798517
ACH-000375,-0.661222448622
ACH-000376,-0.253530214312
ACH-000381,-0.138210197683
ACH-000383,-0.148793273555
ACH-000387,-0.183933440229
ACH-000389,-0.32759379782299997
ACH-000390,-0.282832088154
ACH-000393,-0.37857978942500004
ACH-000395,-0.27681817793200003
ACH-000397,-0.2945242152
ACH-000401,-0.487460945527
ACH-000402,0.18273757462600002
ACH-000403,-0.275548722851
