,SET (6418)
ACH-000004,-0.608089354657
ACH-000007,-0.462785759616
ACH-000009,-0.414453563394
ACH-000011,-0.513538029817
ACH-000012,-0.627546661632
ACH-000013,-0.430762672945
ACH-000014,-0.251908717724
ACH-000015,-0.31928040047
ACH-000017,-0.459506244181
ACH-000018,-0.152547425989
ACH-000019,-0.832173691991
ACH-000021,-0.443700960615
ACH-000022,-0.345605652549
ACH-000025,-0.515596111129
ACH-000028,-0.547862670894
ACH-000030,-0.385254900894
ACH-000035,-0.18785955333299997
ACH-000036,-0.570271870382
ACH-000037,-0.8675379950830001
ACH-000039,-0.649527262451
ACH-000040,-0.701778439518
ACH-000041,-0.41962889269299997
ACH-000042,-0.5466860864190001
ACH-000045,-0.319127113873
ACH-000047,-0.385355116781
ACH-000052,-0.595496191389
ACH-000053,-0.38166581703599994
ACH-000054,-0.50167495371
ACH-000055,-0.269450235995
ACH-000060,-0.597044599669
ACH-000067,-0.5083263675140001
ACH-000070,-0.548266527768
ACH-000075,-0.33759542695100003
ACH-000078,-0.566679157276
ACH-000082,-0.590484844655
ACH-000085,-0.16937847211399998
ACH-000086,-0.527609841659
ACH-000087,-0.5344445825949999
ACH-000092,-0.610971337614
ACH-000095,-0.58643981005
ACH-000097,-0.586139537597
ACH-000098,-0.511630582888
ACH-000099,-0.609386338819
ACH-000108,-0.506793442959
ACH-000113,-0.363846721862
ACH-000115,-1.02810244474
ACH-000116,-0.472887526955
ACH-000118,-0.416573554937
ACH-000120,-0.403690169205
ACH-000123,-0.467438217792
ACH-000127,-0.378936922361
ACH-000128,-0.395066462016
ACH-000132,-0.35527689502
ACH-000133,-0.40245529888099996
ACH-000137,-0.41158294649800004
ACH-000138,-0.495007090577
ACH-000142,-0.411957083784
ACH-000143,-0.262367300779
ACH-000146,-0.15258460163100002
ACH-000148,-0.564081143536
ACH-000150,-0.596300747384
ACH-000152,-0.377425219476
ACH-000153,-0.257647123711
ACH-000159,-0.628893566469
ACH-000160,0.0670398791322
ACH-000163,-0.675209040534
ACH-000167,0.471945907811
ACH-000168,-0.286889844483
ACH-000169,-0.307999075475
ACH-000178,-0.42886038084
ACH-000182,-0.482747408593
ACH-000183,-0.39296765562299996
ACH-000188,-0.741525780924
ACH-000189,-0.286545244431
ACH-000190,-0.388421639836
ACH-000198,-0.7492839620530001
ACH-000204,-0.45335455604099995
ACH-000206,-0.934600440109
ACH-000207,-0.0168795961503
ACH-000211,-0.535368421568
ACH-000215,-0.472196286459
ACH-000221,-0.268067067865
ACH-000222,-0.5887831432639999
ACH-000223,-0.31275876405499997
ACH-000226,-0.6059377704510001
