,SV2B (9899)
ACH-000004,0.23438373732599999
ACH-000007,0.184406852183
ACH-000009,-0.0746679918436
ACH-000011,0.214635384115
ACH-000012,0.136667059242
ACH-000013,0.016939910167200003
ACH-000014,0.18787673648800002
ACH-000015,0.269101468109
ACH-000017,0.337644044832
ACH-000018,0.0560285524524
ACH-000019,0.209965290855
ACH-000021,0.22007352361
ACH-000022,0.325062108275
ACH-000025,0.134757418535
ACH-000028,0.0791957933027
ACH-000030,0.19518095308
ACH-000035,0.0669859958821
ACH-000036,0.08229159661839999
ACH-000037,0.197904786352
ACH-000039,-0.11955272262599999
ACH-000040,0.320646926953
ACH-000041,0.0342425305562
ACH-000042,0.142068486649
ACH-000045,0.07769037200119999
ACH-000047,0.20782397839000002
ACH-000052,0.29964202139
ACH-000053,0.188046248798
ACH-000054,0.284596018442
ACH-000055,-0.09010430657330001
ACH-000060,0.142662218588
ACH-000067,-0.061790463486500004
ACH-000070,0.11914158345
ACH-000075,0.117772014255
ACH-000078,0.108307006986
ACH-000082,0.09554181195049999
ACH-000085,-0.0598045813357
ACH-000086,0.192971643462
ACH-000087,0.16408059626
ACH-000092,0.0263405462395
ACH-000095,0.16039271899399998
ACH-000097,0.173578360507
ACH-000098,0.247902877525
ACH-000099,0.0490600052161
ACH-000108,0.145165400674
ACH-000113,0.23559364641600003
ACH-000115,0.235157283656
ACH-000116,0.126632948652
ACH-000118,0.33074995440099997
ACH-000120,0.330067391256
ACH-000123,0.142701472381
ACH-000127,0.0765930053961
ACH-000128,0.13184732381300002
ACH-000132,0.148794179989
ACH-000133,0.155173173199
ACH-000137,0.134873571522
ACH-000138,0.141437120845
ACH-000142,0.11114338342499999
ACH-000143,0.35739579878300004
ACH-000146,0.066071693974
ACH-000148,0.235930567392
ACH-000150,0.0225287823468
ACH-000152,0.22807502562399998
ACH-000153,0.00429717548088
ACH-000159,0.184637850865
ACH-000160,0.183034170199
ACH-000163,0.0994546673204
ACH-000167,0.44289453524899997
ACH-000168,0.11455475609799999
ACH-000169,0.199560097007
ACH-000178,0.201769581032
ACH-000182,0.12177321351800001
ACH-000183,0.0192685252485
ACH-000188,0.026717151436299998
ACH-000189,0.022104434694
ACH-000190,0.16220692467199999
ACH-000198,0.0507892919534
ACH-000204,-0.012727328307299998
ACH-000206,0.20190727342700002
