,PHYKPL (85007)
ACH-000004,-0.27838763905499997
ACH-000007,-0.40024595522600004
ACH-000009,-0.196686386301
ACH-000011,-0.14290482398600002
ACH-000012,-0.190623468915
ACH-000013,-0.127025194458
ACH-000014,-0.142113197753
ACH-000015,-0.237333313396
ACH-000017,-0.179502209642
ACH-000018,-0.386438314429
ACH-000019,-0.39186255307400003
ACH-000021,-0.24608990213399998
ACH-000022,-0.24820284739100001
ACH-000025,-0.07400484685039999
ACH-000028,-0.314565753423
ACH-000030,-0.126655196303
ACH-000035,-0.186842803704
ACH-000036,-0.319505320365
ACH-000037,-0.239049385053
ACH-000039,-0.281200164486
ACH-000040,-0.292871356054
ACH-000041,-0.240924312062
ACH-000042,-0.238225957843
ACH-000045,-0.360699623036
ACH-000047,-0.11415281194
ACH-000052,-0.317514581024
ACH-000053,-0.23464303594500002
ACH-000054,-0.295422989945
ACH-000055,0.058915185135699995
ACH-000060,-0.26586263166499996
ACH-000067,-0.0703536892577
ACH-000070,-0.28250539547
ACH-000075,-0.35797417860799996
ACH-000078,-0.052408723733099995
ACH-000082,-0.09463061785299999
ACH-000085,-0.327726175735
ACH-000086,-0.205231100563
ACH-000087,-0.163043043256
ACH-000092,-0.208713467219
ACH-000095,-0.11893844996899999
ACH-000097,-0.17354100619399998
ACH-000098,-0.20428504762000002
ACH-000099,-0.165147457818
ACH-000108,-0.275492648675
ACH-000113,-0.260634728198
ACH-000115,-0.0607178624349
ACH-000116,-0.07226161363580001
ACH-000118,-0.13350363773399998
ACH-000120,-0.33661653166100003
ACH-000123,-0.110066369612
ACH-000127,-0.0644106492485
ACH-000128,-0.0634956921158
ACH-000132,-0.308209039041
ACH-000133,-0.193890539335
ACH-000137,-0.14935143108100002
ACH-000138,-0.27945958041900004
ACH-000142,-0.138322213753
ACH-000143,-0.020956290141499998
ACH-000146,-0.06585151686
ACH-000148,-0.29288293696199996
ACH-000150,-0.347907218099
ACH-000152,-0.349693707347
ACH-000153,-0.31253778897100004
ACH-000159,-0.27301951255
ACH-000160,-0.19375494002799998
ACH-000163,-0.0799414351823
ACH-000167,0.0368732759824
ACH-000168,-0.335365248414
ACH-000169,-0.220513701155
ACH-000178,-0.28795027868
ACH-000182,-0.18926285051600003
ACH-000183,-0.0717449153697
ACH-000188,-0.20998923904300001
ACH-000189,-0.290715075172
ACH-000190,-0.168260380579
ACH-000198,-0.145664732528
