,GABPB2 (126626)
ACH-000004,-0.232884519076
ACH-000007,-0.126463701017
ACH-000009,-0.520330209798
ACH-000011,-0.445856902662
ACH-000012,-0.444534223098
ACH-000013,-0.442065576537
ACH-000014,-0.206460981032
ACH-000015,-0.34754748022799997
ACH-000017,-0.243855188935
ACH-000018,-0.28165983189
ACH-000019,-0.142086866073
ACH-000021,-0.481828748419
ACH-000022,-0.21005651298300002
ACH-000025,-0.38029292219300004
ACH-000028,-0.574231405835
ACH-000030,-0.361008839824
ACH-000035,-0.443288693019
ACH-000036,-0.45538001956699997
ACH-000037,-0.35920010306100003
ACH-000039,-0.336770045173
ACH-000040,-0.45619403389799995
ACH-000041,-0.312595727416
ACH-000042,-0.229531910962
ACH-000045,-0.192816207144
ACH-000047,-0.398527526008
ACH-000052,-0.448569976695
ACH-000053,-0.608429849495
ACH-000054,-0.35671809036700003
ACH-000055,-0.322783124888
ACH-000060,-0.11485476010199999
ACH-000067,-0.28368364193000006
ACH-000070,-0.20285876799400002
ACH-000075,-0.800671947626
ACH-000078,-0.561226340037
ACH-000082,-0.429446589986
ACH-000085,-0.300160683802
ACH-000086,-0.54794924845
ACH-000087,-0.359851872676
ACH-000092,-0.370989238229
ACH-000095,-0.379022827163
ACH-000097,-0.40606812784400004
ACH-000098,-0.334375870783
ACH-000099,-0.370752056855
ACH-000108,-0.23666902495900002
ACH-000113,-0.43097955745300004
ACH-000115,-0.401377992008
ACH-000116,-0.495107205836
ACH-000118,-0.305814086561
ACH-000120,-0.344151831946
ACH-000123,-0.404794038482
ACH-000127,-0.235033862562
ACH-000128,-0.45349454263000005
ACH-000132,-0.36473632369000003
ACH-000133,-0.5770419393339999
ACH-000137,-0.37692084905
ACH-000138,-0.288887581585
ACH-000142,-0.549572777787
ACH-000143,-0.546435625104
ACH-000146,-0.34559187802599994
ACH-000148,-0.339900946995
ACH-000150,-0.32147531589899997
ACH-000152,-0.278233553703
ACH-000153,-0.427422471873
ACH-000159,-0.510916665549
ACH-000160,-0.46437530155900003
ACH-000163,-0.258940120692
ACH-000167,-0.22151935223400002
ACH-000168,-0.538231943768
ACH-000169,-0.47062161306500006
ACH-000178,-0.20241830824
ACH-000182,-0.2316340439
ACH-000183,-0.439267313494
ACH-000188,-0.602944324344
ACH-000189,-0.350246445589
ACH-000190,-0.0911917240591
ACH-000198,-0.362833957154
ACH-000204,-0.746624774049
ACH-000206,-0.35400448397900003
ACH-000207,-0.265381278589
ACH-000211,-0.46218472471999994
ACH-000215,-0.577985318878
ACH-000221,-0.160762428516
ACH-000222,-0.223576484474
ACH-000223,-0.385983608574
ACH-000226,-0.495636252389
ACH-000227,-0.272976277333
ACH-000228,-0.43727801452200005
ACH-000231,-0.387443345498
ACH-000232,-0.42669055555
ACH-000233,-0.356293184952
ACH-000234,-0.39001255686999997
ACH-000235,-0.322386090227
ACH-000237,-0.230503482216
ACH-000238,-0.34022056102
ACH-000243,-0.317409414916
ACH-000244,-0.13827570640200001
ACH-000246,-0.52636466987
ACH-000248,-0.292684111891
ACH-000250,-0.38347382254699997
ACH-000251,-0.35209324273500003
ACH-000253,-0.285674035286
ACH-000255,-0.500879859798
ACH-000256,-0.497277042628
ACH-000257,-0.155858225394
ACH-000258,-0.139654957232
ACH-000259,-0.223320758418
ACH-000260,-0.38832324802
ACH-000261,-0.27340403235
ACH-000262,-0.39064174946099994
ACH-000263,0.0009607467293239999
ACH-000264,-0.463083744154
ACH-000265,-0.26850081058499997
ACH-000266,-0.21023395028499997
ACH-000272,-0.39911611924400003
ACH-000273,-0.457999730813
ACH-000274,-0.233983086687
ACH-000277,-0.43439294996399996
ACH-000278,-0.577112428513
ACH-000279,-0.141153193073
ACH-000280,-0.390760471979
ACH-000281,-0.38710366938
ACH-000288,-0.497884302789
ACH-000291,-0.386195420138
ACH-000293,-0.42602643827500003
ACH-000294,-0.35820507111500005
ACH-000295,-0.274996273879
ACH-000296,-0.645319012525
ACH-000302,-0.416643622812
ACH-000304,-0.12657550966199999
ACH-000307,-0.337460379145
ACH-000308,-0.33583181934100004
ACH-000310,-0.282447201301
ACH-000311,-0.313990381812
ACH-000312,-0.27387663739999996
ACH-000315,-0.328393107185
ACH-000316,-0.35849960092
ACH-000317,-0.22987155783500002
ACH-000318,-0.312126709598
ACH-000319,-0.520864436895
ACH-000320,-0.10946633211699999
ACH-000322,-0.23775520524500002
ACH-000323,-0.375937906388
ACH-000324,-0.293848361009
ACH-000329,-0.0329790647859
ACH-000330,-0.473684656693
ACH-000331,-0.175684800326
ACH-000332,-0.428156997248
ACH-000334,-0.142514677758
ACH-000335,-0.225915577645
ACH-000336,-0.722650131524
ACH-000337,-0.283046999049
ACH-000339,-0.130976223695
ACH-000341,-0.38019156005500004
ACH-000348,-0.488930072867
ACH-000350,-0.454003316255
ACH-000352,-0.20912596973099998
ACH-000356,-0.46929099278
ACH-000361,-0.33421500311200003
ACH-000362,-0.382243038698
ACH-000363,-0.395781551123
ACH-000364,-0.43137235351400005
ACH-000365,-0.26482134108100003
ACH-000366,-0.183249099276
ACH-000368,-0.307281834845
