,TAF1A (9015)
ACH-000004,-0.197838266935
ACH-000007,-0.02573678248
ACH-000009,-0.380104245405
ACH-000011,-0.22070938041299998
ACH-000012,-0.585054770185
ACH-000013,-0.567186538358
ACH-000014,-0.516976354824
ACH-000015,-0.31397305905699996
ACH-000017,-0.393426216289
ACH-000018,-0.501728676559
ACH-000019,-0.593835680855
ACH-000021,-0.32554898496999995
ACH-000022,-0.388779352317
ACH-000025,-0.531066841717
ACH-000028,-0.6102050922119999
ACH-000030,-0.430569685034
ACH-000035,-0.612795575769
ACH-000036,-0.455565165705
ACH-000037,-0.7249992631000001
ACH-000039,-0.588597275876
ACH-000040,-0.402359562294
ACH-000041,-0.23693908559000001
ACH-000042,-0.489485498096
ACH-000045,-0.48609041722199997
ACH-000047,-0.564674745595
ACH-000052,-0.588832118925
ACH-000053,-0.554384102671
ACH-000054,-0.57192243795
ACH-000055,-0.35315543480800005
ACH-000060,-0.672947443095
ACH-000067,-0.569885248432
ACH-000070,-0.49352208480800003
ACH-000075,-0.959771393549
ACH-000078,-0.362989862653
ACH-000082,-0.7127772003309999
ACH-000085,-1.02813159361
ACH-000086,-0.626082836288
ACH-000087,-0.946102628937
ACH-000092,-0.474856531018
ACH-000095,-0.511335587065
ACH-000097,-0.122867061215
ACH-000098,-0.594274707507
ACH-000099,-0.375289427205
ACH-000108,-0.39894640034100004
ACH-000113,-0.37960560208300004
ACH-000115,-0.59600944321
ACH-000116,-0.475986551327
ACH-000118,-0.37207234439900005
ACH-000120,-0.46426607043300006
ACH-000123,-0.397199105017
ACH-000127,-0.17407826968899998
ACH-000128,-0.865230876335
ACH-000132,-0.5767876077449999
ACH-000133,-0.5080544987560001
ACH-000137,-0.684811154665
ACH-000138,-0.416468658548
ACH-000142,-0.468472732696
ACH-000143,-0.5849073874899999
ACH-000146,0.0035470440715700004
ACH-000148,-0.525113770814
ACH-000150,-0.621900015413
ACH-000152,-0.711629106266
ACH-000153,-0.510988496525
ACH-000159,-0.43090479314400004
ACH-000160,-0.101056446684
ACH-000163,-0.409520494578
ACH-000167,-0.052163475092400005
ACH-000168,-0.502264520004
