,ALYREF (10189)
ACH-000004,-0.8013472529960001
ACH-000007,-0.973419925922
ACH-000009,-0.715910943318
ACH-000011,-1.0111648145899998
ACH-000012,-0.449269075395
ACH-000013,-0.73015390905
ACH-000014,-0.418401685234
ACH-000015,-0.530350206202
ACH-000017,-0.38395810402900005
ACH-000018,-0.6953687879029999
ACH-000019,-1.03739401581
ACH-000021,-0.658024698661
ACH-000022,-0.902720165105
ACH-000025,-0.778590240514
ACH-000028,-0.760109553813
ACH-000030,-0.558986303712
ACH-000035,-0.512887148168
ACH-000036,-0.8020033382439999
ACH-000037,-0.639200803792
ACH-000039,-0.8711166561560001
ACH-000040,-0.872036836702
ACH-000041,-0.599794473546
ACH-000042,-0.513775000513
ACH-000045,-0.738865490349
ACH-000047,-0.490075007543
ACH-000052,-0.597666231617
ACH-000053,-0.649078063205
ACH-000054,-0.8530354219290001
ACH-000055,-0.977736240298
ACH-000060,-0.776517422633
ACH-000067,-0.576439244514
ACH-000070,-0.663721248149
ACH-000075,-0.6626785046779999
ACH-000078,-0.336983861615
ACH-000082,-0.919038468995
ACH-000085,-0.5618825339729999
ACH-000086,-0.770787987644
ACH-000087,-1.0354589545100001
ACH-000092,-0.889622160014
ACH-000095,-0.8359127161130001
ACH-000097,-0.666426801939
ACH-000098,-0.688421095389
ACH-000099,-0.589347623764
ACH-000108,-0.852494555238
ACH-000113,-0.933779483758
ACH-000115,-0.931763044484
ACH-000116,-0.644206103027
ACH-000118,-0.9107515147600002
ACH-000120,-0.516971748646
ACH-000123,-0.699089425581
ACH-000127,-0.874909387686
ACH-000128,-0.582767753657
ACH-000132,-0.589545029106
ACH-000133,-0.8788962226170001
ACH-000137,-0.5059892372479999
ACH-000138,-0.611614507957
ACH-000142,-0.722201577377
ACH-000143,-0.872525210369
ACH-000146,-0.781932815126
ACH-000148,-0.575108422289
ACH-000150,-0.44456355577699996
ACH-000152,-0.8856214368529999
ACH-000153,-0.456533690697
ACH-000159,-0.518316108652
ACH-000160,-0.24763443628000004
ACH-000163,-0.999361592658
ACH-000167,-0.451400732658
ACH-000168,-0.915408832862
ACH-000169,-0.845243817903
ACH-000178,-0.7316398216429999
ACH-000182,-0.276006561767
ACH-000183,-0.877641681477
ACH-000188,-0.8607280829680001
ACH-000189,-0.8650975577079999
ACH-000190,-0.525717808526
ACH-000198,-0.9431446809790001
ACH-000204,-0.910425136182
ACH-000206,-0.654659820729
ACH-000207,-0.9217021624200001
ACH-000211,-0.880000897075
ACH-000215,-0.674043779996
ACH-000221,-0.621027018292
ACH-000222,-0.562302309127
ACH-000223,-0.7151027664219999
ACH-000226,-0.62686962391
ACH-000227,-0.834863417307
ACH-000228,-0.7106279828200001
ACH-000231,-1.03662624114
ACH-000232,-0.696482791347
ACH-000233,-0.651870956866
ACH-000234,-0.682043381853
ACH-000235,-0.366921868807
ACH-000237,-0.676583794418
ACH-000238,-1.0141750409
ACH-000243,-0.773746540038
ACH-000244,-0.928434507717
ACH-000246,-0.476774880387
ACH-000248,-0.792892979619
ACH-000250,-0.679554725764
ACH-000251,-0.570946559136
ACH-000253,-0.524458557321
ACH-000255,-0.902495317775
ACH-000256,-0.743686878614
ACH-000257,-0.929667821072
ACH-000258,-0.682401631793
ACH-000259,-0.674752110646
ACH-000260,-0.576003603038
ACH-000261,-0.721953186051
ACH-000262,-0.826994857603
ACH-000263,-0.732010922419
ACH-000264,-1.15424370704
ACH-000265,-0.82422542387
ACH-000266,-0.5850443564419999
ACH-000272,-0.601949318673
ACH-000273,-0.628716755631
ACH-000274,-0.701047965782
ACH-000277,-0.7136984826549999
ACH-000278,-0.625709615599
ACH-000279,-0.61625088048
ACH-000280,-0.773651212897
ACH-000281,-0.815845519418
ACH-000288,-0.7139423685490001
ACH-000291,-0.904114328244
ACH-000293,-0.643587732365
ACH-000294,-0.665722264588
ACH-000295,-0.840143655473
ACH-000296,-0.911535407208
ACH-000302,-0.509815178682
ACH-000304,-0.960864076097
ACH-000307,-0.69832114354
ACH-000308,-0.6160980604240001
ACH-000310,-0.647054996766
ACH-000311,-0.400069794481
ACH-000312,-0.752538749154
ACH-000315,-0.8752889642380001
ACH-000316,-0.660804469288
ACH-000317,-0.5670465977629999
ACH-000318,-0.798761789938
ACH-000319,-0.592056926658
ACH-000320,-0.721098045542
ACH-000322,-0.7787462242919999
ACH-000323,-0.474936755094
ACH-000324,-0.5354052136199999
ACH-000329,-0.922681892353
ACH-000330,-0.594946260734
ACH-000331,-0.880095796566
ACH-000332,-0.621549705568
ACH-000334,-0.834474176636
ACH-000335,-1.00733658831
ACH-000336,-0.5951649291350001
ACH-000337,-1.1025208632999999
ACH-000339,-0.747376991134
ACH-000341,-0.163234819083
ACH-000348,-0.950782874369
ACH-000350,-0.724867732737
ACH-000352,-0.48726248972499997
ACH-000356,-1.03029093722
ACH-000361,-0.632373369045
ACH-000362,-0.844310740337
ACH-000363,-0.9262258755089999
ACH-000364,-0.44016913292
ACH-000365,-0.7607568155419999
ACH-000366,-0.506777423337
ACH-000368,-0.807039760121
ACH-000374,-0.854506584574
ACH-000375,-0.44085220908399997
ACH-000376,-0.60119953937
ACH-000381,-0.980927800318
ACH-000383,-0.57749218102
ACH-000387,-1.01285007482
ACH-000389,-0.952028102849
ACH-000390,-0.40537647831600004
ACH-000393,-0.711932305545
ACH-000395,-0.505895789653
ACH-000397,-0.786053212054
ACH-000401,-0.645498447746
ACH-000402,-0.964867948127
ACH-000403,-0.628738615693
ACH-000404,-0.674797130511
ACH-000406,-0.830194605821
ACH-000407,-0.714175784263
ACH-000408,-0.680097530539
ACH-000410,-0.457701917653
ACH-000411,-0.8219536059810001
ACH-000414,-0.443385272434
ACH-000415,-0.7708329811399999
ACH-000416,-0.585421480889
ACH-000420,-0.608140622793
ACH-000421,-0.606615791887
ACH-000424,-0.753473278051
ACH-000425,-0.643019484601
ACH-000426,-1.27486603328
ACH-000427,-0.630083004997
ACH-000433,-0.417210519441
ACH-000436,-0.958707918011
ACH-000444,-0.916118137316
ACH-000445,-1.13476825564
ACH-000448,-0.499814349586
ACH-000450,-0.969258556455
ACH-000452,-0.793473559075
ACH-000454,-0.44131189937700005
ACH-000458,-0.7155428814
ACH-000459,-0.760657520401
ACH-000460,-0.49716060408600005
ACH-000461,-0.5808938557509999
ACH-000463,-0.7307050194220001
ACH-000464,-0.793948754049
ACH-000466,-1.07765542395
