,TBC1D3F (84218)
ACH-000004,-0.14371052258300002
ACH-000007,-0.26601208338300003
ACH-000009,-0.21075912214499998
ACH-000011,-0.18963941516600002
ACH-000012,-0.364213934434
ACH-000013,-0.0908744032474
ACH-000014,-0.195259732858
ACH-000015,-0.11767194942600001
ACH-000017,-0.24361493458
ACH-000018,-0.7742790110369999
ACH-000019,-0.48436244846
ACH-000021,-0.11402245806299999
ACH-000022,-0.32174834813700004
ACH-000025,-0.187537460697
ACH-000028,-0.255979432685
ACH-000030,-0.288411942897
ACH-000035,-0.40052017186800004
ACH-000036,-0.423783840101
ACH-000037,-0.231320314355
ACH-000039,-0.308213333998
ACH-000040,-0.502613834203
ACH-000041,-0.114080189775
ACH-000042,-0.126602729115
ACH-000045,-0.227597844129
ACH-000047,-0.20267362208599998
ACH-000052,-0.34367907414800003
ACH-000053,-0.28823533191399997
ACH-000054,-0.520827270675
ACH-000055,-0.22917052932100002
ACH-000060,-0.0475620615649
ACH-000067,-0.431054111115
ACH-000070,-0.47410472612899995
ACH-000075,-0.214647075669
ACH-000078,0.0546141649928
ACH-000082,-0.543525335232
ACH-000085,-0.13082951972
ACH-000086,-0.235866457344
ACH-000087,-0.13678361275999998
ACH-000092,-0.125126135718
ACH-000095,-0.655775720816
ACH-000097,-0.385664545607
ACH-000098,-0.0384838801731
ACH-000099,-0.514568400569
ACH-000108,-0.247513713479
ACH-000113,-0.295875093444
ACH-000115,-0.8029113621799999
ACH-000116,-0.716693760621
ACH-000118,-0.4274328786
ACH-000120,-0.302006231939
ACH-000123,-0.23339487001899997
ACH-000127,-0.49755212203500004
ACH-000128,-0.0990857647785
ACH-000132,-0.024698434111500002
ACH-000133,-0.194345614785
ACH-000137,-0.039120319244300004
ACH-000138,-0.9509900429960001
ACH-000142,-0.561609072156
ACH-000143,-0.477746296747
ACH-000146,-0.31006936549499997
ACH-000148,-0.30093889711
ACH-000150,0.049526406514
ACH-000152,-0.5724074061469999
ACH-000153,-0.016003771614
ACH-000159,-0.398820186818
ACH-000160,-0.024060768785399998
ACH-000163,-0.263112699046
ACH-000167,-0.12397121626700001
ACH-000168,-0.163818542495
ACH-000169,-0.24367317232799998
ACH-000178,-0.46871014734099997
ACH-000182,-0.20344013561500002
ACH-000183,-0.42039854788500003
ACH-000188,-0.47550049462
ACH-000189,0.318664343789
ACH-000190,-0.0105753261147
ACH-000198,-0.18426680443500001
ACH-000204,-0.40884527056000003
ACH-000206,-0.18309731639199997
ACH-000207,-0.29251888246
ACH-000211,-0.605422301642
ACH-000215,-0.48135708353600004
ACH-000221,-0.19684204004500003
ACH-000222,-0.305923703276
ACH-000223,-0.0695216066775
ACH-000226,-0.179967645154
ACH-000227,-0.09278210386260001
ACH-000228,-0.282502152345
ACH-000231,-0.293197222483
ACH-000232,-0.0590692777755
ACH-000233,-0.296469184663
ACH-000234,-0.301099198164
ACH-000235,-0.44125225595299994
ACH-000237,-0.232299151013
ACH-000238,-0.144110800791
