,RRNAD1 (51093)
ACH-000004,0.0420730119906
ACH-000007,-0.219653589159
ACH-000009,-0.33565210478
ACH-000011,0.0951155304377
ACH-000012,-0.192135073661
ACH-000013,-0.08548192436650001
ACH-000014,-0.18956468542500002
ACH-000015,-0.029445010260400004
ACH-000017,-0.0469644500634
ACH-000018,0.0566641047908
ACH-000019,-0.264095240503
ACH-000021,-0.22327057829500002
ACH-000022,-0.0214424073052
ACH-000025,-0.152483335936
ACH-000028,-0.0489128522963
ACH-000030,-0.14951192439799998
ACH-000035,-0.070598900741
ACH-000036,-0.177786196734
ACH-000037,-0.243189872095
ACH-000039,-0.394756325408
ACH-000040,0.0552938564798
ACH-000041,0.0252882937073
ACH-000042,-0.149741787933
ACH-000045,-0.11186668866800001
ACH-000047,-0.0722002354342
ACH-000052,-0.197477879588
ACH-000053,-0.233790917436
ACH-000054,-0.0404685547884
ACH-000055,-0.324302071769
ACH-000060,0.0773107065142
ACH-000067,-0.125495835514
ACH-000070,-0.213013490592
ACH-000075,-0.11472819386
ACH-000078,-0.221793636425
ACH-000082,-0.14146199851900002
ACH-000085,-0.3076385928
ACH-000086,-0.27331285736600003
ACH-000087,-0.10568428118499999
ACH-000092,-0.16821517675500003
ACH-000095,-0.026970000806900003
ACH-000097,-0.170895854684
ACH-000098,-0.0735085920176
ACH-000099,-0.195069516409
ACH-000108,-0.19691451369100002
ACH-000113,0.0437139698327
ACH-000115,-0.25456474362799997
ACH-000116,-0.12198482407700001
ACH-000118,-0.0838438856648
ACH-000120,-0.385361891969
ACH-000123,-0.149438488855
ACH-000127,-0.180735650254
ACH-000128,-0.0448878436962
ACH-000132,-0.164231403381
ACH-000133,-0.0887105736497
ACH-000137,-0.148428272829
ACH-000138,-0.11275378467800001
ACH-000142,-0.0470720621009
ACH-000143,-0.0392472819072
ACH-000146,-0.188401395766
ACH-000148,-0.21481431061700001
ACH-000150,-0.0553405427661
ACH-000152,0.0699649632618
ACH-000153,-0.403627349167
ACH-000159,-0.017120389660200002
ACH-000160,0.0331236626501
ACH-000163,-0.24717732331
ACH-000167,0.00711658039243
ACH-000168,0.0720018909311
ACH-000169,-0.238106853192
ACH-000178,-0.0111198250685
ACH-000182,-0.0549220605623
ACH-000183,-0.11856584072999998
ACH-000188,0.04831721843640001
ACH-000189,-0.205667895949
ACH-000190,-0.0557699626726
ACH-000198,-0.126910030408
ACH-000204,-0.574738515083
ACH-000206,-0.183672358488
ACH-000207,0.0761072153259
ACH-000211,-0.0947257258131
ACH-000215,-0.0049903073830200005
ACH-000221,-0.18349191782699997
ACH-000222,-0.372688296654
ACH-000223,-0.254461177717
ACH-000226,-0.095478739888
ACH-000227,-0.120284102729
ACH-000228,-0.263786617901
ACH-000231,-0.10950059056299999
ACH-000232,-0.159455917311
ACH-000233,-0.16215639173000002
ACH-000234,-0.257160653972
ACH-000235,-0.341538700387
ACH-000237,-0.153471916009
ACH-000238,-0.024255661817900002
ACH-000243,-0.277101062678
ACH-000244,-0.0711317859129
ACH-000246,-0.19556759355099998
ACH-000248,-0.257198379585
ACH-000250,-0.10136936778200001
ACH-000251,-0.0385720130163
ACH-000253,-0.106247888366
ACH-000255,-0.105551463687
ACH-000256,-0.0955311550368
ACH-000257,-0.08026131899450001
ACH-000258,-0.172100503748
ACH-000259,-0.266290132621
ACH-000260,-0.21361720327199998
ACH-000261,-0.148555133464
ACH-000262,-0.138541424291
ACH-000263,-0.0037392223788200005
ACH-000264,-0.35341482862400003
ACH-000265,-0.14735287652
ACH-000266,-0.231517299943
ACH-000272,-0.164186258527
ACH-000273,-0.152804426778
ACH-000274,0.00676916120553
ACH-000277,0.131391838369
ACH-000278,-0.051032777928
ACH-000279,0.04927636038219999
ACH-000280,-0.156914259555
ACH-000281,-0.230153445517
ACH-000288,-0.18262234361699997
ACH-000291,-0.0390862038705
ACH-000293,-0.027384518269700002
ACH-000294,0.0418459764306
ACH-000295,0.235972687031
ACH-000296,-0.0797847072814
ACH-000302,-0.033555094242599996
ACH-000304,-0.100700037053
ACH-000307,-0.132609720769
ACH-000308,-0.250476948984
ACH-000310,-0.416276268813
ACH-000311,-0.33200059671
ACH-000312,-0.187479608347
ACH-000315,-0.0619489233618
ACH-000316,-0.0379675826997
ACH-000317,-0.15056780913599999
ACH-000318,-0.329614485251
ACH-000319,-0.0772480362965
ACH-000320,-0.353190990228
ACH-000322,-0.311444961649
ACH-000323,-0.19345861403700002
ACH-000324,-0.10514563924499999
ACH-000329,-0.0695077968826
ACH-000330,-0.028991168822499996
ACH-000331,-0.115165022739
ACH-000332,-0.271521672129
ACH-000334,-0.054805925705
ACH-000335,-0.09145813715050001
ACH-000336,-0.0947376464216
ACH-000337,-0.275178547901
ACH-000339,-0.15099582329800001
ACH-000341,-0.28342862827
ACH-000348,-0.105036339959
ACH-000350,-0.18945853555599998
ACH-000352,-0.133108799339
ACH-000356,-0.100412113992
ACH-000361,0.007382371273489999
ACH-000362,-0.119806967035
ACH-000363,-0.12569164590600002
ACH-000364,-0.204620107879
ACH-000365,-0.0633906407565
ACH-000366,-0.204276331051
ACH-000368,-0.120846016167
ACH-000374,-0.06544090467489999
ACH-000375,0.0312470353091
ACH-000376,-0.190087488352
ACH-000381,-0.327658522813
ACH-000383,-0.142502161521
ACH-000387,-0.08724976566130001
ACH-000389,-0.0622272325744
ACH-000390,-0.113734213204
ACH-000393,-0.0502370138716
ACH-000395,-0.18546695366000002
ACH-000397,-0.052579741735
ACH-000401,-0.259014366012
ACH-000402,-0.10336460887599999
ACH-000403,-0.0856304609553
ACH-000404,-0.125838231
ACH-000406,-0.145254652053
ACH-000407,0.07065716479060001
ACH-000408,-0.098730401912
ACH-000410,-0.132405363518
ACH-000411,-0.06557060837539999
ACH-000414,-0.241326440011
ACH-000415,-0.0886721934723
ACH-000416,-0.162025160267
ACH-000420,-0.19625408758699997
ACH-000421,-0.181241321239
ACH-000424,-0.31141969735999997
ACH-000425,-0.232347127406
ACH-000426,0.15063205085200002
ACH-000427,-0.000115443477611
ACH-000433,-0.212979521079
ACH-000436,-0.322031642568
