,TONSL (4796)
ACH-000004,-1.2103215736
ACH-000007,-1.1977998341399998
ACH-000009,-1.3371409697
ACH-000011,-1.47410854187
ACH-000012,-1.58475218056
ACH-000013,-1.4034734222100003
ACH-000014,-1.3427611677899998
ACH-000015,-1.14316420593
ACH-000017,-1.2653190164700001
ACH-000018,-1.0313147415100001
ACH-000019,-1.12625413562
ACH-000021,-1.2997019852200002
ACH-000022,-1.497808574
ACH-000025,-1.11525213267
ACH-000028,-1.1851181164
ACH-000030,-1.37798347419
ACH-000035,-1.10358045579
ACH-000036,-1.19134956985
ACH-000037,-1.02776119698
ACH-000039,-1.54494578826
ACH-000040,-1.70120525465
ACH-000041,-1.4729701263100001
ACH-000042,-1.57182267729
ACH-000045,-1.2421892668899999
ACH-000047,-1.3962117627700001
ACH-000052,-1.33029311606
ACH-000053,-1.45490434076
ACH-000054,-1.15796002869
ACH-000055,-1.55776150447
ACH-000060,-1.414300691
ACH-000067,-1.2145584809
ACH-000070,-1.22847099464
ACH-000075,-1.23096759942
ACH-000078,-1.38392956676
ACH-000082,-1.16304018994
ACH-000085,-1.3981683939899998
ACH-000086,-1.30043502356
ACH-000087,-1.4763762789
ACH-000092,-1.7334905386700001
ACH-000095,-1.45816493457
ACH-000097,-1.4443746805200002
ACH-000098,-1.50911108272
ACH-000099,-1.21865471454
ACH-000108,-1.34405549928
ACH-000113,-1.0422460026
ACH-000115,-1.31832629075
ACH-000116,-1.27796187412
ACH-000118,-1.10461487964
ACH-000120,-1.12016558181
ACH-000123,-1.3594343008399998
ACH-000127,-1.47502594518
ACH-000128,-1.01313113676
ACH-000132,-0.988066866382
ACH-000133,-1.49895617241
ACH-000137,-1.38731408315
ACH-000138,-1.34626608738
ACH-000142,-0.994992602791
ACH-000143,-1.37135773516
ACH-000146,-1.59795819933
ACH-000148,-1.40727547667
ACH-000150,-1.5894131554
ACH-000152,-1.5220378103999999
ACH-000153,-1.14427775849
ACH-000159,-1.4095104973800001
ACH-000160,-1.3242560027399999
ACH-000163,-1.46267312951
ACH-000167,-1.0629251695200002
ACH-000168,-1.37186613033
ACH-000169,-1.4616033537399997
ACH-000178,-1.2286509480299999
ACH-000182,-1.73466268165
ACH-000183,-1.2625470428499999
ACH-000188,-1.42632286907
ACH-000189,-1.35104048574
ACH-000190,-1.01850586497
ACH-000198,-1.12602088339
ACH-000204,-1.65211505345
ACH-000206,-1.4700339668
ACH-000207,-0.950634023214
ACH-000211,-1.3835953480399998
ACH-000215,-1.53716004918
ACH-000221,-1.47171692448
ACH-000222,-1.1007488481
ACH-000223,-0.7119965024860001
ACH-000226,-1.2587397493
ACH-000227,-1.7210637035900003
