,GOLGA8N (643699)
ACH-000004,-0.319426372797
ACH-000007,-0.43013648571099994
ACH-000009,-0.62373943474
ACH-000011,-0.518176207079
ACH-000012,-0.583954505939
ACH-000013,-0.469448448081
ACH-000014,-0.614275228743
ACH-000015,-0.597961636965
ACH-000017,-0.328987468851
ACH-000018,-0.453057896567
ACH-000019,-0.332814373363
ACH-000021,-0.628587575002
ACH-000022,-0.38068223856899996
ACH-000025,-0.40492783745399996
ACH-000028,-0.413060017896
ACH-000030,-0.48152081144599995
ACH-000035,-0.358038349612
ACH-000036,-0.7524436008059999
ACH-000037,-0.34128046247199995
ACH-000039,-0.487783519791
ACH-000040,-0.36102807319799995
ACH-000041,-0.440940464839
ACH-000042,-0.619012629344
ACH-000045,-0.33485061243
ACH-000047,-0.485796559279
ACH-000052,-0.25714841724599996
ACH-000053,-0.44711647053000003
ACH-000054,-0.429770099786
ACH-000055,-0.24165878658000003
ACH-000060,-0.274114180749
ACH-000067,-0.470666578208
ACH-000070,-0.481872814013
ACH-000075,-0.8151346325669999
ACH-000078,-0.464002869994
ACH-000082,-0.402385713666
ACH-000085,-0.21692287497499999
ACH-000086,-0.575992754452
ACH-000087,-0.22098615057799997
ACH-000092,-0.484297561491
ACH-000095,-0.512091664294
ACH-000097,-0.517827257442
ACH-000098,-0.47165001623999997
ACH-000099,-0.419303480237
ACH-000108,-0.549981133495
ACH-000113,-0.617859107197
ACH-000115,-0.8670562782719999
ACH-000116,-0.5150586443680001
ACH-000118,-0.42201563042499995
ACH-000120,-0.5097103557320001
ACH-000123,-0.33568959654299996
ACH-000127,-0.49305005209700004
ACH-000128,-0.525063667073
ACH-000132,-0.6320759469080001
ACH-000133,-0.49284188687299996
ACH-000137,-0.28736608811299996
ACH-000138,-0.464922674793
ACH-000142,-0.327563836328
ACH-000143,-0.378607125943
ACH-000146,-0.452917639775
ACH-000148,-0.37989042543000007
ACH-000150,-0.40730776775399996
ACH-000152,-0.286770638661
ACH-000153,-0.409810519084
ACH-000159,-0.558365557654
ACH-000160,-0.603867049344
ACH-000163,-0.20927636201299998
ACH-000167,-0.18989827217799998
ACH-000168,-0.377822528501
ACH-000169,-0.485959042974
ACH-000178,-0.573731649063
ACH-000182,-0.457101196559
ACH-000183,-0.62620476204
ACH-000188,-0.433419112816
ACH-000189,-0.615848624997
ACH-000190,-0.493578108348
ACH-000198,-0.606194374457
ACH-000204,-0.42447363559199996
ACH-000206,-0.0868482014381
ACH-000207,-0.6981332991600001
ACH-000211,-0.618967427555
ACH-000215,-0.38435691069
ACH-000221,-0.379007300599
ACH-000222,-0.618288747271
ACH-000223,-0.577492752535
ACH-000226,-0.332056093254
ACH-000227,-0.581363138247
ACH-000228,-0.332540017543
ACH-000231,-0.28904581808400004
ACH-000232,-0.482342976659
ACH-000233,-0.518285415838
ACH-000234,-0.456359493935
ACH-000235,-0.530669362196
ACH-000237,-0.330752059243
ACH-000238,-0.45696153644799997
ACH-000243,-0.5158831235360001
ACH-000244,-0.38165095911700003
ACH-000246,-0.48548989529200004
ACH-000248,-0.478654374968
ACH-000250,-0.35784052589299997
ACH-000251,-0.43606531116400005
ACH-000253,-0.455856948911
ACH-000255,-0.43472924378600003
ACH-000256,-0.36576473928900005
ACH-000257,-0.424196256707
ACH-000258,-0.551782319713
ACH-000259,-0.28110520875399997
ACH-000260,-0.394519236271
ACH-000261,-0.515630799211
ACH-000262,-0.504947956065
ACH-000263,-1.05849183652
ACH-000264,-0.459767169252
ACH-000265,-0.522926934057
ACH-000266,-0.684032594604
ACH-000272,-0.615090431241
ACH-000273,-0.544836519802
ACH-000274,-0.797134180428
ACH-000277,-0.444919682779
ACH-000278,-0.520504711195
ACH-000279,-0.56612347073
ACH-000280,-0.414012291258
ACH-000281,-0.516650576904
ACH-000288,-0.54405548913
ACH-000291,-0.430193066233
ACH-000293,-0.332550546023
ACH-000294,-0.661997177462
ACH-000295,-0.739035746848
ACH-000296,-0.590161891039
ACH-000302,-0.49523829747500003
ACH-000304,-0.347663736143
