,IL17RE (132014)
ACH-000004,-0.143285638235
ACH-000007,0.008045974771970001
ACH-000009,-0.0994991198734
ACH-000011,-0.351841946951
ACH-000012,-0.0803345242128
ACH-000013,-0.178439537438
ACH-000014,-0.188579285429
ACH-000015,-0.206840235471
ACH-000017,-0.226498093531
ACH-000018,-0.0778486513149
ACH-000019,-0.477270059367
ACH-000021,-0.209064759534
ACH-000022,-0.16070290419000002
ACH-000025,-0.367081450794
ACH-000028,-0.22084235531500002
ACH-000030,-0.045856942068600005
ACH-000035,-0.133730790375
ACH-000036,-0.338717724918
ACH-000037,-0.301758541777
ACH-000039,-0.0645945474835
ACH-000040,-0.19163927174000003
ACH-000041,-0.06950275708610001
ACH-000042,-0.336423439257
ACH-000045,-0.26784852234400003
ACH-000047,-0.14654253040100002
ACH-000052,-0.20785426302
ACH-000053,-0.172594816912
ACH-000054,-0.251563975686
ACH-000055,-0.175985696113
ACH-000060,-0.30532435094300003
ACH-000067,-0.306642531132
ACH-000070,-0.279639452332
ACH-000075,-0.18914204321
ACH-000078,-0.157194345634
ACH-000082,-0.23594012463300001
ACH-000085,-0.42642865924900003
ACH-000086,0.0453282030388
ACH-000087,-0.165838481513
ACH-000092,-0.183908060041
ACH-000095,-0.317765643774
ACH-000097,-0.08976762647919999
ACH-000098,-0.194076642497
ACH-000099,-0.16061956464299998
ACH-000108,-0.223715776631
ACH-000113,-0.22145431772799998
ACH-000115,-0.515463916997
ACH-000116,-0.357938183345
ACH-000118,-0.264663356123
ACH-000120,-0.0337689542919
ACH-000123,-0.24068760104000003
ACH-000127,-0.13536123571
ACH-000128,-0.01707746994
ACH-000132,-0.346127622513
ACH-000133,-0.30838279004999997
ACH-000137,-0.151911416385
ACH-000138,-0.24804817825999997
ACH-000142,-0.192232885713
ACH-000143,-0.29977169488600003
ACH-000146,-0.22803706820500003
ACH-000148,-0.137881253462
ACH-000150,-0.375483255937
ACH-000152,-0.09765605037460001
ACH-000153,0.161516856837
ACH-000159,-0.102975682946
ACH-000160,-0.153920739158
ACH-000163,-0.250389980297
ACH-000167,-0.36577119163099997
ACH-000168,-0.38109467844300005
ACH-000169,-0.118484461724
ACH-000178,-0.169343785406
ACH-000182,-0.149224182711
ACH-000183,-0.32383746695
ACH-000188,-0.0335375697545
ACH-000189,-0.495008562454
ACH-000190,-0.102694191601
ACH-000198,-0.207991087569
ACH-000204,-0.162315471372
ACH-000206,-0.153226093482
ACH-000207,-0.108403453112
ACH-000211,-0.222853236673
ACH-000215,-0.19242064389000002
ACH-000221,-0.0697597015518
ACH-000222,-0.294739062286
ACH-000223,-0.182913982665
ACH-000226,-0.189847489115
ACH-000227,-0.0753798908956
ACH-000228,-0.306428491354
ACH-000231,-0.293060796461
ACH-000232,-0.227384667994
ACH-000233,-0.0770665370715
ACH-000234,-0.253326196907
ACH-000235,-0.28183763717599997
ACH-000237,-0.16859876738600002
ACH-000238,-0.298720461519
ACH-000243,-0.249315578422
ACH-000244,-0.603024167207
ACH-000246,-0.348075182922
ACH-000248,0.0199414371932
ACH-000250,-0.13315450919299998
ACH-000251,-0.5229435976300001
ACH-000253,-0.0881474416278
ACH-000255,-0.251581255507
ACH-000256,-0.182851867597
ACH-000257,-0.0268406035369
ACH-000258,-0.42479002236599994
ACH-000259,-0.19788263557799998
ACH-000260,-0.15275190434
ACH-000261,-0.0294648150548
ACH-000262,-0.28370430541200004
ACH-000263,-0.17699865862300002
ACH-000264,-0.267783087584
ACH-000265,-0.117304101759
ACH-000266,-0.276952905944
ACH-000272,-0.13898957790799998
ACH-000273,-0.272305610879
ACH-000274,-0.230976647833
ACH-000277,-0.364585420302
ACH-000278,-0.285402717949
ACH-000279,-0.153327667319
ACH-000280,-0.313506990947
ACH-000281,-0.168661130381
ACH-000288,-0.20109824474500002
ACH-000291,-0.15968583594799998
ACH-000293,-0.21835135960000002
ACH-000294,-0.12194064951400001
ACH-000295,-0.45602672101999997
ACH-000296,-0.0628455266419
ACH-000302,-0.21850428571999997
ACH-000304,0.342463132301
ACH-000307,-0.248961017932
ACH-000308,-0.10165760741100001
ACH-000310,-0.393655180275
ACH-000311,-0.13049227306
ACH-000312,-0.141610140051
ACH-000315,-0.000353706641488
ACH-000316,-0.200061693575
ACH-000317,-0.00264151353067
ACH-000318,-0.29652551144699996
ACH-000319,-0.0338155538442
ACH-000320,-0.259273003759
ACH-000322,0.0005646635295429999
ACH-000323,-0.28932972169
ACH-000324,-0.215764312966
ACH-000329,-0.186856078986
ACH-000330,-0.139122892114
ACH-000331,-0.105947416044
ACH-000332,-0.33781252437799997
ACH-000334,-0.215841467205
ACH-000335,-0.319687002988
ACH-000336,-0.260232494904
ACH-000337,-0.0486456675648
ACH-000339,-0.40048226675
ACH-000341,-0.161889792659
ACH-000348,-0.14163683136900002
ACH-000350,-0.274601431005
ACH-000352,-0.121243451874
ACH-000356,-0.0955901750842
ACH-000361,-0.36773853762
ACH-000362,-0.145456207763
ACH-000363,-0.0696804506328
ACH-000364,-0.00434569184505
ACH-000365,-0.287630434421
ACH-000366,-0.27677340470199996
ACH-000368,-0.16702423182499998
ACH-000374,-0.200254190953
ACH-000375,-0.29578203778400003
ACH-000376,-0.257358847031
