,HLA-DOB (3112)
ACH-000004,-0.152429726477
ACH-000007,0.049126096859599996
ACH-000009,-0.0449527681383
ACH-000011,-0.1931775359
ACH-000012,-0.105717627487
ACH-000013,-0.149126561997
ACH-000014,-0.00536611575316
ACH-000015,-0.0530559066574
ACH-000017,-0.0361348199344
ACH-000018,0.0190141037522
ACH-000019,-0.21362593296399998
ACH-000021,-0.0853133877485
ACH-000022,0.0101946100018
ACH-000025,-0.071716783102
ACH-000028,-0.0668431493391
ACH-000030,-0.047342219642099996
ACH-000035,-0.0200159997388
ACH-000036,0.046374616407900006
ACH-000037,-0.08387598282599999
ACH-000039,-0.0920935619341
ACH-000040,-0.129169586943
ACH-000041,-0.0200072546773
ACH-000042,-0.013862093602499998
ACH-000045,0.07357895824569999
ACH-000047,-0.09973975363160001
ACH-000052,-0.188732488131
ACH-000053,-0.11412350533299999
ACH-000054,-0.0403612449202
ACH-000055,0.08494571166649999
ACH-000060,-0.175816911366
ACH-000067,-0.0986999088275
ACH-000070,0.0320341240654
ACH-000075,-0.29555384359000003
ACH-000078,0.038548782575199995
ACH-000082,-0.195307252499
ACH-000085,-0.10520873927300001
ACH-000086,0.055327181478599996
ACH-000087,0.0703759273839
ACH-000092,-0.11092051522299999
ACH-000095,-0.0733521045241
ACH-000097,-0.0895846684372
ACH-000098,-0.0567562971329
ACH-000099,-0.0736416979864
ACH-000108,-0.09136945355210001
ACH-000113,0.0988856348495
ACH-000115,-0.0202772571417
ACH-000116,0.018345594669299997
ACH-000118,-0.00210370353834
ACH-000120,0.07459321260230001
ACH-000123,0.0610686739391
ACH-000127,-0.165916696728
ACH-000128,-0.0309937905747
ACH-000132,-0.07121615433760001
ACH-000133,0.0791305181856
ACH-000137,-0.121867649222
ACH-000138,-0.0806658183934
ACH-000142,-0.143949115898
ACH-000143,-0.016532184938
ACH-000146,-0.0328853870843
ACH-000148,0.029531438042700003
ACH-000150,0.026253324758700004
ACH-000152,-0.09285572915
ACH-000153,-0.226166219749
